ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10210501,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210502,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210503,hide,hide,hide,hide,hide,下午三点。后巷里有生锈的铁和厨余垃圾的气味。垃圾箱旁边的地上有一滩水，结了薄冰。佐藤约在这里见面。他自己选的。增田死后，他不再约在办公室。不再约在任何有人的地方。他靠在墙上，穿着一件旧大衣，领子竖起来。脸色比上次见面更差。,Manager_Office,Silent_Night,,,
10210504,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210505,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,声音沙哑
10210506,hide,hide,hide,hide,hide,账簿——你看了多少。,Manager_Office,Silent_Night,,,
10210507,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210508,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210509,hide,hide,hide,hide,hide,……代号P。凤凰卡。,Manager_Office,Silent_Night,,,
10210510,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210511,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210512,hide,hide,hide,hide,hide,对。凤凰卡。不是银行卡，不是会员卡。是一种——凭证。用凤凰卡可以进入一个交易系统。不是线上的。是线下的。有人拿卡来，有人刷卡走。卡本身不存钱。卡存的是——信任。,Manager_Office,Silent_Night,,,
10210513,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210514,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210515,hide,hide,hide,hide,hide,他从大衣内袋里掏出一张照片。拍得很差，对焦不准，角度是从某个楼梯转角往下偷拍的。照片里有一个男人，中年，西装，提着一个黑色的手提箱。背景是六本木那个地址——银鹮姬名片上的地址。,Manager_Office,Silent_Night,,,
10210516,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210517,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210518,hide,hide,hide,hide,hide,这个男人每周末来俱乐部一次。不是客人。不喝酒。不找女孩。待十五分钟就走。他见的人——是白鹤姬。,Manager_Office,Silent_Night,,,
10210519,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210520,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210521,hide,hide,hide,hide,hide,他把照片收回口袋。手指在口袋里又摸了一下，摸出了烟。叼在嘴里，没点。打火机按了两下，没气。他把烟从嘴里拿下来，放回烟盒。烟盒是瘪的。,Manager_Office,Silent_Night,,,
10210522,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210523,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210524,hide,hide,hide,hide,hide,哲也——我要你做一件事。,Manager_Office,Silent_Night,,,
10210525,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210526,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210527,hide,hide,hide,hide,hide,……什么。,Manager_Office,Silent_Night,,,
10210528,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210529,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210530,hide,hide,hide,hide,hide,把凤凰卡拿出来。明天晚上。白鹤姬不在的时候。,Manager_Office,Silent_Night,,,
10210531,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210532,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210533,hide,hide,hide,hide,hide,后巷里有一只猫跳上了垃圾箱。铁皮盖子哐当响了一声。佐藤的肩膀抖了一下。很快。然后他恢复了。他把手插进口袋里。指关节顶着大衣的布料，凸出来，像握着一把没打开的刀。,Manager_Office,Silent_Night,,,
10210534,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210535,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210536,hide,hide,hide,hide,hide,这是最后的手段。拿到凤凰卡——我们就有了一个完整的链条。账簿上的数字、凤凰卡的交易系统、白鹤姬的联系人。三样东西连在一起——我的审查就会撤销。你的任务——也可以结束。,Manager_Office,Silent_Night,,,
10210537,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210538,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210539,hide,hide,hide,hide,hide,……如果拿不到。,Manager_Office,Silent_Night,,,
10210540,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210541,佐藤正义,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,沉默了很久
10210542,hide,hide,hide,hide,hide,那就什么都没有了。我的位置。你的身份。增田的死。全部——都变成了一堆没有任何意义的垃圾。,Manager_Office,Silent_Night,,,
10210543,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210544,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210545,hide,hide,hide,hide,hide,猫在垃圾箱后面叫了一声。很尖。然后跑了。巷子里重新安静下来。佐藤看着猫消失的方向。他看了一会儿，然后转身走了。没有说再见。大衣的下摆擦过墙角，沾上了一点点灰。,Manager_Office,Silent_Night,,,
10210546,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
