ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10210401,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210402,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210403,hide,hide,hide,hide,hide,中午十二点。休息室里有一股便当的味道——炸鸡块、冷掉的米饭、甜酱油。暖气太足，窗户内侧结了一层水雾。小野南梨坐在角落的椅子上，腿上摊着一团毛线。灰色的。很浅的灰，像冬天的天空。,RestRoom,Silent_Night,,,
10210404,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210405,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,抬头
10210406,hide,hide,hide,hide,hide,啊——经理。,RestRoom,Silent_Night,,,
10210407,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210408,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210409,hide,hide,hide,hide,hide,她把毛线往怀里收了收。动作很小。像是怕被人看到什么不该看的东西。我走近的时候，闻到了她身上的味道——不是平时的洗发水，是毛线本身的气味。新的羊毛，有一点点动物的腥，被暖气烘过之后变成一种温和的、柔软的暖。,RestRoom,Silent_Night,,,
10210410,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210411,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210412,hide,hide,hide,hide,hide,……织东西。,RestRoom,Silent_Night,,,
10210413,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210414,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210415,hide,hide,hide,hide,hide,嗯。围巾。,RestRoom,Silent_Night,,,
10210416,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210417,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210418,hide,hide,hide,hide,hide,她把织了一半的围巾举起来给我看。针脚不齐。有几处松了，有几处太紧。边角微微卷起。她织了大概三分之二。颜色从灰过渡到深灰——不是故意的，是毛线球用完了，换了一个色号相近的。,RestRoom,Silent_Night,,,
10210419,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210420,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,笑了笑
10210421,hide,hide,hide,hide,hide,很丑对吧。我手笨。,RestRoom,Silent_Night,,,
10210422,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210423,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210424,hide,hide,hide,hide,hide,……织给谁。,RestRoom,Silent_Night,,,
10210425,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10210426,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
