ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600701,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600702,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600703,hide,hide,hide,hide,hide,深夜。茶室里只有雪代一个人。她坐在榻榻米上。面前放着那个茶碗——他的茶碗。茶碗里还有残茶。已经干了。绿色的茶渍留在碗底。她没有洗。烛台点着。一根白蜡烛。蜡烛已经烧了一半。烛泪在铜盘上凝成白色的花。空气里是冷杉、白檀、抹茶的味道。还有更淡的——黄铜钥匙上残留的血腥味。铁质的，微咸的，时间久了的血。,Club_lobby,Silent_Night,,,
10600704,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600705,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600706,hide,hide,hide,hide,hide,她把钥匙从口袋里拿出来。放在茶碗旁边。钥匙和茶碗。两个他留下的东西。她看着这两样东西。看了很久。然后她把钥匙拿起来。站起来。走到茶室角落的抽屉前。抽屉是木头的。旧的。拉手上有一层很薄的铜绿。她把抽屉拉开。里面是空的。只有一张纸。纸上是她自己的字——「飞」。她写过一次。那个字在纸上已经有点褪色了。钢笔的黑变成了灰。,Club_lobby,Silent_Night,,,
10600707,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600708,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600709,hide,hide,hide,hide,hide,她把钥匙放进抽屉里。放在那张纸旁边。钥匙和字。然后她把抽屉关上。抽屉关上的声音很轻。木头碰木头。没有金属的脆——只有闷的。她的手指在抽屉拉手上停了一下。然后松开。,Club_lobby,Silent_Night,,,
10600710,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600711,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600712,hide,hide,hide,hide,hide,她回到榻榻米上。坐下。看着茶碗。烛光在她眼睛里变成两个很小的亮点。两个亮点都不动。她的眼睛也不动。然后她闭上眼睛。不是祈祷。不是冥想。只是闭着。烛光在她眼皮上留下一个橘色的影子。影子在动——是蜡烛在晃。,Club_lobby,Silent_Night,,,
10600713,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600714,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600715,hide,hide,hide,hide,hide,窗外。远处有电车经过。轨道的声音在夜里传得很远。钢轮碾过铁轨——那种有节奏的轰隆声。然后远了。然后没了。茶室里只剩下蜡烛燃烧的细微声响。和她的呼吸。,Club_lobby,Silent_Night,,,
10600716,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600717,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600718,hide,hide,hide,hide,hide,她睁开眼睛。看着茶碗。茶碗里的茶渍还在。绿色的。像一个小小的句号。,Club_lobby,Silent_Night,,,
10600719,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600720,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600721,hide,hide,hide,hide,hide,她没有哭。雪代从来不哭。但她的手指在榻榻米上——轻轻按了一下。按在那个他曾经坐过的位置。蔺草被压过的痕迹早就不在了。但她记得位置。手指按在那里。按了很长时间。然后收回来。放在膝盖上。然后她站起来。吹灭蜡烛。茶室暗了。只剩下走廊里应急灯的绿光从门缝下面漏进来。,Corridor,Unreal_Memory,,,
10600722,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10600723,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10600724,hide,hide,hide,hide,hide,抽屉里。钥匙和字。在一起。,Corridor,Unreal_Memory,,,
10600725,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
