ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10300501,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300502,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300503,hide,hide,hide,hide,hide,傍晚六点。天台西侧。雪代坐在她常坐的那把旧藤椅上，面前放着一瓶清酒，两只杯子。天边的云烧成橘红色，边角开始发紫。风比下午小了，但空气变冷了——秋天的傍晚总是这样，温差来得很突然。,Rooftop,Mystery_Box,,,
10300504,hide,hide,hide,hide,hide,她穿了一件白色的薄毛衣，外面套了深蓝色的风衣。头发散着，没戴羽毛发饰。脚边放了一个旧信封——牛皮纸的，边角磨毛了，鼓鼓的。,Rooftop,Mystery_Box,,,
10300505,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300506,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300507,hide,hide,hide,hide,hide,坐。,Rooftop,Mystery_Box,,,
10300508,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300509,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300510,hide,hide,hide,hide,hide,我在她对面坐下来。她给我倒了一杯酒。倒酒的动作很慢——不是故意慢，是习惯了每一下都刚好。清酒的气味很淡，像雨水泡过的米。,Rooftop,Mystery_Box,,,
10300511,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300512,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300513,hide,hide,hide,hide,hide,今天不想谈俱乐部的事。,Rooftop,Mystery_Box,,,
10300514,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300515,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300516,hide,hide,hide,hide,hide,她把那个旧信封拿起来。从里面抽出几张照片——不是数码打印的，是老式胶片冲印的，颜色已经开始泛黄，边缘有轻微的卷翘。第一张是一个女孩站在俱乐部门口。穿得很旧，头发扎得很紧，脸上没有妆。背景里的招牌还不是现在的招牌。,Rooftop,Mystery_Box,,,
10300517,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300518,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300519,hide,hide,hide,hide,hide,十九岁。,Rooftop,Mystery_Box,,,
10300520,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300521,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300522,hide,hide,hide,hide,hide,她说了这两个字就停住了。手指按在照片上，按在那个女孩的脸上。很用力——指甲盖发白了。然后手指慢慢松开。照片上的女孩还在笑。,Rooftop,Mystery_Box,,,
10300523,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300524,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300525,hide,hide,hide,hide,hide,那时候我也是被人——,Rooftop,Mystery_Box,,,
10300526,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300527,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300528,hide,hide,hide,hide,hide,她没说完。不是不想说。是那个词。那个词卡在喉咙里。她端起杯子喝了一口酒。酒从杯沿上溢出来一点，顺着杯壁流到她手指上。她把杯子放下。杯底碰在桌上，声音比倒酒的时候重。,Rooftop,Mystery_Box,,,
10300529,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300530,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300531,hide,hide,hide,hide,hide,被人卖进来的。,Rooftop,Mystery_Box,,,
10300532,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300533,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300534,hide,hide,hide,hide,hide,"她的声音在""卖""字上破了。不是哭。是那个字本身有棱角，刮过喉咙的时候带出了一点别的东西。她把照片翻过来。背面写了日期——平成六年，三月。墨水褪成了很淡的褐色。",Rooftop,Mystery_Box,,,
10300535,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300536,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300537,hide,hide,hide,hide,hide,卖我的人是我继父。他说送我去东京学舞蹈。签了合同，付了定金，然后人就消失了。合同上写的不是舞蹈学校。是这里。,Rooftop,Mystery_Box,,,
10300538,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300539,hide,hide,hide,hide,hide,,Rooftop,Mystery_Box,,,
10300540,hide,hide,hide,hide,hide,她翻到第二张照片。俱乐部内部，更衣室。女孩们在换衣服，有人在笑，有人在低头系带子。照片里看不到她的脸——但她指了一下角落里的一个人影。,DressingRoom,Mystery_Box,,,
10300541,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10300542,白鹤姬·桂原雪代,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10300543,hide,hide,hide,hide,hide,我在这里呆了二十一年。从女孩变成了妈妈桑，从被卖进来变成了签别人进来。我以为我已经走出来了。直到雪鹤姬死。,DressingRoom,Mystery_Box,,,
10300544,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
