ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570501,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570502,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570503,hide,hide,hide,hide,hide,傍晚六点。紫坐在沙发上。占卜牌摊在茶几上。她今天进行了第一次占卜。牌已经抽出来了。放在茶几正中央。牌面朝上。不是「星星」——是「塔」。逆位的塔。牌面上是一座被闪电击中的高塔。火焰从塔顶冒出来。两个人从塔上坠落。头朝下。手在空中乱抓。,RestRoom,Unreal_Memory,,,
10570504,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570505,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570506,hide,hide,hide,hide,hide,空气里有速溶咖啡的味道——凉的。还有她身上柏青哥店的烟味。还有更淡的——她手指上占卜牌的纸味。牌很旧了。纸的边缘起了毛。纸味是陈旧的。干燥的。,Cafe,Unreal_Memory,,,
10570507,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570508,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10570509,hide,hide,hide,hide,hide,紫看着那张牌。看了很久。她的银色短发在休息室的灯光下显得很白。她脸上的星形贴纸今天贴歪了——不是故意歪的，是手抖了一下。,RestRoom,Unreal_Memory,,,
10570510,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570511,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570512,hide,hide,hide,hide,hide,「塔」。逆位。正位是崩塌。逆位——是崩塌之后。不是避免崩塌。是崩塌之后——你还剩什么。,RestRoom,Unreal_Memory,,,
10570513,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570514,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570515,hide,hide,hide,hide,hide,她把牌拿起来。放在手心。手心在发抖。不是怕——是某种更深的东西。一个人看到自己相信的东西在眼前摇晃时的那种抖。,RestRoom,Unreal_Memory,,,
10570516,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570517,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570518,hide,hide,hide,hide,hide,第一次占卜——从来不错。从来。所以明天——会有崩塌。不是可能。是确定。崩塌会来。问题不是怎么阻止它。问题是——崩塌之后。你还能站起来吗。我们还能站起来吗。,RestRoom,Unreal_Memory,,,
10570519,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570520,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570521,hide,hide,hide,hide,hide,她把牌放回牌堆。洗牌。沙沙声在安静的休息室里很清晰。然后她停下来。看着我。眼睛里没有嬉皮笑脸。没有恐惧。只有一种很奇怪的平静——像一个人终于知道最坏的结果是什么，然后不慌了。,RestRoom,Coming_Dangerous,,,
10570522,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10570523,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10570524,hide,hide,hide,hide,hide,明天。我会在大厅。如果崩塌来了——我在。占卜牌救不了任何人。但我在。至少——有人在。,Club_lobby,Coming_Dangerous,,,
10570525,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570526,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570527,hide,hide,hide,hide,hide,她站起来。把牌盒放进卫衣口袋。走到门口。停了一下。,Club_lobby,Coming_Dangerous,,,
10570528,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570529,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570530,hide,hide,hide,hide,hide,经理。如果明天我抽到第二次——你帮我记住。第二次不准。从来不准。,Club_lobby,Coming_Dangerous,,,
10570531,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
