ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10530401,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530402,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530403,hide,hide,hide,hide,hide,阳光从纸门外面移走了。茶室的光从暖黄变成冷灰。铜镜里的脸变得更深了——现在几乎看不到五官，只能看到一个轮廓。雪代站起来。走到矮桌旁边。矮桌上放着一本账簿。酒红色的封面。皮质的。封面的边角磨得很亮，大概是被手指反复摩过太多次。账簿的厚度不匀——前面的页被翻得起了毛边，后面的页还贴着一起，几乎没有被翻过。,Club_door,Silent_Night,,,
10530404,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530405,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530406,hide,hide,hide,hide,hide,她跪坐在矮桌前。把账簿翻开。从第一页开始。不是看——是用手指一行一行地划过。她的指尖在每一个名字上停留零点几秒。不长。但足够认出来。第一页的名字她看了最久。那个名字我已经见过了——是如月冬雪。雪鹤姬。字迹和后面的不同——更小，更密，墨水是深蓝色的。后面的人用的都是黑色墨水。只有第一页是深蓝。,Club_door,Silent_Night,,,
10530407,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530408,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530409,hide,hide,hide,hide,hide,她一页一页地翻。翻到银鹮姬那页的时候，手指停了一下。银鹮姬的名字旁边有一行很小的备注——「负债，可动」。她用指尖在那行字上划了一道。不是划掉——是用指甲划了一道很浅的印子。然后继续翻。,Club_door,Silent_Night,,,
10530410,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530411,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530412,hide,hide,hide,hide,hide,"翻到早莺姬。备注写着——「男友病危。可放。」她把指甲放在""放""字上。放了很久。然后翻过去。",Club_door,Unreal_Memory,,,
10530413,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530414,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530415,hide,hide,hide,hide,hide,翻到青鹭姬。备注只有三个字——「别碰她。」字迹比其他备注都重。墨迹透到了纸背。她看着这三个字。看了很久。然后合上了账簿。,Club_door,Unreal_Memory,,,
10530416,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530417,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530418,hide,hide,hide,hide,hide,她没有翻完。因为她知道后面是什么。每一个人的名字。每一个人的价格。每一个人的软肋。每一个人的出路。这本账簿不是会计用的——是一个人在二十一年里，把所有人的命都记在一本本子上。不是为了算钱。是为了算什么时候放，什么时候不放。,Club_door,Unreal_Memory,,,
10530419,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530420,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530421,hide,hide,hide,hide,hide,然后她重新翻开。不是翻到中间。是翻到最后。最后一页。空白。纸是新的——和前面那些翻得起毛的纸完全不同。白得像还没下雪的冬天天空。她拿起一支铅笔。铅笔是木头的。削得很短，笔尖很尖。她把铅笔点在纸上。点了一下。,Club_door,Unreal_Memory,,,
10530422,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530423,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530424,hide,hide,hide,hide,hide,笔尖在白纸上留下了一个很小的灰点。铅笔的石墨粉粘在纸纤维上。只有这一个点。她没有写。她的手很稳——和平时一样稳。但笔尖停在那个灰点上面。停了一秒。两秒。三秒。,Club_door,Unreal_Memory,,,
10530425,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530426,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530427,hide,hide,hide,hide,hide,空气里有一种很浓的铅笔木屑味——她大概刚才削过铅笔。那种味道很干，很脆，像旧教室。窗外的光线继续变暗。茶室里的影子在拉长。矮桌上的茶杯完全凉了。那颗粉色和果子糖上落了一只很小的飞虫。她没赶。只是看着。,Club_door,Unreal_Memory,,,
10530428,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530429,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530430,hide,hide,hide,hide,hide,她想写什么——不是没想好。是想好了。但写了就不能改。账簿上的字是用钢笔写的。只有这一页——她想用铅笔。因为铅笔可以擦。但铅笔留下的痕迹擦不干净。橡皮擦过之后纸会起毛。纸起毛了之后，任何人都能看到——这里曾经写过什么。然后擦掉了。,Club_door,Unreal_Memory,,,
10530431,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530432,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530433,hide,hide,hide,hide,hide,她把铅笔放在纸上。没有写。没有擦。只是放着。铅笔在纸上慢慢滚了一下，停在灰点旁边。,Club_door,Unreal_Memory,,,
10530434,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
