ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10450301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10450302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10450303,hide,hide,hide,hide,hide,雪代的房间在三楼。走廊尽头。和所有人的房间隔了一层楼。楼梯口的门平时是关着的，但今天开着。我站在楼梯口，能看到走廊里有一道很淡的光——她房间的门开着一条缝。缝里透出来的光在走廊木地板上画了一条白色的线。,Corridor,Silent_Night,,,
10450304,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10450305,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10450306,hide,hide,hide,hide,hide,我走过去的时候，听到了布料摩擦的声音。不是那种日常的窸窣——是更厚重的，像一面旗在风里展开。空气里有浆粉的味道。很浓。还有更淡的——旧丝绸的味道。那种在箱子里放了太久的丝绸，会有一种很特别的微酸，像陈年的书页，但比书页更软。,Corridor,Mixed_Emotion,,,
10450307,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450308,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450309,hide,hide,hide,hide,hide,推开门。雪代站在全身镜前。她穿了一件白色的和服。不是平时那件白色的工作服——是更隆重的那种。白无垢。新娘穿的那种。但改过了。袖口的红色衬里被拆掉了，换成了灰色。腰带的结不在背后——在侧面。不是新娘的结。是战士的结。方便活动。方便转身。方便在一瞬间做出反应。,Corridor,Mixed_Emotion,,,
10450310,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450311,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450312,hide,hide,hide,hide,hide,她看着镜子里的自己。没有笑。没有皱眉。没有任何表情。她只是在看。像在看一个很久没见的人。,Corridor,Mixed_Emotion,,,
10450313,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450314,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450315,hide,hide,hide,hide,hide,这件白无垢——我二十一岁那年缝的。,Corridor,Mixed_Emotion,,,
10450316,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450317,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450318,hide,hide,hide,hide,hide,她说话的时候没有转过来。眼睛还在镜子里。她的手指沿着腰带的边缘慢慢滑过。腰带是白色的，绣了银色的飞鸟图案。十二只鸟。姿态各异。和衣帽间镜子木框上刻的那些一样。,Corridor,Mixed_Emotion,,,
10450319,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450320,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450321,hide,hide,hide,hide,hide,那时候我以为我会结婚。嫁给一个普通人。不是这里的客人。是一个——不知道我的过去的人。我缝了三个月。每一针都是自己缝的。袖口的红色衬里是用真丝做的。很贵。我存了一年的钱。,Corridor,Unreal_Memory,,,
10450322,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450323,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450324,hide,hide,hide,hide,hide,她把手从腰带上拿开。伸到袖口。翻开。灰色的衬里露出来。灰色是后来换上去的。针脚和原来的不一样——原来的针脚很密，很均匀。后来的针脚有一点歪。大概是拆掉红色的时候太用力了，布被撕出了几个小洞。她用灰色的线补上了。补得很仔细。但仔细也能看出来。,Corridor,Unreal_Memory,,,
10450325,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450326,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10450327,hide,hide,hide,hide,hide,"后来我知道我不会结婚了。不是没有人愿意——是我不愿意。我没办法跟一个人说""我杀过人""。没办法在每天早上醒来的时候，看着他的眼睛，不说梦话。后来这件衣服就放起来了。放在箱子里。放了二十年。",Corridor,Mixed_Emotion,,,
10450328,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450329,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450330,hide,hide,hide,hide,hide,她转过来。看着我。白色和服在晨光里泛着一层很冷的白光。不是婚纱的那种圣洁的白——是某种更硬的白。像结了冰的湖面。白得看不到底。,Corridor,Mixed_Emotion,,,
10450331,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450332,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450333,hide,hide,hide,hide,hide,我以为这辈子不会再穿它。但后来我想——不结婚不代表不能穿。这件衣服不是为婚姻缝的。是为我自己缝的。它等了二十年。等的不是一场婚礼。是一场晚宴。,Corridor,Mixed_Emotion,,,
10450334,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450335,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450336,hide,hide,hide,hide,hide,她从镜子前面退后一步。和服的下摆在地板上拖出一道很直的白色轨迹。她走到窗边。推开窗。晨光涌进来。白色和服在光里几乎透明。能看到里面衬里的灰色。灰色在白色下面，像一个影子。一个被她拆掉但又保留下来的影子。,Corridor,Mixed_Emotion,,,
10450337,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450338,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450339,hide,hide,hide,hide,hide,二十一年。黑羽。一个人在一个地方待了二十一年——要么是逃不出去，要么是在等。我不是逃不出去。我是在等。等一个可以让我把这件事做完的时机。,Corridor,Mixed_Emotion,,,
10450340,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450341,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450342,hide,hide,hide,hide,hide,她转过来。背对着窗外的光。她的脸在逆光里变成了一个剪影。但她的眼睛还在。在剪影里是两个很小的光点。,Corridor,Mixed_Emotion,,,
10450343,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450344,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10450345,hide,hide,hide,hide,hide,明天晚上——就是那个时机。,Corridor,Mixed_Emotion,,,
10450346,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
