ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10170401,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170402,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170403,hide,hide,hide,hide,hide,下午三点半。休息室里没有开主灯，只有窗户的自然光。星野葵坐在角落的沙发上，膝盖上摊着一本厚重的医学文献。旁边的茶几上放着咖啡——已经凉了，表面凝了一层很薄的油脂。,RestRoom,Unreal_Memory,,,
10170404,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170405,hide,hide,hide,hide,hide,"她翻页的速度很均匀。食指沿着段落移动，在某个专业术语旁边停下来，用铅笔记了一个极小的圈。从门口的角度能看到那页的章节标题——""第五节：合成阿片类药物的代谢路径与组织分布""。",RestRoom,Unreal_Memory,,,
10170406,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170407,hide,hide,hide,hide,hide,她抬头看到我在门口。没有合上书。只是把铅笔夹进当页。,RestRoom,Unreal_Memory,,,
10170408,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170409,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170410,hide,hide,hide,hide,hide,……文献。学校要求交一篇综述，关于新型合成药物的药理机制。截止日期下周。,RestRoom,Unreal_Memory,,,
10170411,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170412,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170413,hide,hide,hide,hide,hide,她说完继续低头看书。翻了一页。那页上有几张分子结构图——碳、氢、氧原子排成六边形和五边形，像某种密码。,RestRoom,Unreal_Memory,,,
10170414,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170415,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170416,hide,hide,hide,hide,hide,你知道吗——人体对大多数药物的代谢速度是可以精确计算的。体重、肝功能、血液循环速度——全部代入一个公式，能算出药物在体内的半衰期。精确到小时。精确到分钟。,RestRoom,Unreal_Memory,,,
10170417,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170418,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170419,hide,hide,hide,hide,hide,她抬起头。眼镜片反射窗外的日光灯。看不清她的眼睛。,RestRoom,Unreal_Memory,,,
10170420,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170421,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170422,hide,hide,hide,hide,hide,但如果有人想要让某种药物不在体内留下痕迹——也很简单。只需要在代谢公式里加一个未知变量。那个变量可以是任何东西。可以是一种催化剂。一次计算失误。或者——一个从来没有人记录过的剂量。,RestRoom,Unreal_Memory,,,
10170423,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170424,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170425,hide,hide,hide,hide,hide,她把铅笔拔出来。在刚才那个分子结构图上加了一个很小的箭头——指向六边形的一个角落。然后合上书。,RestRoom,Unreal_Memory,,,
10170426,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170427,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10170428,hide,hide,hide,hide,hide,综述下周写完。到时候给你看看。也许会对你正在做的事有帮助。,RestRoom,Warm_Encounter,,,
10170429,hide,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10170430,hide,hide,hide,hide,hide,,RestRoom,Warm_Encounter,,,
10170431,hide,hide,hide,hide,hide,"她说""你正在做的事""时，和上次在咖啡馆说""我不会问你在查什么""用的是同一种语气——透明，冷静。像是站在你身边帮你举着一盏灯。但她不告诉你灯里的油是什么做的。",Cafe,Warm_Encounter,,,
10170432,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10170433,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
