ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580401,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580402,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580403,hide,hide,hide,hide,hide,下午两点。景子坐在休息室靠窗的位置。手里拿着一张照片——小澪的。不是去年夏天那张举着棉花糖的。是更早的。小澪大概七八岁。穿着小学校服。站在一棵樱花树下面。樱花是假的——布做的。大概是学校活动。小澪笑得很用力。眼睛眯成一条线。景子把照片翻过来。背面写了一行字——「妈妈。今天学校演话剧。我演一朵樱花。」,RestRoom,Mixed_Emotion,,,
10580404,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580405,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580406,hide,hide,hide,hide,hide,空气里有很淡的洗衣液柠檬味。还有窗外飘进来的——今天没有烧落叶，是秋天的干空气。还有更淡的——景子手指上照片纸的味道。照片纸是旧的。放了七八年了。纸的边缘已经发黄了。她把照片放进内衣口袋。不是外套口袋——是内衣口袋。贴着胸口。,RestRoom,Mixed_Emotion,,,
10580407,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580408,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580409,hide,hide,hide,hide,hide,带在身上。安全。,RestRoom,Mixed_Emotion,,,
10580410,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580412,hide,hide,hide,hide,hide,她说这句话的时候声音很轻。但手很稳。她拍了拍胸口——照片在口袋里形成一个小小的长方形凸起。,RestRoom,Mixed_Emotion,,,
10580413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580414,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580415,hide,hide,hide,hide,hide,如果黑田议员的人来。如果他们在晚宴上动手。如果他们想用小澪威胁我——照片在我身上。他们拿不到。只要照片在我身上——他们就威胁不了我。,RestRoom,Mixed_Emotion,,,
10580416,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580417,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580418,hide,hide,hide,hide,hide,她停了一下。手指在胸口停住。压在照片上。,RestRoom,Mixed_Emotion,,,
10580419,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580420,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580421,hide,hide,hide,hide,hide,我知道这很蠢。一张照片不能保护小澪。但对我来说——照片在，小澪就在。不是物理上的在。是——在这里。胸口。心跳旁边。她能听见我的心跳。我能感觉到她的重量。很轻。但够。,RestRoom,Mixed_Emotion,,,
10580422,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580423,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580424,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛里没有泪。但有某种比泪更热的东西。,RestRoom,Mixed_Emotion,,,
10580425,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580426,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580427,hide,hide,hide,hide,hide,明天。如果黑田议员在场。我会站在最显眼的地方。让他看到我。让他知道——我谷川景子不怕他。不是不害怕。是怕——但还是要站在最显眼的地方。因为如果我不站——他会找小澪。他找我——可以。他找小澪——不行。,RestRoom,Mixed_Emotion,,,
10580428,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580429,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580430,hide,hide,hide,hide,hide,她站起来。把外套扣好。走到门口。停了一下。,RestRoom,Mixed_Emotion,,,
10580431,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580432,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10580433,hide,hide,hide,hide,hide,明天之后。周四。游乐场。你答应了的。,RestRoom,Mixed_Emotion,,,
10580434,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
