ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10070001,hide,hide,hide,hide,hide,凌晨一点三十八分，最后的客人已经被送走了。,Corridor,Unreal_Memory,,,
10070002,hide,hide,hide,hide,hide,按照白鹤姬的要求，我来到了房门前。,Corridor,,,,
10070003,hide,hide,hide,hide,hide,门内渗出的香气比昨夜更稠——白梅的冷冽几乎被完全掩盖，取而代之的是某种熟透水果般的甜媚，混着一缕麝香的暖意。,Corridor,,,,
10070004,hide,hide,hide,hide,hide,这种味道，丝丝缕缕缠绕上来，贴着皮肤往毛孔里钻。,Corridor,,,,
10070005,hide,hide,hide,hide,hide,我还没敲门，门内便传来了声音。,Corridor,,,,
10070006,白鹤姬·桂原雪代,hide,hide,hide,hide,进来吧……门没有锁。,Corridor,,,,
10070007,hide,hide,hide,hide,hide,白鹤姬的声音像浸了蜜，带着水汽浸润后的微哑,Corridor,,,,
10070008,hide,hide,hide,hide,hide,我推开门。,Jan_Room,,,,
10070009,hide,hide,hide,hide,hide,暖黄色的灯光如水般流淌出来。外间的矮几上不知何时点起了蜡烛。,Jan_Room,,,,
10070010,hide,hide,hide,hide,hide,火苗在无风的室内轻轻摇曳，将墙壁映出跃动的影子。,Jan_Room,,,,
10070011,hide,hide,hide,hide,hide,更重要的是，浴室的门半敞开着，水汽如薄纱般从门内漫出，将室内一切都蒙上一层柔光。,Jan_Room,,,,
10070012,hide,hide,hide,hide,hide,水声停了，但余韵还在空气中震颤。,Jan_Room,,,,
10070013,hide,hide,hide,hide,hide,白鹤姬似乎就在里面……,Jan_Room,,,,
10070014,白鹤姬·桂原雪代,hide,hide,hide,hide,能……帮我拿条毛巾吗？,Jan_Room,,,,
10070015,hide,hide,hide,hide,hide,她的声音从浴室深处传来，和之前有些冰冷的感觉不同，她这次的声音每个字都像裹了一层糖霜。,Jan_Room,,,,
10070016,hide,hide,hide,hide,hide,她顿了顿，气息轻浅，像是在调整某个姿势。,Jan_Room,,,,
10070017,白鹤姬·桂原雪代,hide,hide,hide,hide,衣柜左侧……米白色那条。要那条最软的。,Jan_Room,,,,
10070018,hide,hide,hide,hide,hide,我走向桐木的柜子。,Jan_Room,,,,
