ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10160001,hide,hide,hide,hide,hide,下午四点刚过，我推开俱乐部的大门。,Club_Enterance_Scene_dark_inside,Slow_Lure,,,
10160002,hide,hide,hide,hide,hide,走廊的灯还没有全部打开，只有墙角的应急灯投下昏黄的光。空气中残留着昨夜香槟和香烟的味道，混着清洁剂刚拖过地的刺鼻气味。,Corridor,,,,
10160003,hide,hide,hide,hide,hide,化妆间里已经有女孩在换衣服了。隐约能听到黄鹂姬那标志性的、元气十足的招呼声，以及神鸦姬回应的几声懒洋洋的哈欠。,Corridor,,,,
10160004,hide,hide,hide,hide,hide,我径直走向经理办公室。推开门——桂原雪代已经坐在里面了。,Manager_Office,,,,
10160005,hide,hide,hide,hide,YukiyoKatsurahara_work,她坐在我的办公桌后面，正在翻看昨天的营业报表。今天穿着一件深蓝色的和服，袖口绣着银色的鹤纹，头发比往常更正式地挽在脑后。,Manager_Office,,,,
10160006,hide,hide,hide,hide,YukiyoKatsurahara_work,她的身边，站着一个女孩。深色的水手服，裙摆长到膝盖以下。书包紧紧地抱在胸前。黑色短发，刘海压得很低，遮住了大半张脸。,Manager_Office,,,,
10160007,hide,hide,hide,hide,YukiyoKatsurahara_work,低着头。脚尖向内并拢。,Manager_Office,,,,
10160008,白鹤姬·桂原雪代,hide,hide,hide,YukiyoKatsurahara_work,黑羽经理，进来。,Manager_Office,,,,
10160009,hide,hide,hide,hide,YukiyoKatsurahara_work,我走进办公室。桂原雪代将营业报表合上，抬起眼看着我。,Manager_Office,,,,
10160010,白鹤姬·桂原雪代,hide,hide,hide,YukiyoKatsurahara_work,这位是芦田育子。十月的新人，"雏鹃姬"。,Manager_Office,,,AddS_Char(Oct),
10160011,hide,hide,hide,hide,YukiyoKatsurahara_work,朝那个女孩的方向扬了扬下巴。,Manager_Office,,,,
10160012,白鹤姬·桂原雪代,hide,hide,hide,YukiyoKatsurahara_work,今天刚到。你先安顿一下，我四点四十五要去见一位老客户，没时间。,Manager_Office,,,,
10160013,hide,hide,hide,hide,YukiyoKatsurahara_work,站起身，和服下摆划过地板。经过我身边时停下。,Manager_Office,,,,
10160014,白鹤姬·桂原雪代,hide,hide,hide,YukiyoKatsurahara_work,还没签正式合同。不过——,Manager_Office,,,,
