ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10250601,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250602,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10250603,hide,hide,hide,hide,hide,深夜十一点。休息室里的灯管今天全部亮着——不是修好了，是有人换了新的。光线很白，很刺眼。小野南梨坐在靠窗的位置。腿上放着那条没织完的灰色围巾。但竹针没有动。她手里拿着手机。屏幕亮着。是一张照片。一个年轻男人的脸。很瘦。颧骨很高。眼睛下面的阴影是青色的。他在笑。但笑得很累。背景是医院的窗帘——那种淡绿色的、不透光的帘子。,RestRoom,Silent_Night,,,
10250604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250605,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,看到我，没有收手机
10250606,hide,hide,hide,hide,hide,这是他上个月的照片。化疗到第三轮了。头发还没掉完——他说——要在掉完之前拍一张。,RestRoom,Silent_Night,,,
10250607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250609,hide,hide,hide,hide,hide,她把手机放在膝盖上。屏幕朝上。那个男人的脸在天花板灯管的直射下有些发白。南梨拿起竹针，织了两针。针脚比之前整齐了。紧松一致。但她织得很慢。不是不熟练。是每织一针都要停下来——想一想。,RestRoom,Silent_Night,,,
10250610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250611,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250612,hide,hide,hide,hide,hide,……围巾快好了。,RestRoom,Silent_Night,,,
10250613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250614,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250615,hide,hide,hide,hide,hide,嗯。就差最后一段了。我在想——结尾要不要换一种织法。,RestRoom,Silent_Night,,,
10250616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250617,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250618,hide,hide,hide,hide,hide,她把围巾举起来。灯光透过针脚，漏出很细的光线。灰色的毛线在白色灯管下看起来更浅了。像被洗过很多次。但她还没洗。是新的。,RestRoom,Silent_Night,,,
10250619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250620,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250621,hide,hide,hide,hide,hide,经理——我可以问你一个问题吗。,RestRoom,Silent_Night,,,
10250622,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250623,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250624,hide,hide,hide,hide,hide,……嗯。,RestRoom,Silent_Night,,,
10250625,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250626,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250627,hide,hide,hide,hide,hide,如果他不在了——我要怎么办。,RestRoom,Silent_Night,,,
10250628,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250629,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250630,hide,hide,hide,hide,hide,"她说这句话的时候，声音没有抖。手也没有。竹针还稳稳地握在指间。她把""不在了""这三个字说得和""吃饭了吗""一样轻。但围巾在她膝盖上，毛线从竹针上滑下来了一小截。她没注意到。",RestRoom,Silent_Night,,,
10250631,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250632,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250633,hide,hide,hide,hide,hide,……不知道。,RestRoom,Silent_Night,,,
10250634,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250635,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,点了点头
10250636,hide,hide,hide,hide,hide,我也不知道。我每天都想。想不出。然后就不想了。继续织。,RestRoom,Silent_Night,,,
10250637,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250638,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250639,hide,hide,hide,hide,hide,她把滑下来的毛线重新绕上去。手指很慢。毛线在竹针上绕了一圈又一圈。她低着头，头发遮住了脸。只有手指在动。重复地动。像是只要手指不停，那个问题就追不上她。,RestRoom,Silent_Night,,,
10250640,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250641,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250642,hide,hide,hide,hide,hide,经理——我织围巾的时候，不用想问题。一针一针——只想着下一针。想远了手就会乱。乱了就要拆。拆了——就什么都没了。,RestRoom,Silent_Night,,,
10250643,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250644,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250645,hide,hide,hide,hide,hide,她把围巾放进袋子里。拉上拉链。这次拉链没有卡。她把袋子抱在怀里，像是抱着一个很小的、很软的、还需要她保护的东西。,RestRoom,Silent_Night,,,
10250646,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250647,早莺姬·小野南梨,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250648,hide,hide,hide,hide,hide,所以我不问怎么办。我问——下一针。,RestRoom,Silent_Night,,,
10250649,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
