ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10420501,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420502,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420503,hide,hide,hide,hide,hide,走廊里的光线开始变暗了。不是天黑——是傍晚。走廊尽头的窗户对着西边，夕阳从那里进来，把整个走廊染成了橙红色。景子站在走廊的中间段，背靠着墙。她的影子投在对面的墙上，被拉得很长。,Corridor,Silent_Night,,,
10420504,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420506,hide,hide,hide,hide,hide,空气里有晚饭的味道。厨房里大概在炖什么——酱油和味醂的甜咸味，混着煮米饭的蒸汽。还有更远的——大概是谁在走廊里喷了空气清新剂，柑橘味的，很淡。景子把名单从口袋里掏出来。展开。又看了一遍黑田的名字。然后她把名单重新折好，放回去。,Corridor,Silent_Night,,,
10420507,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420508,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420509,hide,hide,hide,hide,hide,她把手伸进另一个口袋。摸到了那颗铜纽扣。拿出来。摊在手心里。纽扣在夕阳里泛着一层暗金色的光。上面那只燕子的翅膀展开着，姿态像要从纽扣上飞出去。她看着那只燕子，拇指在燕子翅膀上慢慢摩挲。,Corridor,Silent_Night,,,
10420510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420511,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420512,hide,hide,hide,hide,hide,南梨说——「这颗纽扣会保佑你。」我不知道它能不能保佑。但它在口袋里，我会觉得——不是一个人。,Corridor,Silent_Night,,,
10420513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420515,hide,hide,hide,hide,hide,她把手合上。纽扣被包在掌心。她握得很紧，紧到指关节发白。然后她松开手。把纽扣放回口袋。拍了拍口袋外面。确认它还在。确认它不会掉。,Corridor,Silent_Night,,,
10420516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420517,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420518,hide,hide,hide,hide,hide,那天晚上我会穿裙子。,Corridor,Silent_Night,,,
10420519,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420520,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420521,hide,hide,hide,hide,hide,她看着走廊尽头那扇窗。窗外的夕阳正在沉下去。橙红色的光慢慢变成暗红，然后变成灰紫。走廊里的影子越来越长，越来越模糊。,Corridor,Silent_Night,,,
10420522,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420523,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420524,hide,hide,hide,hide,hide,裙子有口袋。很深的那种。纽扣会一直在里面。,Corridor,Silent_Night,,,
10420525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420526,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420527,hide,hide,hide,hide,hide,"她从墙边站直。走廊里忽然有脚步声——是厨房的人端着一锅汤经过。汤的蒸汽在夕阳里变成了一团白雾。景子侧身让开。厨房的人对她点了点头。她也点了点头。然后她转身，沿着走廊往休息室走。脚步声在木板上很轻。但每一步都很坚定。不是那种""我不怕""的坚定——是那种""我很怕，但我还是要往前走""的坚定。",Corridor,Silent_Night,,,
10420528,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420529,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10420530,hide,hide,hide,hide,hide,夕阳最后一点光从窗户里消失了。走廊沉入灰色。然后走廊的灯亮了——有人开了开关。暖黄色的灯光把景子的影子重新投在墙上。影子还是被拉得很长。但这次影子的手，放在口袋的位置。,Corridor,Silent_Night,,,
10420531,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
