ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600301,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600302,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10600303,hide,hide,hide,hide,hide,傍晚七点。俱乐部大厅灯火通明。吊灯全部亮着。一盏不少。白色桌布上放着紫摘的花。花已经有点蔫了——但还是白的。大厅里有烤牛肉的油脂香、香槟开瓶后的甜味、咖啡机煮出来的苦。还有更底层的——打蜡地板上的蜡味，刚熨过的桌布上的淀粉味。十二飞鸟各就各位。,Club_lobby,Silent_Night,,,
10600304,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600305,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600306,hide,hide,hide,hide,hide,雪代站在门口。穿着正红色和服。金色宽幅腰带。白色羽毛发饰插在发间。她的站姿和第一天一样。但她没有看门口——她看着大厅正中央那张最大的桌子。桌上放着「村上道也」的座位牌。,Club_lobby,Silent_Night,,,
10600307,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600308,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600309,hide,hide,hide,hide,hide,七点十五分。门开了。村上道也走进来。身后跟着村上秘书——深灰色西装，面无表情。还有两个心腹。一个高，一个矮。高的那个手一直插在口袋里。矮的那个戴着墨镜。村上道也走到主桌坐下。雪代站在他旁边。她的眼睛——在村上道也身后，扫了一眼大厅。找到了我。停了一秒。然后移开。,Club_lobby,Silent_Night,,,
10600310,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600311,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600312,hide,hide,hide,hide,hide,七点二十分。村上秘书低头在村上道也耳边说了句话。然后转身。往门口走。去后巷。抽烟。他走过我身边的时候——左脚微微拖地。右手食指弹袖口。是春奈。她的左手摸了一下左耳——信号。面具没问题。,Club_lobby,Silent_Night,,,
10600313,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600314,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600315,hide,hide,hide,hide,hide,七点三十分。晚宴正式开始。村上道也举起酒杯。站起来。,Club_lobby,Silent_Night,,,
10600316,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600317,村上道也,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600318,hide,hide,hide,hide,hide,感谢各位今晚赏光。在宣布新合作计划之前——有一件小事需要处理。关于俱乐部里的——不速之客。,Club_lobby,Silent_Night,,,
10600319,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600320,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10600321,hide,hide,hide,hide,hide,他看着我。所有人看着我。雪代站在他旁边。她的手——在袖口下轻轻动了一下。不是紧张。是准备。她在准备动。她的眼睛看着我。然后看着村上道也。然后看着那个高的心腹——他的手正从口袋里往外抽。,Club_lobby,Mixed_Emotion,,,
10600322,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600323,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600324,hide,hide,hide,hide,hide,雪代的嘴唇微微张开。她的身体往前倾了一点——只有几厘米。但够了。她准备动了。三年在门外——今天在门里。她的右手从袖口里伸出来。手指张开。准备按住那个心腹的手臂。,Club_door,Mixed_Emotion,,,
10600325,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600326,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10600327,hide,hide,hide,hide,hide,但她慢了一秒。不是慢——是另一个人更快。,Club_door,Mixed_Emotion,,,
10600328,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
