ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10050001,hide,hide,hide,hide,hide,醒来时，已是仍然是早上的7点30分。,Home_day,Confused_Memory,,,
10050002,hide,hide,hide,hide,hide,虽然已经不用去警局报到，但是生物钟的惯性仍然让我在早晨醒了过来。,Home_day,,,,
10050003,hide,hide,hide,hide,hide,房间里没有光线，我摸索着打开灯，灰尘在光柱中缓慢翻飞。,Home_day,,,,
10050004,hide,hide,hide,hide,hide,我盯着翻飞的灰尘看了很久，清晰地知道自己是“黑羽哲也”的公寓，那个六叠大的和室。,Home_day,,,,
10050005,hide,hide,hide,hide,hide,枕边的手机亮着。,Home_day,,,,
10050006,hide,hide,hide,hide,hide,不是那部黑色翻盖机，是我自己的手机。,Home_day,,,,
10050007,hide,hide,hide,hide,hide,屏幕上显示着未读消息，来自“莉香”。,Home_day,,,,
10050008,消息界面,hide,hide,hide,hide,莉香：黑羽君，该起床了哟！,Home_day,,,,
10050009,消息界面,hide,hide,hide,hide,莉香：刚下课，看到一个袋鼠在公园里蹦着过去！好厉害！,Home_day,,,,
10050010,消息界面,hide,hide,hide,hide,莉香：澳大利亚真的要比日本有趣很多呢！,Home_day,,,,
10050011,hide,hide,hide,hide,hide,我看着那三条消息，手指悬在屏幕上方。,Home_day,,,,
10050012,hide,hide,hide,hide,hide,窗外的城市传来日常的喧嚣——远处施工的机械声、便利店自动门的叮咚声、孩童追逐的笑声。这些声音都像是从另一个世界传来的，模糊而遥远。,Home_day,,,,
10050013,hide,hide,hide,hide,hide,我坐起身，揉了揉太阳穴。隐隐觉得有些头痛，或许是睡在新的房间不那么适应。,Home_day,,,,
10050014,hide,hide,hide,hide,hide,随即，我开始在自己的手机打起字来。,Home_day,,,,
10050015,我,hide,hide,hide,hide,刚醒。昨晚加班了。,Home_day,,,,
10050016,hide,hide,hide,hide,hide,发送……等待。,Home_day,,,,
10050017,hide,hide,hide,hide,hide,几乎同时，手机震动。不是文字，是视频通话请求。,Home_day,,,,
10050018,hide,hide,hide,hide,hide,我下意识地看了眼房间——榻榻米上散落的西装外套，墙角还没收拾的公文包，窗台上积着薄灰。,Home_day,,,,
10050019,hide,hide,hide,hide,hide,我快速抓起西装扔进壁橱，把公文包塞到被褥下面，然后深吸一口气，按下了接听键。,Home_day,,,,
10050020,hide,hide,hide,hide,hide,屏幕亮起，先出现的是悉尼灿烂的阳光。,Phone_Coffee,Pure_Lady,,,
10050021,hide,hide,hide,Girlfriend_base,hide,然后才是她的脸——小林莉香，穿着浅蓝色的针织衫，头发松松地扎在脑后，几缕碎发落在脸颊边。,Phone_Coffee,,,,
10050022,hide,hide,hide,Girlfriend_base,hide,背景是咖啡馆的露天座位，能看见绿色的遮阳伞和来往的行人。,Phone_Coffee,,,,
10050023,hide,hide,hide,Girlfriend_base,hide,她笑着挥手。,Phone_Coffee,,,,
10050024,小林莉香,hide,hide,Girlfriend_base,hide,早上好，黑羽君！,Phone_Coffee,,,,
10050025,我,hide,hide,Girlfriend_base,hide,她的声音比记忆里更清脆一些，带着视频通话的轻微失真。悉尼的天气真的好的过分。,Phone_Coffee,,,,
10050026,小林莉香,hide,hide,Girlfriend_base,hide,嗯。你那边……天气真好。,Phone_Coffee,,,,
10050027,小林莉香,hide,hide,Girlfriend_base,hide,对吧！今天才20度，超舒服的。,Phone_Coffee,,,,
10050028,小林莉香,hide,hide,Girlfriend_base,hide,（她把手机拿远了一些，拍了下周围的街景）,Phone_Coffee,,,,
10050029,小林莉香,hide,hide,Girlfriend_base,hide,你看，我常来的这家咖啡馆，他们家的咖啡是特别好喝的！,Phone_Coffee,,,,
10050030,hide,hide,hide,Girlfriend_base,hide,画面里是悠闲的异国街道，人们端着咖啡杯谈笑，鸽子在石板路上踱步。,Phone_Coffee,,,,
10050031,hide,hide,hide,Girlfriend_base,hide,一切都明亮、温暖、正常。,Phone_Coffee,,,,
10050032,hide,hide,hide,Girlfriend_base,hide,而我这里，还是六叠半的昏暗光线。,Phone_Coffee,,,,
10050033,小林莉香,hide,hide,Girlfriend_base,hide,啊，你看起来好累。黑眼圈都出来了。,Phone_Coffee,,,,
10050034,小林莉香,hide,hide,Girlfriend_base,hide,你不是说你只需要负责一些文职工作么？,Phone_Coffee,,,,
10050035,hide,hide,hide,Girlfriend_base,hide,听到这个，我的喉咙突然有些发紧。,Phone_Coffee,,,,
10050036,我,hide,hide,Girlfriend_base,hide,嗯……刚调来大阪，很多事要熟悉。,Phone_Coffee,,,,
10050037,小林莉香,hide,hide,Girlfriend_base,hide,具体是做什么呀？上次你只说“文书工作”，但文书工作怎么会熬夜呢？,Phone_Coffee,,,,
10050038,hide,hide,hide,Girlfriend_base,hide,她的眼睛很大，很亮，此刻正认真地盯着屏幕。,Phone_Coffee,,,,
10050039,hide,hide,hide,Girlfriend_base,hide,我移开视线，看向刚才的灰尘。,Phone_Coffee,,,,
10050040,hide,hide,hide,Girlfriend_base,hide,文书工作是我编造出来的工作内容，以防她四处打听发生一些麻烦的事情。,Phone_Coffee,,,,
10050041,我,hide,hide,Girlfriend_base,hide,现在还是很基础的文书工作，很枯燥。,Phone_Coffee,,,,
10050042,小林莉香,hide,hide,Girlfriend_base,hide,好吧。,Phone_Coffee,,,,
10050043,小林莉香,hide,hide,Girlfriend_base,hide,那你住的地方呢？离上班的警局近么？,Phone_Coffee,,,,
10050044,我,hide,hide,Girlfriend_base,hide,在淀川区。离工作地点……不算远。,Phone_Coffee,,,,
10050045,小林莉香,hide,hide,Girlfriend_base,hide,淀川区……啊！那你有空可以去逛逛心斋桥呀！,Phone_Coffee,,,,
10050046,小林莉香,hide,hide,Girlfriend_base,hide,章鱼烧、大阪烧……,Phone_Coffee,,,,
10050047,小林莉香,hide,hide,Girlfriend_base,hide,不过你肯定又只会去便利店买便当，对吧？,Phone_Coffee,,,,
10050048,hide,hide,hide,Girlfriend_base,hide,她的笑声透过扬声器传出来，在安静的房间里显得格外清晰。,Phone_Coffee,,,,
10050049,hide,hide,hide,Girlfriend_base,hide,我下意识地看向被褥下面——那里塞着的公文包里，确实有一个昨晚从便利店买来的饭团包装纸。,Phone_Coffee,,,,
10050050,我,hide,hide,Girlfriend_base,hide,……偶尔也会自己做。,Phone_Coffee,,,,
10050051,小林莉香,hide,hide,Girlfriend_base,hide,真的？你会做饭了？,Phone_Coffee,,,,
10050052,我,hide,hide,Girlfriend_base,hide,看得出来她蛮惊讶的。,Phone_Coffee,,,,
10050053,我,hide,hide,Girlfriend_base,hide,简单的。味噌汤，米饭，煎鱼。,Phone_Coffee,,,,
10050054,小林莉香,hide,hide,Girlfriend_base,hide,煎鱼啊……你家以前经常吃的秋刀鱼对吧？,Phone_Coffee,,,,
10050055,我,hide,hide,Girlfriend_base,hide,秋刀鱼。,Phone_Coffee,,,,
10050056,我,hide,hide,Girlfriend_base,hide,北海道的秋天，是吃秋刀鱼的好时候。,Phone_Coffee,,,,
