ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10210351,hide,hide,hide,hide,hide,化妆间弥漫着卸妆油和汗的气味。,DressingRoom,Unreal_Memory,,,
10210352,hide,hide,hide,KianaKijima_base,hide,春奈坐在镜前。面具只卸了一半。,DressingRoom,Unreal_Memory,,,
10210353,hide,hide,hide,KianaKijima_base,hide,左半张脸是她自己。右半张脸是黑羽哲也。,DressingRoom,Unreal_Memory,,,
10210354,hide,hide,hide,KianaKijima_base,hide,镜子里有两张脸。一张在发抖。,DressingRoom,Unreal_Memory,,,
10210355,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,经理……我做了一件事。,DressingRoom,Unreal_Memory,,,
10210356,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,我不知道该不该说。,DressingRoom,Unreal_Memory,,,
10210357,hide,hide,hide,KianaKijima_base,hide,旧书页的气味和她自己的汗味混着。分不清是谁的。,DressingRoom,Unreal_Memory,,,
10210358,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,仓库里有人认出了我。他们以为是……你。,DressingRoom,Unreal_Memory,,,
10210359,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,他们让我签了出入记录。还让我处理了一个包裹。,DressingRoom,Unreal_Memory,,,
10210360,hide,hide,hide,KianaKijima_base,hide,她的指甲陷进掌心。声音断断续续。,DressingRoom,Unreal_Memory,,,
10210361,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,包裹里有白色粉末。我签了字。,DressingRoom,Unreal_Memory,,,
10210362,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,用的是你的名字。你的笔迹。,DressingRoom,Unreal_Memory,,,
10210363,hide,hide,hide,hide,hide,签名的笔画力度和主角的一样。一字不差。,DressingRoom,Unreal_Memory,,,
10210364,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,我以为是在帮你。你说你需要证据。,DressingRoom,Unreal_Memory,,,
10210365,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10210366,hide,hide,hide,hide,hide,那个包裹是栽赃。她用主角的身份接了栽赃。,DressingRoom,Coming_Dangerous,,,
10210367,hide,hide,hide,hide,hide,监控录像、出入记录、毒品接触记录。全部指向黑羽哲也。,DressingRoom,Coming_Dangerous,,,
10210368,黑羽哲也,hide,hide,KianaKijima_base,hide,……,DressingRoom,Coming_Dangerous,,,
10210369,hide,hide,hide,hide,hide,白鹤姬会拿到仓库监控。不是卧底身份——是出现在毒品现场的身份。,DressingRoom,Coming_Dangerous,,,
10210370,hide,hide,hide,hide,hide,森山组织开始追杀。白鹤姬把他出卖给了森山。,DressingRoom,Coming_Dangerous,,,
10210371,hide,hide,hide,KianaKijima_base,hide,春奈蜷在化妆间角落。有人敲门。她缩了一下。面具没摘。,DressingRoom,Unreal_Memory,,,
10210372,hide,hide,hide,KianaKijima_base,hide,她对着镜子张嘴。主角的嘴型动了。她自己的声音没出来。,DressingRoom,Unreal_Memory,,,
10210373,hide,hide,hide,KianaKijima_base,hide,镜中人的嘴角弯着。她自己的嘴角没有动。,DressingRoom,Unreal_Memory,,,
10210374,hide,hide,hide,KianaKijima_base,hide,她坐在镜前。一动不动。,DressingRoom,Unreal_Memory,,,
10210375,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,经理……我找不到我了。,DressingRoom,Unreal_Memory,,,
10210376,hide,hide,hide,hide,hide,面具边缘开始发痒。她没有去挠。,DressingRoom,Unreal_Memory,,,
10210377,hide,hide,hide,hide,hide,BE10：镜中人,DressingRoom,,,,BE10结局
