ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10410401,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410402,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410403,hide,hide,hide,hide,hide,事务所的窗帘只拉了一半。下午的阳光从另一半窗户里劈进来，在地板上画了一条很直的亮线。美咲蔷薇坐在桌子对面。她没有穿平时那套深色西装——今天穿了便服。一件灰色的开衫，领口很低，能看到锁骨的轮廓。她的头发散着，没有束。大概是刚从外面回来，头发上还有一点风的味道。,Club_away,Warm_Encounter,,,
10410404,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410405,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410406,hide,hide,hide,hide,hide,空气里有咖啡的味道。她自己在厨房冲的——雀巢速溶咖啡，水不够热，粉没全化开，杯底有一层沉淀。她端起来喝了一口，皱了皱眉，但没有放下。继续喝。,Cafe,Warm_Encounter,,,
10410407,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10410408,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10410409,hide,hide,hide,hide,hide,你知道今年的晚宴为什么这么隆重吗。,Cafe,Warm_Encounter,,,
10410410,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10410411,hide,hide,hide,hide,hide,,Cafe,Warm_Encounter,,,
10410412,hide,hide,hide,hide,hide,她把杯子放在桌上。杯底磕在桌面上发出很脆的一声。然后她从包里拿出一本黑色的笔记本。不是上次那本黑皮书——这本更薄，封面上没有字。她翻开。里面是手写的记录。字迹很潦草，但信息密度很高。每一行都写着人名、日期、金额。,Cafe,Mystery_Box,,,
10410413,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410414,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410415,hide,hide,hide,hide,hide,村上道也将在晚宴上完成最后一笔交易。一百亿。现金加货。所有在他名下的渠道，一次性交割。买家的名字我不能说——但你可以查。中东那边来的。,Cafe,Mystery_Box,,,
10410416,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410417,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410418,hide,hide,hide,hide,hide,她翻到下一页。这页画了一个简单的组织结构图。村上的名字在最上面，下面分了三条线——一条连到几个我不认识的名字，一条连到十二飞鸟，一条连到一个问号。雪代的名字在十二飞鸟那一条的末端。但旁边打了一个小小的箭头。箭头朝上。,Cafe,Mystery_Box,,,
10410419,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410420,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410421,hide,hide,hide,hide,hide,不只是交易。村上要把俱乐部的控制权正式交割出去。他老了。这些年警察查得紧，他损失了不少人。他的儿子不想接这个生意——儿子在伦敦念商学院，毕业之后进了投行。村上需要一个接班人。,Cafe,Mystery_Box,,,
10410422,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410423,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410424,hide,hide,hide,hide,hide,她把笔记本转过来，推到我面前。手指点在那个问号上。,Cafe,Mystery_Box,,,
10410425,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410426,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410427,hide,hide,hide,hide,hide,这个接班人——村上以为是雪代。,Cafe,Mystery_Box,,,
10410428,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410429,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410430,hide,hide,hide,hide,hide,咖啡的味道在房间里慢慢变苦。不是咖啡本身变苦了——是空气里的某种东西。美咲把笔记本合上。看着我。,Cafe,Mystery_Box,,,
10410431,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410432,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410433,hide,hide,hide,hide,hide,但雪代想的不是接班。她想的是——趁交割的时候，把村上踢出局。,Cafe,Mystery_Box,,,
10410434,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410435,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410436,hide,hide,hide,hide,hide,她站起来。走到窗边。阳光落在她侧脸上。她的表情很平静——和平时一样。但她的手指在窗台上轻轻敲着。一下。一下。没有节奏。不是不耐烦。是脑子里在高速运转。,Cafe,Mystery_Box,,,
10410437,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410438,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410439,hide,hide,hide,hide,hide,"我已经把情报同步给了Linda。Interpol那边需要一个""正在发生的犯罪现场""才能正式介入。晚宴就是那个现场。",Cafe,Mystery_Box,,,
10410440,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410441,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410442,hide,hide,hide,hide,hide,她转过来。眼睛在逆光里变成了很深的颜色。不是黑色——是那种光线透不进去的灰。,Cafe,Mystery_Box,,,
10410443,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410444,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410445,hide,hide,hide,hide,hide,Day 60。黑羽。那天晚上会发生的事——比你想象的要多得多。,Cafe,Mystery_Box,,,
10410446,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
