ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10250301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10250302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10250303,hide,hide,hide,hide,hide,"早上六点。从昨晚那通电话到现在——十八个小时。我打了七次。每一次都是同一个声音——""您拨打的电话已关机""。不是无人接听。是关机。是有人按住了电源键。或者电池被取出来了。或者手机碎了。屏幕朝下。躺在某个我没去过的地方。",Club_away,Mixed_Emotion,,,
10250304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10250305,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10250306,hide,hide,hide,hide,hide,窗外开始下雪。不是雪花。是雪粒。很细，被风卷着，打在玻璃上发出沙沙的声音。像是有人在窗外不停地撒沙子。暖气片在墙角嗡鸣。空气很干。嘴唇裂了。舌尖舔到一点点铁锈味。我坐在桌前。面前摊着三样东西——凤凰卡、夜鸢的档案、和昨晚记录佐藤通话的备忘录。三样东西在台灯的光下形成一个很小的三角形。不稳定的三角形。因为其中一个角——断了。,Club_away,Mixed_Emotion,,,
10250307,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10250308,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,低声
10250309,hide,hide,hide,hide,hide,……增田之后是佐藤。,Club_away,Mixed_Emotion,,,
10250310,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10250311,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10250312,hide,hide,hide,hide,hide,"这句话说出口的时候，喉咙里有一点点苦。不是咖啡的苦——从昨晚到现在没喝咖啡。是胃酸。从胃里翻上来的。我把凤凰卡翻过来。磁条在灯光下反射出一条很细的线。那个小二维码在放大镜下能看到更多细节——三个很小的汉字印在右下角。不是日文。是中文——""火鳳凰""。我把照片发给佐藤的那个号码。对方没有接收。消息前面一直显示一个灰色的对勾。未送达。",Cafe,Mixed_Emotion,,,
10250313,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
