ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10310601,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310602,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310603,hide,hide,hide,hide,hide,凌晨两点。公寓桌上摊着所有东西：雪代给的旧账簿、佐藤的传真、夜鸢给的黑皮书复印件、Linda给的入境记录、山下达彦的尸检报告摘抄、凤凰/G-Rebirth的缩写破译笔记。每一张纸的边缘都对不齐，摊成一片白色的碎块，像地图被人剪碎了重新拼。,Apartment,Silent_Night,,,
10310604,hide,hide,hide,hide,hide,窗外在下雨。雨点打在铁皮屋檐上，声音不密——是那种很细的秋雨，隔几秒才落一滴。空气很湿，榻榻米上有一块潮气从墙角渗过来，闻起来像旧木头的霉味。,Apartment,Silent_Night,,,
10310605,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10310606,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10310607,hide,hide,hide,hide,hide,我用铅笔在空白纸上画了一条时间线。雪鹤姬死——增田死——山下达彦死——佐藤被捕。四个点连成一条往下斜的线。佐藤说过一句话：这个案子里每个人都会出事。他在说别人的时候，已经把自己算进去了。,Apartment,Silent_Night,,,
10310608,hide,hide,hide,hide,hide,我翻通讯录。拇指在键盘上往下按。每经过一个名字就停一下。Linda——在休息室沙发上，膝盖上放着加密电脑。夜鸢——在黑皮书的另一边，手指敲着桌面。景子——蹲在厨房储物间，漂白水从指缝往下滴。南梨——织到围巾最后一针，线不够了，停在半空。紫——翻开一张不是她的牌，指甲陷进纸面。育子——在夜校电脑前，等一个网页加载完。,RestRoom,Mystery_Box,,,
10310609,hide,hide,hide,hide,hide,不是清单。是画面。每一个画面都亮着。但连不起来。所有的线都通向我。,RestRoom,Mystery_Box,,,
10310610,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10310611,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10310612,hide,hide,hide,hide,hide,……最后一个。,RestRoom,Mystery_Box,,,
10310613,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10310614,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10310615,hide,hide,hide,hide,hide,不是自怜。是事实。佐藤进去了，增田死了，雪鹤姬死了。还在查这件事的人——只有我。如果我也停下来，所有的纸都会变成废纸，所有死去的人都会变成统计数字里的一格。,RestRoom,Mystery_Box,,,
10310616,hide,hide,hide,hide,hide,我把所有纸张按顺序重新整理。账簿放第一层。佐藤传真放第二层。破译笔记放第三层。上面压了一本旧书——很重，如果谁想拿，会有声响。,RestRoom,Mystery_Box,,,
10310617,hide,hide,hide,hide,hide,然后我写了一张纸条。放在所有东西最上面。只写了一行字：如果我不在了，把这些交给东乡树。,RestRoom,Mystery_Box,,,
10310618,hide,hide,hide,hide,hide,东乡树——佐藤的搭档，被调离之后在地方警署做内勤。佐藤说过他是个可以信任的人。但我没见过他。只是听说过这个名字。,RestRoom,Mystery_Box,,,
10310619,hide,hide,hide,hide,hide,雨停了。窗外安静下来。钟的秒针还在走。我关了台灯。黑暗中榻榻米的霉味更清楚了。像从地底下渗上来的，不是一天两天的潮湿——是很久以前就有，只是现在才被注意到。,RestRoom,Silent_Night,,,
10310620,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
