ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10280401,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280402,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280403,hide,hide,hide,hide,hide,下午三点。美咲蔷薇约我在二楼的私人休息室见面。这间屋子平时她不用——只有谈交易的时候才开。房间里有一张黑漆矮桌，两把椅子，墙上什么都没有挂。窗户关着，窗帘拉了一半。空气里有她的香水味——玫瑰和某种金属味混在一起，像放久了的银器。,RestRoom,Silent_Night,,,
10280404,hide,hide,hide,hide,hide,她坐在桌后，黑皮书摊开在面前。新的那一页已经写好了字，墨迹干了。她手指放在书页边缘，没有翻开。只是看着我。,RestRoom,Mystery_Box,,,
10280405,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280406,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280407,hide,hide,hide,hide,hide,你知道规矩。信息不是免费的。从来不是。,RestRoom,Mystery_Box,,,
10280408,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280409,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280410,hide,hide,hide,hide,hide,……这次多少。,RestRoom,Mystery_Box,,,
10280411,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280412,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280413,hide,hide,hide,hide,hide,她翻开新一页。上面是三行字，用细头钢笔写的，字体很窄，像刀尖划出来的痕迹。她用手遮住下半部分，只让我看到第一行。,RestRoom,Mystery_Box,,,
10280414,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280415,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280416,hide,hide,hide,hide,hide,上一页的价钱是二十万。这一页——四十万。你可以不看。但我知道你会看。,RestRoom,Mystery_Box,,,
10280417,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280418,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280419,hide,hide,hide,hide,hide,……为什么翻倍。,RestRoom,Mystery_Box,,,
10280420,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280421,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280422,hide,hide,hide,hide,hide,"她把手从书页上移开。三行字全部暴露出来。最下面一行被划了一道线，但没划死——像是在说""你可以知道，但最好别知道""。",RestRoom,Mystery_Box,,,
10280423,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280424,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280425,hide,hide,hide,hide,hide,因为这一页的东西不是用来交易的。是用来活命的。,RestRoom,Mystery_Box,,,
10280426,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280427,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280428,hide,hide,hide,hide,hide,她推过一张纸。上面写着一个地址——银座三丁目，一栋旧商住楼的四楼。一个公司名字，注册人不是森山，是一个已经在十年前过世的人。,RestRoom,Mystery_Box,,,
10280429,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280430,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280431,hide,hide,hide,hide,hide,四十万。明天之前。现金。,RestRoom,Mystery_Box,,,
10280432,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280433,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280434,hide,hide,hide,hide,hide,我把纸折起来收进口袋。站起来的时候，椅子腿在地板上刮出很轻的一声。美咲蔷薇合上黑皮书。手指在封面上停了一秒——那本书的皮不是布，也不是纸。闻起来是旧皮革和烟草的混合。,RestRoom,Mystery_Box,,,
10280435,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280436,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280437,hide,hide,hide,hide,hide,你在查的那个人——森山。他在日本没有犯罪记录。但在三个国家有。都不是小罪。只是那些国家的司法系统和日本不互通。他很清楚这一点。,RestRoom,Mystery_Box,,,
10280438,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280439,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280440,hide,hide,hide,hide,hide,……你怎么知道我在查他。,RestRoom,Mystery_Box,,,
10280441,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280442,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280443,hide,hide,hide,hide,hide,她笑了。不是笑给我看——是笑给空气里的某个东西。,RestRoom,Mystery_Box,,,
10280444,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280445,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10280446,hide,hide,hide,hide,hide,因为你昨天在后巷拍了一张照片。翻盖机快门声很响。我在楼上听到了。,RestRoom,Mystery_Box,,,
10280447,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
