ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10110301,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10110302,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10110303,hide,hide,hide,hide,hide,早上六点五十五分。翻盖机亮了。,Cafe,Mixed_Emotion,,,
10110304,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110305,hide,hide,hide,hide,hide,"佐藤的消息比增田的更短。增田至少还会用""请""字。佐藤不用。他的每条消息都像从写字板上撕下来的便签——只有动词和名词。",Cafe,Mixed_Emotion,,,
10110306,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110307,hide,hide,hide,hide,hide,"""取证太慢。村上昨天调了搜查一课的旧案卷宗。不清楚他在查什么。加速。""",Cafe,Mixed_Emotion,,,
10110308,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110309,hide,hide,hide,hide,hide,"村上。这个名字是第二次出现在加密消息里。第一次是佐藤在电话里说""村上道也是贩毒网络安插在警方的保护伞""。第二次就是现在。他在调旧案卷宗。不知道在查什么。",Cafe,Mixed_Emotion,,,
10110310,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110311,hide,hide,hide,hide,hide,"我把这条消息锁进加密分区。和增田最后那条""明天之前必须见面""放在同一个文件夹。两条消息的共同点是——它们都在说同一件事：有人在做什么。而我不知道。",Cafe,Mixed_Emotion,,,
10110312,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110313,hide,hide,hide,hide,hide,合上翻盖机。起床。今天下午要去大学区。,Cafe,Mixed_Emotion,,,
10110314,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10110315,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
