ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1007004701,hide,hide,hide,hide,hide,我的指尖向前探去，几乎要触到水面，触到那些漂浮在她锁骨周围的花瓣——,Bathroom_Jan,,,,
1007004702,hide,hide,hide,hide,hide,花瓣轻轻荡漾，仿佛也在等待着我……,Bathroom_Jan,,,,
1007004703,hide,hide,hide,hide,hide,此时，眼前的丽人突然睁眼。,Bathroom_Jan,,,,
1007004704,白鹤姬·桂原雪代,hide,hide,hide,hide,够了。,Bathroom_Jan,Coming_Dangerous,,,
1007004706,hide,hide,hide,hide,hide,她缓缓从水中站起，完全不在乎身体的裸露。,Bathroom,,,,
1007004707,hide,hide,hide,hide,hide,水珠从她身上滚落。,Bathroom,,,,
1007004708,hide,hide,hide,hide,hide,她跨出浴缸，伸手拿起那条米白色浴巾，慢条斯理地裹住身体。,Bathroom,,,,
1007004709,hide,hide,hide,YukiyoKatsurahara_shower,hide,整个过程，她的眼睛一直盯着我。,Bathroom,,,,
1007004710,hide,hide,hide,YukiyoKatsurahara_shower,hide,我就这样，不知所措地看着她系好浴巾。,Bathroom,,,,
1007004711,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你伸手了，经理。,Bathroom,,,,
1007004712,hide,hide,hide,YukiyoKatsurahara_shower,hide,她的声音平静的可怕。,Bathroom,,,,
1007004713,hide,hide,hide,YukiyoKatsurahara_shower,hide,她走近一步，湿发梢的水滴落在我鞋尖。,Bathroom,,,,
1007004714,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,香气只是放大你心里已有的东西。,Bathroom,,,,
1007004715,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,它不会创造欲望……只会唤醒欲望。,Bathroom,,,,
1007004716,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你这里……早就有了不该有的念头。,Bathroom,,,,
1007004717,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,这种念头，在“十二飞鸟俱乐部”的经理这里，可不应该有。,Bathroom,,,,
1007004718,我,hide,hide,YukiyoKatsurahara_shower,hide,我……,Bathroom,,,,
1007004719,hide,hide,hide,YukiyoKatsurahara_shower,hide,我想辩解，想说她理解错了我的意思，但是显然她并不给我机会。,Bathroom,,,,
1007004720,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你可以走了。今晚的事，就当没发生过。,Bathroom,,,,
1007004721,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,不过……,Bathroom,,,,
1007004722,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,黑羽经理，你明天不用来了。,Bathroom,,,,
1007004723,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,不，是永远不用来了。,Bathroom,,,,
1007004724,hide,hide,hide,hide,hide,我走出房间时，双腿有些发软。,Corridor,,,,
1007004725,hide,hide,hide,hide,hide,走廊的冷空气像一记耳光抽在脸上。,Corridor,,,,
1007004726,hide,hide,hide,hide,hide,我靠在墙上，大口呼吸，试图驱散肺叶里残留的甜腻香气。,Corridor,,,,
1007004727,hide,hide,hide,hide,hide,但没用。那股味道已经渗进去了……,Corridor,,,,
1007004728,hide,hide,hide,hide,hide,从俱乐部走出来，我像是没有意识一般浑浑噩噩地来到了公寓楼下。,Home_night_corrider,,,,
1007004729,hide,hide,hide,hide,hide,脚步声从身后响起时，我已经来不及回头。,Home_night_corrider,Kill_Death,,,
1007004730,hide,hide,hide,hide,hide,白鹤姬房间里的香气让我一直处在恍惚的状态。,Home_night_corrider,,,,
1007004731,hide,hide,hide,hide,hide,警校接受的训练受制于身体完全发挥不了作用。,Home_night_corrider,,,,
1007004732,hide,hide,hide,hide,hide,第一击落在后腰，剧痛让我瞬间跪倒在地。,Home_night_corrider,,,,
1007004733,hide,hide,hide,hide,hide,然后是密集的踢打——腹部、肋骨、大腿。,Home_night_corrider,,,,
1007004734,hide,hide,hide,hide,hide,他们下手很重，但避开头部和要害。,Home_night_corrider,,,,
1007004735,hide,hide,hide,hide,hide,最后，有人抓住我的右手腕，按在冰冷的石地上。,Home_night_corrider,,,,
1007004736,神秘男子,hide,hide,hide,hide,白鹤姐说……这只手就不能留了。,Home_night_corrider,,,,
1007004737,hide,hide,hide,hide,hide,铁棍砸下来的瞬间，我听见自己骨头碎裂的声音。,Home_night_corrider,,,,
1007004738,hide,hide,hide,hide,hide,剧痛像电流般传遍全身，视野一片空白……,Home_night_corrider,,,,
1007004739,hide,hide,hide,hide,hide,……,Police_StoreHouse,Lightly_Sad,,,
1007004740,hide,hide,hide,hide,hide,大阪警署后勤科仓库里的灰尘有自己的作息。,Police_StoreHouse,,,,
1007004741,hide,hide,hide,hide,hide,我坐在仓库角落的金属办公桌后，右手握着扫描枪。,Police_StoreHouse,,,,
1007004742,hide,hide,hide,hide,hide,手腕处传来熟悉的隐痛——不是尖锐的刺痛，而是一种深埋在骨头里的、阴雨天会加重的钝痛。,Police_StoreHouse,,,,
1007004743,hide,hide,hide,hide,hide,像有根生锈的铁钉楔在桡骨裂缝间，每次转动手腕，都能感觉到它在摩擦。,Police_StoreHouse,,,,
1007004744,hide,hide,hide,hide,hide,自从五年前那件事以后，警署的各类真正属于警察的工作就渐渐离我远去。,Police_StoreHouse,,,,
1007004745,hide,hide,hide,hide,hide,因为升迁无望，又被调到了这里，我也和小林莉香很自然地分手了。,Police_StoreHouse,,,,
1007004746,hide,hide,hide,hide,hide,——既然一开始就不在同一条路上，那不如早点分开为好。,Police_StoreHouse,,,,
1007004747,hide,hide,hide,hide,hide,“嘀——”,Police_StoreHouse,,,,
1007004748,hide,hide,hide,hide,hide,扫描枪的红光掠过纸箱上的条形码。,Police_StoreHouse,,,,
1007004749,hide,hide,hide,hide,hide,屏幕显示：证物编号260105-B，十二飞鸟俱乐部奸杀案·现场照片（副本），保管等级C。,Police_StoreHouse,,,,
1007004750,hide,hide,hide,hide,hide,我的手指顿了一下，其实我很想打开看看。,Police_StoreHouse,,,,
1007004751,hide,hide,hide,hide,hide,但是过去的经历让我知道，不该碰的东西别碰。,Police_StoreHouse,,,,
1007004752,hide,hide,hide,hide,hide,我收回手。手腕又是一阵刺痛。,Police_StoreHouse,,,,
1007004753,hide,hide,hide,hide,hide,转身回到办公桌前，拿起扫描枪，继续工作。,Police_StoreHouse,,,,
1007004754,hide,hide,hide,hide,hide,“嘀——”,Police_StoreHouse,,,,
1007004755,hide,hide,hide,hide,hide,“嘀——”,Police_StoreHouse,,,,
1007004756,hide,hide,hide,hide,hide,“嘀——”,Police_StoreHouse,,,,
1007004757,hide,hide,hide,hide,hide,单调的电子音在空旷的仓库里回响。,Police_StoreHouse,,,,
1007004758,hide,hide,hide,hide,hide,像是倒计时。,Police_StoreHouse,,,,
1007004759,hide,hide,hide,hide,hide,又像是某种东西，正一点一点，被锁进尘埃深处。,Police_StoreHouse,,,,
1007004760,hide,hide,hide,hide,hide,Bad End,Police_StoreHouse,,,"loadScript(Day_2_night_DeathTrack,10070073)",
