ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10420301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420303,hide,hide,hide,hide,hide,宴会厅里的桌椅还没摆好。圆桌堆在墙角，桌板靠在墙上，椅子叠成很高的两摞。地板刚打过蜡，泛着一层薄光。空气里有新木头的树脂味，混合着打蜡剂的松香。窗外的阳光从东边的窗户进来，在地板上画了一排平行的亮条。,Club_away,Silent_Night,,,
10420304,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420305,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420306,hide,hide,hide,hide,hide,雪代站在宴会厅中央。手里拿着那张座位图。她已经站了很久——从门口走到中央，停住，低头看图，抬头看空间，然后又低头看图。她在用身体丈量每一张桌子的位置。她的步子不大，但每一步都很准。从东墙到西墙，正好十二步。从北墙到南墙，正好十步。,Club_away,Silent_Night,,,
10420307,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420308,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420309,hide,hide,hide,hide,hide,主桌放这里。离厨房门三米。不要太近——厨房的蒸汽会影响气氛。不要太远——上菜的路程超过三十秒，菜会凉。,Club_away,Silent_Night,,,
10420310,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420311,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420312,hide,hide,hide,hide,hide,她用鞋尖在打过蜡的地板上点了一下。一个很小的痕迹。然后她退后两步，从怀里掏出一截粉笔。蹲下来。在地上画了一个圈。圈的位置正好在她脚尖点过的位置。她画得很圆——不是练过，是做了太多次。,Club_away,Silent_Night,,,
10420313,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420314,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420315,hide,hide,hide,hide,hide,主桌十二个座位。村上坐这里。面朝东。东边是出口。他以为面朝出口最安全——能看到每一个进出的人。,Club_away,Silent_Night,,,
10420316,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420317,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420318,hide,hide,hide,hide,hide,她在圈的一侧画了一个小叉。然后在小叉的左手边画了另一个叉。,Club_away,Silent_Night,,,
10420319,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420320,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420321,hide,hide,hide,hide,hide,买家坐这里。左手。左手意味着——他不是今天的核心。他只是一个客人。一个带了钱的客人。,Club_away,Silent_Night,,,
10420322,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420323,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420324,hide,hide,hide,hide,hide,她在小叉的右手边又画了一个叉。,Club_away,Silent_Night,,,
10420325,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420326,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420327,hide,hide,hide,hide,hide,我坐这里。右手。右手是执行者的位置。倒茶的人。递文件的人。他以为我是在服务他。但实际上——我是在控制他。,Club_away,Silent_Night,,,
10420328,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420329,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420330,hide,hide,hide,hide,hide,她站起来。退后两步。看着地上的粉笔圈和三个叉。然后她抬起头，在宴会厅里扫了一圈。目光停在厨房门上。,Club_away,Silent_Night,,,
10420331,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420332,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420333,hide,hide,hide,hide,hide,你的位置——厨房门旁边。第48号座位。,Club_away,Silent_Night,,,
10420334,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420335,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10420336,hide,hide,hide,hide,hide,她说这句话的时候没有看我。她的眼睛还在厨房门上。厨房门是金属的，上面有一块磨砂玻璃。磨砂玻璃透光，但不透明。能看到里面有人影在晃动——大概是厨房的人在做准备。但那扇门关上之后，外面的人看不到里面，里面的人看不到外面。,Club_away,Mixed_Emotion,,,
10420337,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420338,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420339,hide,hide,hide,hide,hide,厨房门是宴会厅里唯一一个不被主桌视线覆盖的位置。村上不会看到你。买家不会看到你。但你可以看到所有人。,Club_away,Mixed_Emotion,,,
10420340,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420341,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420342,hide,hide,hide,hide,hide,她转过来。看着我。粉笔在她手指上留下了白色的痕迹。她在和服上擦了擦手指。白粉在白布料上几乎看不出来。,Club_away,Mixed_Emotion,,,
10420343,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420344,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420345,hide,hide,hide,hide,hide,你不是客人。你是观察者。那天晚上——我需要一个观察者。,Club_away,Mixed_Emotion,,,
10420346,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420347,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10420348,hide,hide,hide,hide,hide,她说完这句话就转身了。走向下一张桌子的位置。蹲下来。继续画圈。继续画叉。粉笔在地板上发出很轻的摩擦声。宴会厅里很安静。只有她的脚步声、粉笔声、和窗外偶尔传来的鸟叫。阳光慢慢地从东边的窗户移到了中间。地板上那排平行的亮条，变成了一个大的亮块。雪代蹲在亮块里，白色的和服被阳光照得几乎透明。,Club_away,Silent_Night,,,
10420349,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
