ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10400601,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10400602,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10400603,hide,hide,hide,hide,hide,招牌灯亮了。不是全部——还有几根灯管坏了，大概是台风打坏的。但亮起来的那部分，光已经很够了。暖黄色的光投在湿漉漉的柏油路面上，画出一个椭圆形的光圈。招牌上的字——「十二飞鸟」——在光里显得很干净。台风雨洗掉了积了很久的灰。,Corridor,Melancholy_Rain,,,
10400604,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10400605,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10400606,hide,hide,hide,hide,hide,大厅里有一种重新开始的味道。清洁剂、打蜡的地板、刚换的桌布上的浆粉味。还有更淡的——廊下那排茶杯里的残茶香。吊灯全部亮了。一盏不少。,Club_lobby,Melancholy_Rain,,,
10400607,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400608,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400609,hide,hide,hide,hide,hide,雪代站在门口。换了一身和服。不是平时那件白色的。是深蓝色的，袖口绣了银线。头发盘起来了。戴了那支白色羽毛发饰。她的站姿和第一天我看到她时一模一样。,Club_lobby,Melancholy_Rain,,,
10400610,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400611,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400612,hide,hide,hide,hide,hide,其他人各就各位。紫在吧台旁边摆好了塔罗牌。夏实在化妆镜前做最后的检查。彩在帮瞳整理演出服。育子坐在南梨原来的位子上，面前放着一本账簿。她在核对今天的预定名单。手指在名单上一行一行地移。很慢，但很准。,Club_lobby,Melancholy_Rain,,,
10400613,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400614,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400615,hide,hide,hide,hide,hide,时钟指向八点。大门开了。第一位客人走进来。是个中年男人，穿着被雨打湿的西装。他抖掉伞上的水，抬头看到雪代，愣了一下。然后微微鞠躬。雪代回了一礼——不是鞠躬，是那种她特有的，微微低头。客人走进大厅。吊灯的光落在他肩上。,Club_lobby,Melancholy_Rain,,,
10400616,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400617,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400618,hide,hide,hide,hide,hide,外面又下起了很小的雨。不是台风雨。是普通的夜雨。细细的，打在招牌上几乎听不到声音。俱乐部门口的灯光在湿漉漉的路面上画了一条金色的路。,Club_lobby,Melancholy_Rain,,,
10400619,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400620,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10400621,hide,hide,hide,hide,hide,我站在大厅的角落。和第一天一样的位置。手插在口袋里，指尖碰到了那把黄铜钥匙。钥匙被体温晤了两个月，早就没有金属的凉意了。窗外那棵被台风刮歪的树还没倒。街对面那台自动贩卖机的灯坏了，一闪一闪，像在发摩斯电码。远处的电车线被雨水洗过之后亮闪闪的。,Club_lobby,Melancholy_Rain,,,
10400622,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
