ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10250801,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250802,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250803,hide,hide,hide,hide,hide,我把手机放在桌上。屏幕暗了。又亮了——壁纸是系统默认的蓝色。我把手机翻过来，屏幕朝下。然后站起来。走向白鹤姬的抽屉。那个锁换过的抽屉。代理经理——应该有钥匙。但雪代没有给。不是忘了。是故意的。所有的授权都在这里——人事、投诉、签字。唯独这个抽屉。她把那个抽屉留给了我。不是留给我用。是留给我看。看我会不会在没有钥匙的时候——撬开它。,Manager_Office,Silent_Night,,,
10250804,hide,hide,hide,hide,hide,我的手停在抽屉拉手上。金属是冰的。冰到指尖有一点刺痛。然后收回来了。,Manager_Office,Silent_Night,,,
10250805,hide,hide,hide,hide,hide,"不是怕。是知道——她在看。不是用眼睛。是用那个""验收""。她用三天不在——买我一个选择。如果我撬了——就证明我是贼。如果不撬——就证明我忍住了。但没有第三个选项。这就是白鹤姬的游戏。永远只给你两个选择。两个——都是她预设好的答案。",Manager_Office,Silent_Night,,,
10250806,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250808,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250809,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250810,hide,hide,hide,hide,hide,我把手机拿起来。回复。一个字。,Manager_Office,Silent_Night,,,
10250811,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250812,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,消息文字
10250813,hide,hide,hide,hide,hide,好。,Manager_Office,Silent_Night,,,
10250814,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250815,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250816,hide,hide,hide,hide,hide,"屏幕显示""已读""。她没有再回复。我把手机放进口袋。办公室的门开着。走廊里很暗。只有安全出口的绿色指示灯在尽头亮着。那道光照在地板上，像一条很细的绿色的河。我顺着走廊走到大厅。大厅里已经没有人了。吧台的杯子收好了。椅子倒扣在桌上。地板上没有垃圾。一切都很整齐。整齐得像是在等着什么。我站在大厅中央。头顶的灯已经关了。只有窗外路灯的光。橙色的。照在空荡荡的舞池上。这家店今晚——是我的。但不是我的。从来都不是。",Corridor,Silent_Night,,,
10250817,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
