ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10230601,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10230602,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10230603,hide,hide,hide,hide,hide,深夜十一点。走廊尽头的转角灯坏了，那一块区域沉在很深的阴影里。我路过的时候，差点踩到什么东西。不是东西。是人。濑户瞳蜷缩在墙角，膝盖顶着胸口，手臂抱着小腿。她的身体团得很紧，像一个被打包起来的东西。眼睛睁着。但不是在看。是睁着眼睛在别的地方。,Corridor,Silent_Night,,,
10230604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230605,双雀姬·濑户彩,hide,hide,hide,hide,,Corridor,Silent_Night,,,嘴唇翕动，几乎听不见
10230606,hide,hide,hide,hide,hide,……不要……松开……,Corridor,Silent_Night,,,
10230607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230609,hide,hide,hide,hide,hide,"她说""不要松开""的时候，手指掐在自己的小腿上。指甲陷进皮肤，留下很深的月牙形印子。她穿着俱乐部的制服——酒红色的短裙，白色的领结——但领结歪了，裙摆上有一小块灰尘。她在这里蜷了多久，没有人知道。",Corridor,Silent_Night,,,
10230610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230612,hide,hide,hide,hide,hide,走廊另一头传来脚步声。很快。是濑户彩。她跑过来的姿势和别人不一样——身体微微前倾，脚尖先落地，几乎不出声。像是马戏团里走过钢丝的人。她在我面前蹲下，没有碰瞳。只是蹲下，让瞳能感觉到她的存在。,Corridor,Silent_Night,,,
10230613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230614,双雀姬·濑户彩,hide,hide,hide,hide,,Corridor,Silent_Night,,,声音压得很低
10230615,hide,hide,hide,hide,hide,瞳——是我。姐姐在。,Corridor,Silent_Night,,,
10230616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230617,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230618,hide,hide,hide,hide,hide,瞳的眼睛动了一下。很慢。像是一个在很远处的人，听到了从很远处传来的声音。她抬起手，彩立刻握住。握的方式不是用力——是包住。把妹妹的手指全部包在自己的手掌里。然后彩转过头看我。她的表情是平的。但眼睛不是。眼睛里有某种烧了很久的东西，只剩灰烬。,Corridor,Silent_Night,,,
10230619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230620,双雀姬·濑户彩,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230621,hide,hide,hide,hide,hide,经理——没事的。只是梦。,Corridor,Silent_Night,,,
10230622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230624,hide,hide,hide,hide,hide,……什么梦。,Corridor,Silent_Night,,,
10230625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230626,双雀姬·濑户彩,hide,hide,hide,hide,,Corridor,Silent_Night,,,沉默了一会儿
10230627,hide,hide,hide,hide,hide,马戏团。她梦见——我们还在马戏团。,Corridor,Silent_Night,,,
10230628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230629,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
