ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10530601,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530602,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530603,hide,hide,hide,hide,hide,我路过茶室的时候，纸门缝里透出一条很细的光。走廊里很暗。只有那一条光——黄色的，窄窄的，从门缝里漏出来，落在走廊的木地板上。光里面能看到灰尘在慢慢飘。不是很多灰尘——是几颗。几颗很小的，在光柱里浮着。像雪。但比雪小。比雪轻。,Corridor,Silent_Night,,,
10530604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530605,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530606,hide,hide,hide,hide,hide,走廊里有一股很淡的茶味。从茶室的门缝里渗出来的。大麦茶。凉的。混着走廊里固有的味道——木头地板打了蜡之后的油脂味，和墙角堆放着的旧杂志的纸霉味。走廊尽头有一扇窗开着。夜风灌进来。很轻。但足够让纸门上的那道影子微微晃动。,Corridor,Silent_Night,,,
10530607,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530609,hide,hide,hide,hide,hide,那道影子是雪代的。她坐在矮桌前。背对着门。影子被台灯投在纸门上——不是一个清晰的影子，是模糊的。纸门的厚度让影子的边缘变软了。能看到她肩膀的轮廓。头的轮廓。她低着头。大概在看什么东西。或者什么都没看。只是低着头。,Corridor,Silent_Night,,,
10530610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530611,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530612,hide,hide,hide,hide,hide,影子没有动。很长一段时间没有动。长到走廊里那几颗浮在光里的灰尘都飘走了，新的灰尘还没飞进来。她就这样坐着。不动。不喝茶。不说话。只是坐在那里。在台灯的光里。在茶的味道里。在那把坐了十一年的椅子上。,Corridor,Silent_Night,,,
10530613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530615,hide,hide,hide,hide,hide,我没有敲门。不是不想——是知道这个时刻不需要敲门。敲门是一种打扰。而她正在做的——不管是回忆，是决定，是告别——都不能被打扰。我把手从门框上拿开。退后一步。走廊里的风吹过来。把我脚下的灰尘吹散了。,Corridor,Unreal_Memory,,,
10530616,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10530617,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10530618,hide,hide,hide,hide,hide,纸门上的影子终于动了一下。她直起腰。转头——不是转向门，是转向那面铜镜的方向。然后影子又不动了。她大概在看着铜镜。看着铜镜里那个模糊的、暗绿色的轮廓。看着那个自己在二十一年前种下的——现在终于要收获的东西。,Corridor,Unreal_Memory,,,
10530619,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10530620,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10530621,hide,hide,hide,hide,hide,走廊里的风停了。纸门上的影子稳住了。我把手插进口袋里。转身走回事务所。身后那条从门缝里漏出来的光，在走廊地板上继续亮着。像一根很细的金线。一头连着茶室里的雪代。一头连着我脚下正在退去的黑暗。,Corridor,Silent_Night,,,
10530622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10530624,hide,hide,hide,hide,hide,"市区某栋公寓。Linda坐在电脑前。屏幕上是一封未发出的邮件——收件人是Interpol莫斯科分局。她打了几行字。删了。又打。又删。最后只留了一行：""行动结束后，申请两周假期。回符拉迪沃斯托克看雪。"" 她把桌上的照片拿起来——那个站在雪地里的男孩。看了一会儿。然后点击发送。",Apartment,Silent_Night,,,
10530625,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10530626,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10530627,hide,hide,hide,hide,hide,"博多。凌晨。丽莎坐在拉面柜台前。面前是一碗正在凉的猪骨汤拉面。她夹起一筷子面，举到嘴边——然后放下。把面放回汤里。掏出手机。打了一条短信。不是发给黑羽的——是发给雪代的。""还差最后一步。我这边没问题。"" 发送。她把手机翻过来，屏幕朝下。端起碗喝了一口汤。很烫。但她没有停。",RamenShop,Silent_Night,,,
10530628,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10530629,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
10530630,hide,hide,hide,hide,hide,"悉尼。傍晚。小林莉香坐在宿舍书桌前。窗外是南半球的夏天——天黑得很晚，橘色的光还挂在桉树梢上。她面前摊着学期论文。已经写完了。但她没有合上电脑。她在看手机。屏幕上是一个没有发送的消息草稿。收件人是黑羽哲也。内容只有三个字：""还好吗。"" 光标在句号后面闪了大概三十秒。然后她删掉了句号。光标在""吗""字后面闪。然后她合上手机。开始修改论文的参考文献格式。",RamenShop,Silent_Night,,,
10530631,hide,hide,hide,hide,hide,,RamenShop,Silent_Night,,,
