ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10410601,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410602,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10410603,hide,hide,hide,hide,hide,茶室的拉门开着一条缝。里面的光透出来，在走廊的木地板上画了一条金色的细线。我走近的时候，听到了纸张翻动的声音。很轻，但很频繁。不是看书的那种翻——是看地图的那种翻。手指在纸上移动，找某个位置，确认，然后翻到下一页。,Corridor,Mystery_Box,,,
10410604,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10410605,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10410606,hide,hide,hide,hide,hide,拉开门。雪代坐在矮桌前。茶室的榻榻米上铺满了纸。不是散乱地铺——是整齐地铺。每一张纸都压在一个固定的位置。座位图。名单。时间表。菜单。酒单。安保布置。她坐在这些纸的中间，像一个将军在看作战地图。,Corridor,Mystery_Box,,,
10410607,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10410608,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10410609,hide,hide,hide,hide,hide,空气里有旧榻榻米的草香。还有更浓的——她面前那杯大麦茶的热气。茶已经续了好几次了，颜色变浅了，但香气还在。烛火在矮桌角上立着。今晚有电，但她还是点了蜡烛。大概是习惯。或者是因为烛光比电灯更能帮助她思考。,Corridor,Slow_Lure,,,
10410610,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410611,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410612,hide,hide,hide,hide,hide,黑羽。坐。,Corridor,Slow_Lure,,,
10410613,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410614,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410615,hide,hide,hide,hide,hide,她指了一下对面的位置。不是平时那个位置——更近。近到我能看到她手里那张座位图上的字。她在每一个座位旁边都写了备注。字很小，但和平时一样稳。村上的名字写在主位。旁边的备注是「茶——大麦。不加糖。杯温三十八度」。,Corridor,Slow_Lure,,,
10410616,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410617,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10410618,hide,hide,hide,hide,hide,她抬起头。看着我。烛火在她眼睛里跳动。不是平时那种安静的跳——是很快的跳。像是瞳孔里有什么东西在燃烧。,Corridor,Silent_Night,,,
10410619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410621,hide,hide,hide,hide,hide,这张座位图我画了三个版本。第一个版本——村上坐中间，买家坐右手，我坐左手。不好。因为村上会看到我。第二个版本——我坐对面。也不好。因为太远了，控制不到他。第三个版本——就是现在这个。我坐他右手，买家坐他左手。他夹在中间。他以为他在掌控。但他被两边夹着。每一边都比他强。,Corridor,Silent_Night,,,
10410622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410623,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410624,hide,hide,hide,hide,hide,"她说""比他强""的时候，嘴角动了一下。不是笑。是某种更冷的弧度。一个人在棋盘上落下了关键一子之后才会有的那种弧度。她把座位图放下，拿起另一张纸。时间表。",Corridor,Silent_Night,,,
10410625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410627,hide,hide,hide,hide,hide,晚宴七点开始。七点到七点半——迎宾。村上会在七点十五分到。他不喜欢太早，也不喜欢太晚。七点十五分刚好。七点半——开场。我致辞。然后上第一道菜。八点——表演开始。双雀的圆桌表演。然后是黄鹂的钢琴。然后是神鸦的占卜。九点——签约。九点半——村上致辞。十点——结束。,Corridor,Silent_Night,,,
10410628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410629,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10410630,hide,hide,hide,hide,hide,她把时间表递给我。纸的边缘被她捏得有一点皱。不是因为紧张——是因为她反复看了太多次。纸上的时间精确到分。每一个环节都标注了负责人。每一个负责人旁边都有一个编号。编号对应着另一张纸上的详细信息。,Corridor,Coming_Dangerous,,,
10410631,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410632,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410633,hide,hide,hide,hide,hide,我注意到了时间表上的一个空白。从九点半到十点。这半个小时里，没有标注任何内容。,Corridor,Coming_Dangerous,,,
10410634,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410635,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410636,hide,hide,hide,hide,hide,……九点半之后。没有安排。,Corridor,Coming_Dangerous,,,
10410637,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410638,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410639,hide,hide,hide,hide,hide,雪代看了我一眼。那一眼很短。但很重。然后她低下头。把时间表拿回去。用手指在空白处划了一下。,Corridor,Coming_Dangerous,,,
10410640,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410641,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410642,hide,hide,hide,hide,hide,九点半之后——是留给我自己的。,Corridor,Coming_Dangerous,,,
10410643,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410644,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410645,hide,hide,hide,hide,hide,她把纸放在桌上。手指还在空白处停着。指甲上没有涂任何颜色。干净的。但干净的东西，有时候最危险。她抬起头。看着我。烛火在她眼睛里跳得更高了。,Corridor,Coming_Dangerous,,,
10410646,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410647,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410648,hide,hide,hide,hide,hide,黑羽。你见过很多晚宴吧。作为刑警——或者作为别的什么。,Corridor,Coming_Dangerous,,,
10410649,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410650,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410651,hide,hide,hide,hide,hide,"她说""刑警""这两个字的时候，语气很平。和说""今天天气不错""一样的平。但她的手没有从纸上移开。她看着我。等着我的反应。茶室里只有烛火在晃。榻榻米上铺满了纸。每一张纸都是一步棋。",Corridor,Coming_Dangerous,,,
10410652,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410653,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410654,hide,hide,hide,hide,hide,……见过一些。,Corridor,Coming_Dangerous,,,
10410655,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410656,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410657,hide,hide,hide,hide,hide,但你一定没见过这样的。因为这一次——赢的人是我。,Corridor,Coming_Dangerous,,,
10410658,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410659,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410660,hide,hide,hide,hide,hide,她说这句话的时候没有看座位图。没有看时间表。她看着我。眼睛里那种燃烧的东西不再是跳动了——是稳定地烧。像一盏灯被拧到了最大亮度。然后她低下头。把所有的纸一张一张收起来。动作很慢。很仔细。每一张都按原来的折痕折好。放进怀里。,Corridor,Coming_Dangerous,,,
10410661,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410662,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410663,hide,hide,hide,hide,hide,烛火在她收纸的时候晃了一下。她的影子在墙上变大了，然后缩小，然后稳定。她站起来。和服的下摆拖在榻榻米上，发出很轻的沙沙声。,Corridor,Coming_Dangerous,,,
10410664,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410665,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10410666,hide,hide,hide,hide,hide,还有二十天。黑羽。好好准备。,Corridor,Mixed_Emotion,,,
10410667,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10410668,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10410669,hide,hide,hide,hide,hide,她拉开拉门。走廊里的光涌进来。她的身影在光里变成了一个剪影。然后她沿着走廊走远了。脚步声在木板上很轻，但很稳。和第一天我听到的脚步声一样。茶室里留下了大麦茶的味道。,Corridor,Mixed_Emotion,,,
10410670,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10410671,hide,hide,hide,hide,hide,今晚整理证据,Corridor,Mixed_Emotion,,,选择分支标记
10410672,hide,hide,hide,hide,hide,今晚去走廊走走,Corridor,Mixed_Emotion,,,选择分支标记
10410673,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10410674,hide,hide,hide,hide,hide,++整理证据,Corridor,Mixed_Emotion,,,
10410675,hide,hide,hide,hide,hide,"我把证据铺了一地。和之前每一次一样——从门口到窗户，没有空白。但这一次多了一张东西：雪代今天的请帖样张。""Day 60，十二飞鸟俱乐部。""十九天。数字开始倒数。",Corridor,Mixed_Emotion,,,
10410676,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10410677,hide,hide,hide,hide,hide,++去走廊走走,Corridor,Mixed_Emotion,,,
10410678,hide,hide,hide,hide,hide,走廊里很静。休息室里还亮着灯——育子在叠毛巾。她看到我，没有站起来。只是把一条叠好的毛巾往旁边挪了一点，让出半个座位。我坐下来。什么都没说。她继续叠。毛巾的边缘慢慢变成一条直线。,Corridor,Mixed_Emotion,,,
10410679,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
