ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10220301,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10220302,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10220303,hide,hide,hide,hide,hide,早上九点半。不是营业时间，但大厅里有人。隔着两扇门都能听见他的声音——粗，嘶哑，宿醉还没退。空气里有一股隔夜啤酒和呕吐物的混合气味。清洁工还没来得及处理。地毯上有一块湿渍，颜色比周围深很多。谷川景子站在吧台后面，背挺得很直。她在擦杯子。同一个杯子擦了四遍了。,Club_lobby,Mixed_Emotion,,,
10220304,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220305,醉酒客人,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,拍桌
10220306,hide,hide,hide,hide,hide,叫你们经理来——昨晚是谁让她陪酒的？脸臭成那样，老子花钱是来看死人的？,Club_lobby,Mixed_Emotion,,,
10220307,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220308,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220309,hide,hide,hide,hide,hide,景子的手没有停。玻璃杯在她手里转了一圈，擦布压在杯沿上，用力过猛，杯口发出了很尖的一声。她擦杯子的手法是标准的——从底部往上，螺旋式，不留指纹。这是白鹤姬教的。每个人都要学。,Club_lobby,Mixed_Emotion,,,
10220310,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220311,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,走过去
10220312,hide,hide,hide,hide,hide,……有什么问题。,Club_lobby,Mixed_Emotion,,,
10220313,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220314,醉酒客人,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220315,hide,hide,hide,hide,hide,什么问题——你看看她。昨晚上，全程绷着脸。我问她叫什么名字，她说了三遍我都没听清。她是来服务的还是来给我脸色的？,Club_lobby,Mixed_Emotion,,,
10220316,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220317,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220318,hide,hide,hide,hide,hide,他说话的时候口水溅到了吧台上。白色的唾沫星子，落在深色的木纹上，很快渗进去了。景子把擦好的杯子放进托盘。动作很轻。杯子底碰到托盘的时候，没有发出声音。她低着头。不是害怕。是忍。忍的方式是把所有力气集中在手上。,Club_lobby,Mixed_Emotion,,,
10220319,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220320,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220321,hide,hide,hide,hide,hide,……昨晚的事，我处理。,Club_lobby,Mixed_Emotion,,,
10220322,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220323,醉酒客人,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220324,hide,hide,hide,hide,hide,处理？怎么处理——让她给我鞠躬道歉。,Club_lobby,Mixed_Emotion,,,
10220325,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220326,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220327,hide,hide,hide,hide,hide,景子的手停了一下。只是很短的停顿。然后她转过来，鞠了一躬。角度标准。四十五度。停留三秒。起身的时候脸是平的。不是没有表情。是表情被压缩到只剩一层——像一张被反复擦拭的桌面。,Club_lobby,Mixed_Emotion,,,
10220328,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220329,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,对客人
10220330,hide,hide,hide,hide,hide,……可以了。下次会有更好的安排。,Club_lobby,Mixed_Emotion,,,
10220331,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220332,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10220333,hide,hide,hide,hide,hide,客人骂骂咧咧地走了。门在他身后弹了两下才关上。大厅里安静下来。景子继续擦杯子。她面前还有一排，透明的，在灯光下折射出很细的光线。她的手开始抖了。不是冷。是刚才憋着的那口气现在才上来。,Club_lobby,Silent_Night,,,
10220334,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220335,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,声音很低
10220336,hide,hide,hide,hide,hide,经理——我没给他脸色看。我只是——笑不出来。,Club_lobby,Silent_Night,,,
10220337,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220338,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220339,hide,hide,hide,hide,hide,……知道。,Club_lobby,Silent_Night,,,
10220340,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220341,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220342,hide,hide,hide,hide,hide,昨晚小澪打电话来。说奶奶的头又疼了。她在电话那边哭。我在这边——笑。,Club_lobby,Silent_Night,,,
10220343,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220344,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220345,hide,hide,hide,hide,hide,她把杯子放下。手指在杯壁上停了一会儿，像是在找一个不会烫手的位置。但杯子是凉的。凉的，她还是怕烫。,Club_lobby,Silent_Night,,,
10220346,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
