ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10130701,hide,hide,hide,hide,hide,,Manager_Office,Warm_Encounter,,,
10130702,hide,hide,hide,hide,hide,,Manager_Office,Warm_Encounter,,,
10130703,hide,hide,hide,hide,hide,凌晨一点。公寓里只有冰箱压缩机的嗡嗡声。躺在床上——不是那张床垫，我前天把它留给了育子。这张是另外一个房间地板上铺了被褥，将就着睡。,Apartment,Silent_Night,,,
10130704,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10130705,hide,hide,hide,hide,hide,茶室的黄铜钥匙放在枕边。它在黑暗里没有任何反光。,Apartment,Silent_Night,,,
10130706,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10130707,hide,hide,hide,hide,hide,我闭上眼睛。眼前是桂原雪代把钥匙放在我桌上的那双手——精准、优雅、没有多余的动作。然后是育子左眼画眼线、右眼没画的脸。然后是景子把照片塞给我时，照片过塑边角戳到掌心那一瞬间的微微刺痛。然后是南梨昨晚盖着灰色薄毯缩在椅子上的样子。,Apartment,Silent_Night,,,
10130708,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10130709,hide,hide,hide,hide,hide,然后是增田课长还没出现在那条国道上之前。最后一次坐在他对面是多久了——一周。只有一周。,Apartment,Silent_Night,,,
10130710,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10130711,hide,hide,hide,hide,hide,睁开眼睛。天花板上的霉斑已经被黑暗完全遮住。但它在那里。我知道它在。,Apartment,Silent_Night,,,
10130712,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10130713,hide,hide,hide,hide,hide,以前我不知道我在做什么。现在我知道了——我在帮助这些人。同时也在被这些人困住。,Apartment,Warm_Encounter,,,
10130714,hide,hide,hide,hide,hide,"你做了好事，然后那个""好人""的标牌就拿不下来了。你想摘下，它还在那里。""好人""不是你主动要的。是你帮助了别人之后，她们还给你的。她们递给你那个标牌的时候，你不敢拒绝——不是怕自己变成好人。是怕她们没有那个东西，这个俱乐部就没有任何可以抓住的东西了。",Apartment,Warm_Encounter,,,
10130715,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10130716,hide,hide,hide,hide,hide,这把钥匙是白鹤姬亲手给我的。你可以用它进茶室、可以自己泡茶、可以一个人在里面待到天亮——但不能用它逃跑。它是打开，也是锁定。每打开一扇门，就会有更多门在你身后关上。直到你发现自己站在一个只有一扇门的房间里。,Apartment,Warm_Encounter,,,
10130717,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10130718,hide,hide,hide,hide,hide,而那扇门外站着的人，你一个都放不下。,Club_door,Warm_Encounter,,,
10130719,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
10130720,hide,hide,hide,hide,hide,,Club_door,Warm_Encounter,,,
