ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10160401,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160402,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160403,hide,hide,hide,hide,hide,下午一点。俱乐部休业半天。大扫除——不是用吸尘器推一推，是把窗帘全部换成夏装，把地板的旧蜡打磨掉重新上，把每个房间的空调滤网卸下来洗。,Club_away,Mystery_Box,,,
10160404,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160405,hide,hide,hide,hide,hide,"朱雀姬负责清酒水间的所有瓶罐库存。琳达的俄罗斯口音在数到""十二瓶伏特加、五瓶威士忌、八瓶清酒""的时候突然变成了一段很轻快的西伯利亚民谣——节奏很稳，像是小时候在妈妈那里学会的。夜鸢姬在整理自己房间里的书，每一本都用干布擦过，分门别类重新排列——黑皮书被她单独压在柜子最深处。",Club_away,Mystery_Box,,,
10160406,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10160407,hide,hide,hide,hide,hide,"黄鹂姬在擦大厅的三角钢琴。那架钢琴很少有客人用，但夏实每周会弹一次——她自己编的曲子，没有人听过。她说还没写好。谷川景子在洗更衣区的所有毛巾。一条一条叠好，叠得和旅馆一样整齐——她说""习惯是在家里养成的，每次叠毛巾都像在等小澪从学校回来。""早莺姬在擦化妆间的镜子。镜子上的旧粉底痕迹擦了十分钟才掉。她看着干净的镜子倒映着自己的脸——没有淤青，没有化妆品，就这样干净的，她自己。看了好久。",DressingRoom,Mystery_Box,,,
10160408,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10160409,hide,hide,hide,hide,hide,"芦田育子负责擦办公室的书架——今天是向管理员申请让她参加大扫除，她早上签了一张""临时帮工申请单""——第一次署名，第一次拿到自己的名牌贴纸。",Manager_Office,Mixed_Emotion,,,
10160410,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160411,雏鹃姬·芦田育子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160412,hide,hide,hide,hide,hide,这本放这里可以吗。,Manager_Office,Mixed_Emotion,,,
10160413,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160414,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160415,hide,hide,hide,hide,hide,"她拿着一本旧的员工手册——手册封面已经起角了，很久没有人翻开过。她翻开之后看到内页上的旧广告""九月特别企划：双雀姬的夜间特别公演""。下面有一张旧照片——双雀姬的旧照片。照片里的彩和瞳还是穿制服的，比现在更小。她歪着头问。这不是一个问句——她只是想确定自己在做的事情是对的。自从她来到俱乐部，这是她第一次做除了睡觉之外主动做的一件事。那本旧员工手册——她擦干净了，然后翻到最后一页，签了一个日期。今天是换季大扫除的日期。她的笔迹很认真，每一画都很用力。",Manager_Office,Mixed_Emotion,,,
10160416,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10160417,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
