ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10060001,hide,hide,hide,hide,hide,我踏进“十二飞鸟”时，是傍晚六点四十分。,Corridor,Unreal_Memory,,,
10060002,hide,hide,hide,hide,hide,夕阳的余晖被厚重的窗帘完全隔绝在外，走廊里只亮着几盏壁灯，光线昏黄如旧照片。,Corridor,,,,
10060003,hide,hide,hide,hide,hide,空气里依然是那股熟悉的气味,Corridor,,,,
10060004,hide,hide,hide,hide,hide,——线香、白檀、腐烂前的栀子，还有一丝新添的、像是刚擦拭过的地板蜡的味道。,Corridor,,,,
10060005,hide,hide,hide,hide,hide,我走向经理室，皮鞋踩在木地板上的声音在空旷的走廊里回响。,Corridor,,,,
10060006,hide,hide,hide,hide,hide,路过的几间房门都紧闭着，门缝下透出微弱的光。,Corridor,,,,
10060007,hide,hide,hide,hide,hide,能听见隐约的说话声，还有吹风机的声音。,Corridor,,,,
10060008,hide,hide,hide,hide,hide,就在我准备推开经理室的门时——,Corridor,,,,
10060009,hide,hide,hide,hide,hide,打招呼的声音从走廊转角传来。,Corridor,,,,
10060010,？？？,hide,hide,hide,hide,晚上好呀，经理大人~,Corridor,,,,
10060011,hide,hide,hide,hide,hide,虽然是一句话，但是能听得出，是两个人在说话。,Corridor,,,,
10060012,hide,hide,hide,hide,hide,我转过身。,Corridor,,,,
10060013,hide,hide,SetoAya_base,hide,SetoHitomi_base,两位穿着完全相同明黄色的女孩，并肩站在转角处。,Corridor,,,,
10060014,hide,hide,SetoAya_base,hide,SetoHitomi_base,她们的面容一模一样——鹅蛋脸，细长的眼睛，嘴唇涂着淡粉色的口红。,Corridor,,,,
10060015,hide,hide,SetoAya_base,hide,SetoHitomi_base,但仔细看，能发现细微差别：左边那位眼神更亮，更兴奋些，右边那位明显暗淡很多。,Corridor,,,,
10060016,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,经理好~，我们是象征九月的“双雀姬”。,Corridor,,,AddS_Char(Sep),
10060017,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,我是姐姐彩。,Corridor,,,,
10060018,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,这是妹妹瞳。,Corridor,,,,
10060019,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,请多指教哦。,Corridor,,,,
10060020,濑户瞳,hide,SetoAya_base,hide,SetoHitomi_base,……,Corridor,,,,
10060021,濑户瞳,hide,SetoAya_base,hide,SetoHitomi_base,昨天……我身体不太舒服，所以没有出勤。,Corridor,,,,
10060022,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,对了，经理大人！,Corridor,,,,
10060023,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,我们从不单独见客，所以如果是预约一人，我们是不能接的。,Corridor,,,,
10060024,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,这点请经理一定记住。,Corridor,,,,
10060025,濑户彩,hide,SetoAya_base,hide,SetoHitomi_base,那么，经理大人，失礼了。我们先去准备了！,Corridor,,,,
10060026,hide,hide,hide,hide,hide,她们同步转身，同步迈步。,Corridor,,,,
10060027,hide,hide,hide,hide,hide,我看着她们的背影消失在走廊深处，脑海里浮现出警方资料上的备注：“濑户彩&瞳，都是孤儿，马戏团出身，柔术一流，共享一种近乎心灵感应的默契。”,Corridor,,,,
10060028,hide,hide,hide,hide,hide,之后，便没有过多的资料了。,Corridor,,,,
10060029,hide,hide,hide,hide,hide,对于人口统计资料来说，像这种可怜的姐妹经常像是世界上从来没有存在过一样。,Corridor,,,,
