ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590401,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590402,hide,hide,hide,hide,hide,,Cafe,Mixed_Emotion,,,
10590403,hide,hide,hide,hide,hide,下午三点。化妆间里只有春奈一个人。她坐在镜子前。村上秘书的面具贴在脸上。完整。完美。她对着镜子调整了最后一个细节——右眼角的角度。然后用定妆喷雾喷了一层。喷雾在空气里留下很细的水雾。化学的。微凉的。然后她把面具揭下来。动作很轻。放在桌上。面具旁边放着两瓶麻醉剂。她看着这两样东西——面具和麻醉剂。看了很久。,DressingRoom,Mixed_Emotion,,,
10590404,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590405,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590406,hide,hide,hide,hide,hide,空气里有酒精胶水的味道。定妆喷雾的化学味。还有更淡的——她真脸皮肤上的皂角味。她的真脸在镜子里。眉毛很淡。嘴唇很薄。鼻梁侧面那颗小痣。左眼下也有一颗。两颗痣形成一个只有近看才能看到的星座。,DressingRoom,Mixed_Emotion,,,
10590407,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590408,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590409,hide,hide,hide,hide,hide,她对着镜子里的自己说话。不是对我——是对自己。,DressingRoom,Mixed_Emotion,,,
10590410,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590411,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590412,hide,hide,hide,hide,hide,明天。如果枪响了。我会比所有人都快。不是勇敢。是——我跑得快。做仿妆的人手快。揭面具快。贴面具快。麻醉剂进皮肤——也快。十秒。只需要十秒。,DressingRoom,Mixed_Emotion,,,
10590413,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590414,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590415,hide,hide,hide,hide,hide,她拿起一瓶麻醉剂。对着光。透明的液体在玻璃瓶里晃动。她把瓶子放进口袋。左边口袋。然后拿起另一瓶。放进口袋。右边口袋。然后拍了拍。确认不会掉。,DressingRoom,Mixed_Emotion,,,
10590416,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590417,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590418,hide,hide,hide,hide,hide,如果——如果我回不来。不要找我的真脸。让它留在镜子里。让所有人都记得——春奈是那个戴着狐狸发卡、露出小虎牙的女孩。不是那个眉毛很淡的、没有表情的——真脸。真脸不重要。面具才重要。因为面具——是我选择成为的人。真脸——只是我生下来就有的东西。,DressingRoom,Mixed_Emotion,,,
10590419,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590420,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590421,hide,hide,hide,hide,hide,她转过来看着我。真脸的眼睛在荧光灯下很亮。不是泪——是某种比泪更硬的东西。一个人把所有的怕都压在底下之后——剩下的那层壳。,DressingRoom,Mixed_Emotion,,,
10590422,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590423,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590424,hide,hide,hide,hide,hide,明天。五分钟。如果超过五分钟——我会想办法。但你不要等我。不要因为我停下来。你的事——比我的五分钟更重要。,DressingRoom,Mixed_Emotion,,,
10590425,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590426,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590427,hide,hide,hide,hide,hide,她站起来。把面具放进化妆箱。盖上。扣上。然后走到门口。停了一下。回头。,DressingRoom,Mixed_Emotion,,,
10590428,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590429,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590430,hide,hide,hide,hide,hide,经理。如果我成功了——你欠我一顿拉面。育子说的那个店。味噌拉面。加两个溏心蛋。,RamenShop,Mixed_Emotion,,,
10590431,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
