ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10170001,hide,hide,hide,hide,hide,凌晨一点。最后一位客人离开以后，俱乐部的喧嚣像潮水一样退去。,Corridor,Lightly_Sad,,,
10170002,hide,hide,hide,hide,hide,化妆间里传来卸妆的瓶瓶罐罐声，偶尔夹着女孩们疲惫的笑声。桂原雪代一个小时前就离开了。"老客户"——没有说更多。,Corridor,,,,
10170003,hide,hide,hide,hide,hide,我站在走廊里，看着化妆间的灯光一盏盏熄灭。,Corridor,,,,
10170004,hide,hide,hide,hide,hide,神乐坂紫第一个冲出来，嘴里喊着"柏青哥——"，被日向夏实追着打了一下脑袋。,Corridor,,,,
10170005,hide,hide,hide,SetoAya_base,SetoHitomi_base,双雀姬姐妹安静地并排走出。姐姐彩朝我点了点头，妹妹瞳如影子般跟在半步之后。,Corridor,,,,
10170006,hide,hide,hide,hide,hide,最后出来的是日向夏实，还有跟在她身后的芦田育子。育子换上了店里备用的家居服，依然紧张，但至少不像下午那样——像一只随时会炸毛的猫。,Corridor,,,,
10170007,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,经理，育子今晚睡哪里呀？,Corridor,,,,
10170008,hide,hide,hide,HinataNatsumi_base,hide,我顿了一下。,Corridor,,,,
10170009,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,白鹤姐走之前没安排吗？,Corridor,,,,
10170010,我,hide,hide,HinataNatsumi_base,hide,……没有。,Corridor,,,,
10170011,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,啊……那就——,Corridor,,,,
10170012,hide,hide,hide,HinataNatsumi_base,hide,想了片刻。,Corridor,,,,
10170013,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,要不让她先来我房间挤一挤？虽然只有一张单人床……,Corridor,,,,
10170014,神鸦姬·神乐坂紫,hide,HinataNatsumi_base,hide,KagurazakaMurasak_base,我家也行~不过半夜可能会被我摇骰子的声音吵醒。,Corridor,,,,
10170015,hide,hide,hide,hide,hide,我看了眼时间。凌晨一点十分。然后想起了下午买的那张床垫。,Corridor,,,,
10170016,我,hide,hide,hide,hide,……等一下。,Corridor,,,,
10170017,hide,hide,hide,hide,hide,走到走廊尽头的储物间。松本傍晚如约把床垫送来了。因为来不及搬回公寓，让送货员先放在这里。还包着塑料膜，上面贴着标签和手写收据。,Storage_Room,,,,
10170018,hide,hide,hide,hide,hide,拖出来，撕掉塑料膜。,Storage_Room,,,,
10170019,我,hide,hide,hide,hide,搬去休息室。,Storage_Room,,,,
10170020,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,诶？这不是经理你自己买的床垫吗？,Storage_Room,,,,
10170021,我,hide,hide,HinataNatsumi_base,hide,先给她用。我今晚回公寓。,Storage_Room,,,,
10170022,hide,hide,hide,HinataNatsumi_base,hide,夏实看了我一眼，嘴角微微翘起。,Storage_Room,,,,
10170023,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,好~,Storage_Room,,,,
10170024,hide,hide,hide,hide,hide,一起把床垫搬到休息室。夏实不知从哪里翻出干净的床单和枕头，手很麻利。,Rest_Room,,,,
10170025,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,好啦！育子，今晚你就睡这里。虽然不是酒店，但比地板舒服多了。,Rest_Room,,,,
10170026,雏鹃姬·芦田育子,hide,hide,HinataNatsumi_base,hide,……谢谢夏实姐。,Rest_Room,,,,
10170027,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,要谢谢经理啦，这是他自己的床垫。,Rest_Room,,,,
10170028,hide,hide,hide,HinataNatsumi_base,hide,育子转过头看着我。,Rest_Room,,,,
10170029,雏鹃姬·芦田育子,hide,hide,HinataNatsumi_base,hide,……谢谢经理。,Rest_Room,,,,
10170030,我,hide,hide,HinataNatsumi_base,hide,……不用。,Rest_Room,,,,
10170031,hide,hide,hide,hide,hide,夏实打了个哈欠，朝我们挥挥手。,Rest_Room,,,,
10170032,黄鹂姬·日向夏实,hide,hide,HinataNatsumi_base,hide,那我先回去啦。育子，明天见！,Rest_Room,,,,
10170033,hide,hide,HinataNatsumi_base,hide,KagurazakaMurasak_base,神乐坂紫也晃着占卜牌说了声"晚安"，两人一起离开。休息室只剩下我和育子。,Rest_Room,,,,
10170034,hide,hide,hide,hide,hide,她坐在床垫上。手指无意识地揪着床单的边角。水手服换成家居服后，看起来比下午更小了。我靠在门框上，看着走廊最后一盏灯熄灭。,Rest_Room,,,,
10170035,我,hide,hide,hide,hide,……还在上学吧。,Rest_Room,,,,
10170036,hide,hide,hide,hide,hide,沉默了一会儿。,Rest_Room,,,,
10170037,雏鹃姬·芦田育子,hide,hide,hide,hide,……退了。,Rest_Room,,,,
10170038,我,hide,hide,hide,hide,什么时候。,Rest_Room,,,,
10170039,雏鹃姬·芦田育子,hide,hide,hide,hide,上个星期。,Rest_Room,,,,
10170040,hide,hide,hide,hide,hide,声音很平淡。像是在说别人的事。,Rest_Room,,,,
10170041,我,hide,hide,hide,hide,……为什么来这里。,Rest_Room,,,,
10170042,hide,hide,hide,hide,hide,问出口就知道很蠢。但还是问了。育子没有立刻回答。手指停在床单上，一动不动。,Rest_Room,,,,
10170043,雏鹃姬·芦田育子,hide,hide,hide,hide,……美奈子说的。大阪有个工作，工资很高。陪客人聊天，一个月能赚三十万。,Rest_Room,,,,
10170044,hide,hide,hide,hide,hide,美奈子。那个所谓的"朋友"。,Rest_Room,,,,
10170045,雏鹃姬·芦田育子,hide,hide,hide,hide,爸爸走得早。妈妈在工厂做零件，腰已经不行了。弟弟还在读初中。,Rest_Room,,,,
10170046,雏鹃姬·芦田育子,hide,hide,hide,hide,我说退学去打工，妈妈不同意。砸锅卖铁也要我读完高中。,Rest_Room,,,,
10170047,雏鹃姬·芦田育子,hide,hide,hide,hide,所以……自己跑了。,Rest_Room,,,,
10170048,hide,hide,hide,hide,hide,手指又开始揪床单。拇指和食指夹一撮布料，搓过来，搓回去。,Rest_Room,,,,
10170049,雏鹃姬·芦田育子,hide,hide,hide,hide,到了大阪才知道，美奈子说的"陪客人聊天"……不是我理解的那种。,Rest_Room,,,,
10170050,雏鹃姬·芦田育子,hide,hide,hide,hide,想跑。但那些人说，交通费和介绍费已经垫了。不还清的话就去老家找我妈。,Rest_Room,,,,
10170051,hide,hide,hide,hide,hide,声音开始发抖。,Rest_Room,,,,
10170052,雏鹃姬·芦田育子,hide,hide,hide,hide,然后白鹤姐来了。看了我一眼，钱给了那些人。,Rest_Room,,,,
10170053,雏鹃姬·芦田育子,hide,hide,hide,hide,她说，这个孩子我要了。,Rest_Room,,,,
10170054,hide,hide,hide,hide,hide,我看着她的侧脸。休息室的灯光很暗，只有墙角一盏夜灯投下暖黄色光圈。影子被拉得很长，投在米色的墙壁上。,Rest_Room,,,,
10170055,雏鹃姬·芦田育子,hide,hide,hide,hide,……黑羽经理。,Rest_Room,,,,
10170056,hide,hide,hide,hide,hide,忽然抬起头看我。眼睛里没有眼泪。但那种干涩，比眼泪更让人难受。,Rest_Room,,,,
10170057,雏鹃姬·芦田育子,hide,hide,hide,hide,我……真的没有办法了吗。,Rest_Room,,,,
10170058,hide,hide,hide,hide,hide,这个问题。借来的家居服，刚拆封的床垫，十六岁的女孩问我——是不是真的没有办法了。,Rest_Room,,,,
10170059,hide,hide,hide,hide,hide,我想起今早莉香的电话。十六岁那年为了电车票去码头搬了一周秋刀鱼。满身腥味，心里想的是花火大会的夜景。,Rest_Room,,,,
10170060,hide,hide,hide,hide,hide,而这个十六岁，在风俗店的休息室里，问经理有没有别的出路。,Rest_Room,,,,
10170061,我,hide,hide,hide,hide,……不知道。,Rest_Room,,,,
10170062,hide,hide,hide,hide,hide,只能这么说。这是唯一不撒谎的答案。,Rest_Room,,,,
10170063,雏鹃姬·芦田育子,hide,hide,hide,hide,……这样啊。,Rest_Room,,,,
10170064,hide,hide,hide,hide,hide,低下头。手指停了。沉默。走廊里的钟，微弱的嘀嗒声。,Rest_Room,,,,
10170065,我,hide,hide,hide,hide,……但今晚——,Rest_Room,,,,
10170066,hide,hide,hide,hide,hide,指了指她坐着的床垫。,Rest_Room,,,,
10170067,我,hide,hide,hide,hide,这个，你先用。我不急。,Rest_Room,,,,
10170068,我,hide,hide,hide,hide,明早，带你去吃饭。不是便利店的饭团。附近有家拉面店。,Rest_Room,,,,
10170069,hide,hide,hide,hide,hide,她抬起头。困惑，还有某种不确定的东西。,Rest_Room,,,,
10170070,雏鹃姬·芦田育子,hide,hide,hide,hide,……为什么。,Rest_Room,,,,
10170071,我,hide,hide,hide,hide,什么。,Rest_Room,,,,
10170072,雏鹃姬·芦田育子,hide,hide,hide,hide,为什么要帮我。我们才认识几个小时。,Rest_Room,,,,
10170073,hide,hide,hide,hide,hide,我看着她的眼睛。然后移开了。不要说多余的话。,Rest_Room,,,,
10170074,我,hide,hide,hide,hide,……谁知道呢。,Rest_Room,,,,
10170075,hide,hide,hide,hide,hide,育子沉默了很久。然后，嘴角微微扬了一下。几乎看不出来。但它确实存在。,Rest_Room,,,,
10170076,雏鹃姬·芦田育子,hide,hide,hide,hide,……那家拉面店，有味噌拉面吗。,Rest_Room,,,,
10170077,我,hide,hide,hide,hide,……有。,Rest_Room,,,,
10170078,雏鹃姬·芦田育子,hide,hide,hide,hide,味玉可以加吗。,Rest_Room,,,,
10170079,hide,hide,hide,hide,hide,愣了一瞬。然后也轻轻笑了一下。,Rest_Room,,,,
10170080,我,hide,hide,hide,hide,……加两个。,Rest_Room,,,,
10170081,hide,hide,hide,hide,hide,走廊尽头最后一盏灯熄灭了。黑暗中，她轻声说。,Rest_Room,,,,
10170082,雏鹃姬·芦田育子,hide,hide,hide,hide,晚安，经理。,Rest_Room,,,,
10170083,我,hide,hide,hide,hide,……晚安。,Rest_Room,,,,
10170084,hide,hide,hide,hide,hide,我走出休息室，轻轻带上门。走廊里只有应急灯的微光。靠着墙壁，闭上眼睛。,Corridor,,,,
10170085,hide,hide,hide,hide,hide,从口袋里摸出那部黑色翻盖机。没有新消息。佐藤还没有动静。,Corridor,,,,
10170086,hide,hide,hide,hide,hide,明天要做的事很多。但至少今晚——有个十六岁的女孩，能睡在一张真正的床垫上。,Corridor,,,,
10170087,hide,hide,hide,hide,hide,虽然那张床垫，本来是我给自己买的。,Corridor,,,,
