ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030201,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10030202,hide,hide,hide,hide,hide,第三天傍晚六点十五分，我穿过“十二飞鸟”那条漫长的走廊。,Corridor,Mystery_Box,,,
10030203,hide,hide,hide,hide,hide,壁灯刚点亮不久，暖黄色的光线还在适应期，红色皮革的家具带来高级的质感。,Corridor,Mystery_Box,,,
10030204,hide,hide,hide,hide,hide,空气里有新换的香薰气味——沉静的白檀混着一丝不易察觉的冷杉，像是刻意要压下什么更浓郁的残留。,Corridor,Mystery_Box,,,
10030205,hide,hide,hide,hide,hide,我正核对过去两天的财务表时，一个声音从转角书架旁传来。,Corridor,Unreal_Memory,,,
10030206,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,声音平稳清晰
10030207,hide,hide,hide,hide,hide,黑羽经理，晚上好。,Corridor,Unreal_Memory,,,
10030208,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10030209,hide,hide,hide,hide,hide,她穿着一身闪亮高级的银色奢侈品连衣裙，和周围的家具相映衬。,Corridor,Unreal_Memory,,,
10030210,hide,hide,hide,hide,hide,她手里端着白瓷咖啡杯，举止很优雅。,Cafe,Unreal_Memory,,,
10030211,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,微微欠身
10030212,hide,hide,hide,hide,hide,请允许我正式自我介绍。十一月的“银鹮”，神宫寺丽莎。,Cafe,Unreal_Memory,,,
10030213,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10030214,hide,hide,hide,hide,hide,她递过一张名片。纸质厚实，只印着名字和俱乐部内线号码，右下角有个小小的烫金鹤纹。,Cafe,Unreal_Memory,,,
10030215,hide,hide,hide,hide,hide,我接过名片时，她向前半步，声音压低到刚好能听清：,Cafe,Unreal_Memory,,,
10030216,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
10030217,hide,hide,hide,hide,hide,简单自我介绍一下，我之前是银座的高级公关，所以非常擅长金融相关的业务。,Cafe,Unreal_Memory,,,
10030218,hide,hide,hide,hide,hide,如果经理你有相关的诉求也可以来找我，我的客人们能够提供很多情报。,Cafe,Mystery_Box,,,
10030219,hide,hide,hide,hide,hide,你知道的，很多时候，赚取信息差的利润要比一丝不苟的工作要简单的多。,Cafe,Mystery_Box,,,
10030220,hide,hide,hide,hide,hide,对了，我的一位客人，某风投基金合伙人，最近推荐了一种新兴数字资产。,Cafe,Mystery_Box,,,
10030221,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030222,hide,hide,hide,hide,hide,她从西装内袋取出一张黑色卡片，尺寸只有名片一半。,Cafe,Mystery_Box,,,
10030223,hide,hide,hide,hide,hide,卡片上面用暗红色印着一只展翅的凤凰，下方是“Phoenix Coin”的英文字样。,Cafe,Mystery_Box,,,
10030224,银鹮姬·神宫寺丽莎,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030225,hide,hide,hide,hide,hide,基于区块链，但采用零知识证明协议，交易完全匿名。,Cafe,Mystery_Box,,,
10030226,hide,hide,hide,hide,hide,特别适合现金流……不规则的行业。如果您有兴趣——,Cafe,Mystery_Box,,,
10030227,白鹤姬·桂原雪代,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030228,hide,hide,hide,hide,hide,丽莎。,Cafe,Mystery_Box,,,
10030229,hide,hide,hide,hide,hide,,Cafe,Mystery_Box,,,
10030230,hide,hide,hide,hide,hide,那声音表面温柔，但是透过那个温柔你能感受到温柔下的冰冷，像刀刃划过冰面。,Cafe,Coming_Dangerous,,,
10030231,hide,hide,hide,hide,hide,昨天的记忆在脑海里猛地苏醒。,Cafe,Coming_Dangerous,,,
10030232,hide,hide,hide,hide,hide,神宫寺丽莎的手指停在半空，咖啡杯里的液体晃动了一下。,Cafe,Coming_Dangerous,,,
10030233,hide,hide,hide,hide,hide,我们同时转头。,Cafe,Coming_Dangerous,,,
