ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10190401,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190402,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190403,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190404,hide,hide,hide,hide,hide,走廊尽头的储物间门虚掩着。,Corridor,Silent_Night,,,
10190405,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10190406,hide,hide,hide,hide,hide,应该没人。这个时段大多数飞鸟还没来——排班表上只有在休息室休息的双雀姐妹。但门缝里有光。不是天花板上的日光灯。是台灯的光。暖黄色。只有一盏。,RestRoom,Silent_Night,,,
10190407,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190408,hide,hide,hide,hide,hide,我推开一条缝隙。,RestRoom,Silent_Night,,,
10190409,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190410,hide,hide,hide,hide,hide,芦田育子坐在地上。背靠着纸箱。膝盖上摊着一本翻开的高中数学课本。旁边是一支没削好的铅笔。课本封底有学校图书馆的印鉴——京都府立伏见高等学校。,RestRoom,Silent_Night,,,
10190411,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190412,hide,hide,hide,hide,hide,她没发现我。,RestRoom,Silent_Night,,,
10190413,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190414,hide,hide,hide,hide,hide,她的嘴唇在跟着行间的公式默念。,RestRoom,Silent_Night,,,
10190415,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190416,hide,hide,hide,hide,hide,念到一道题停住了。铅笔拿起来，在纸箱上戳了两下，没写下去。,RestRoom,Silent_Night,,,
10190417,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190418,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190419,hide,hide,hide,hide,hide,她不会。,RestRoom,Silent_Night,,,
10190420,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190421,hide,hide,hide,hide,hide,不是忘了。是她退学的时候还没学到这一章。,RestRoom,Silent_Night,,,
10190422,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190423,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190424,hide,hide,hide,hide,hide,……黑羽先生。,RestRoom,Silent_Night,,,
10190425,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10190426,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
