ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10390301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10390302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10390303,hide,hide,hide,hide,hide,台风过去了。但外面的世界还没恢复。街上积着水，倒着树枝，几块招牌斜挂在半空。俱乐部的窗户糊了一层泥沙，把晨光滤成了灰黄色。空气里有暴雨过后的泥土腥味，混着被打烂的树叶的草汁味——那种味道很生，像被撕开的植物在哭。,Club_away,Unreal_Memory,,,
10390304,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10390305,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10390306,hide,hide,hide,hide,hide,所有人都聚在休息室里。没有人能出去。电还没来。育子坐在角落里，膝盖缩到胸前，昨晚大概没睡好。紫在翻她的塔罗牌，一张一张翻得很慢。夏实趴在桌上，脸埋在手臂里。景子手里捏着一条手机链——向日葵形状的，小澪送她的。大概是从包里翻出来的。,RestRoom,Unreal_Memory,,,
10390307,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390308,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390309,hide,hide,hide,hide,hide,彩坐在窗边。瞳靠在她肩上，眼睛半闭。彩的手放在瞳的头发上，一下一下地摸。窗外的光把她侧脸的轮廓画得很清楚——她有一个很尖的下巴，和马戏团海报上的那种脸型一模一样。,RestRoom,Unreal_Memory,,,
10390310,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390311,双雀姬·濑户彩,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390312,hide,hide,hide,hide,hide,我以前待的地方，台风天也要训练。,RestRoom,Unreal_Memory,,,
10390313,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390314,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390315,hide,hide,hide,hide,hide,她的声音很轻。不是在讲给别人听的——是在自言自语。但她说话的时候，休息室里所有人都静下来了。连紫翻牌的声音都停了。,RestRoom,Unreal_Memory,,,
10390316,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390317,双雀姬·濑户彩,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390318,hide,hide,hide,hide,hide,马戏团。秋田那边的。很小的团。一共不到二十个人。我和瞳都是那里长大的。,RestRoom,Unreal_Memory,,,
10390319,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10390320,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
