ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030600,hide,hide,hide,hide,hide,她顿了顿，嘴角扯出一个苦涩的弧度。,Apartment,Melancholy_Rain,,,
10030601,早莺姬·小野南梨,hide,hide,hide,hide,,Apartment,Melancholy_Rain,,,
10030602,hide,hide,hide,hide,hide,而且……有些客人。,Apartment,Melancholy_Rain,,,
10030603,hide,hide,hide,hide,hide,他们知道我有个重病的男朋友。,Apartment,Melancholy_Rain,,,
10030604,hide,hide,hide,hide,hide,就会故意……,Apartment,Melancholy_Rain,,,
10030605,hide,hide,hide,hide,hide,要我穿自己的、普通的衣服来服务。,Apartment,Melancholy_Rain,,,
10030606,hide,hide,hide,hide,hide,说这样……更有“现实感”。,Apartment,Melancholy_Rain,,,
10030607,hide,hide,hide,hide,hide,更……“刺激”。,Apartment,Melancholy_Rain,,,
10030608,hide,hide,hide,hide,hide,,Apartment,Melancholy_Rain,,,
10030609,hide,hide,hide,hide,hide,她说最后几个字时，声音轻得几乎听不见。手指无意识地抚摸着蝴蝶结，像是想抚平什么看不见的皱褶。,Apartment,Melancholy_Rain,,,
10030610,hide,hide,hide,hide,hide,走廊尽头的时钟敲响了两下。,Corridor,Melancholy_Rain,,,
10030611,hide,hide,hide,hide,hide,此时已经是凌晨两点。,Corridor,Silent_Night,,,
10030612,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Silent_Night,,,突然惊醒般
10030613,hide,hide,hide,hide,hide,啊，我得走了！,Corridor,Silent_Night,,,
10030614,hide,hide,hide,hide,hide,明天早上七点要去医院送饭……,Hospital,Mixed_Emotion,,,
10030615,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10030616,hide,hide,hide,hide,hide,她匆忙鞠躬，抱着那件浅蓝色内衣，踉踉跄跄地往更衣室方向跑去。,DressingRoom,Mixed_Emotion,,,
10030617,hide,hide,hide,hide,hide,但跑了没几步，又停下来，回头看了我一眼。,DressingRoom,Mixed_Emotion,,,
10030618,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,小声
10030619,hide,hide,hide,hide,hide,今晚的事……能请您保密吗？,DressingRoom,Mixed_Emotion,,,
10030620,hide,hide,hide,hide,hide,不只是内衣的事……,DressingRoom,Mixed_Emotion,,,
10030621,hide,hide,hide,hide,hide,是所有的事。,DressingRoom,Mixed_Emotion,,,
10030622,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030623,hide,hide,hide,hide,hide,我点了点头。,DressingRoom,Mixed_Emotion,,,
10030624,hide,hide,hide,hide,hide,她似乎松了口气，转身消失在了走廊转角……,Corridor,Mixed_Emotion,,,
10030625,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030626,hide,hide,hide,hide,hide,++让她自己找,Corridor,Mixed_Emotion,,,
10030627,hide,hide,hide,hide,hide,丢失的蝴蝶结_2 101202,Corridor,Mixed_Emotion,,,
10030628,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030629,hide,hide,hide,hide,hide,好的，那你找的时候自己小心一些。,Corridor,Mixed_Emotion,,,
10030630,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030631,hide,hide,hide,hide,hide,好的，麻烦了经理。,Corridor,Mixed_Emotion,,,
10030632,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030633,hide,hide,hide,hide,hide,虽然说让她自己找，但是我还是决定在外面等她一下。,Corridor,Mixed_Emotion,,,
10030634,hide,hide,hide,hide,hide,毕竟更多地了解这些女孩，肯定会对卧底的工作有些帮助。,Corridor,Warm_Encounter,,,
10030635,hide,hide,hide,hide,hide,终于，早莺姬小野南梨从里面出来了。,Corridor,Warm_Encounter,,,
10030636,hide,hide,hide,hide,hide,看到我以后，她努力把找到的东西往身后藏。,Corridor,Warm_Encounter,,,
10030637,hide,hide,hide,hide,hide,但是我还是看到了，确实是内衣。浅蓝色蕾丝，做工精致。,Corridor,Warm_Encounter,,,
10030638,hide,hide,hide,hide,hide,但这不是重点。,Corridor,Warm_Encounter,,,
10030639,hide,hide,hide,hide,hide,重点是，这件内衣明显不是俱乐部提供的——俱乐部统一采购的内衣更华丽、更“表演性质”。,Corridor,Warm_Encounter,,,
10030640,hide,hide,hide,hide,hide,而这一件……更像是年轻女孩会在百货公司精心挑选的，带着某种青涩的甜美。,Corridor,Warm_Encounter,,,
10030641,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030642,hide,hide,hide,hide,hide,啊经理你还在……不好意思……让你担心了……,Corridor,Warm_Encounter,,,
10030643,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030644,hide,hide,hide,hide,hide,她转身就想走，但我叫住了她。,Corridor,Warm_Encounter,,,
10030645,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030646,hide,hide,hide,hide,hide,早莺……,Corridor,Warm_Encounter,,,
10030647,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,停住脚步，背对着我
10030648,hide,hide,hide,hide,hide,……是？,Corridor,Warm_Encounter,,,
10030649,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030650,hide,hide,hide,hide,hide,为什么要带自己的内衣来上班？,Corridor,Warm_Encounter,,,
10030651,hide,hide,hide,hide,hide,俱乐部不是有统一的……,Corridor,Warm_Encounter,,,
10030652,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,肩膀微微发抖
10030653,hide,hide,hide,hide,hide,因为……,Corridor,Warm_Encounter,,,
10030654,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030655,hide,hide,hide,hide,hide,她慢慢转过身，低着头，手指摩挲着那个松开的蝴蝶结。,Corridor,Warm_Encounter,,,
10030656,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030657,hide,hide,hide,hide,hide,这是……男朋友去年生日时送我的。,Corridor,Warm_Encounter,,,
10030658,hide,hide,hide,hide,hide,那时候他还没生病，我们还在约会……,Corridor,Warm_Encounter,,,
10030659,hide,hide,hide,hide,hide,他说这个颜色很配我……,Corridor,Warm_Encounter,,,
10030660,hide,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030661,hide,hide,hide,hide,hide,她抬起头，努力想挤出笑容，但失败了。,Corridor,Warm_Encounter,,,
10030662,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Warm_Encounter,,,
10030663,hide,hide,hide,hide,hide,我也不想带它来这种地方。,Corridor,Warm_Encounter,,,
10030664,hide,hide,hide,hide,hide,但是经理……我所有的钱，都要存起来付医药费。,Corridor,Warm_Encounter,,,
10030665,hide,hide,hide,hide,hide,公寓的租金、吃饭、交通费……已经压到最低了。,Apartment,Warm_Encounter,,,
10030666,hide,hide,hide,hide,hide,连买一套新内衣的钱，都挤不出来。,Apartment,Warm_Encounter,,,
10030667,hide,hide,hide,hide,hide,俱乐部的内衣……如果损坏或丢失，要按原价赔偿。,Apartment,Warm_Encounter,,,
10030668,hide,hide,hide,hide,hide,我担心……我赔不起。,Apartment,Warm_Encounter,,,
10030669,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10030670,hide,hide,hide,hide,hide,她顿了顿，嘴角扯出一个苦涩的弧度。,Apartment,Warm_Encounter,,,
10030671,早莺姬·小野南梨,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10030672,hide,hide,hide,hide,hide,而且……有些客人。,Apartment,Warm_Encounter,,,
10030673,hide,hide,hide,hide,hide,他们知道我有个重病的男朋友。,Apartment,Warm_Encounter,,,
10030674,hide,hide,hide,hide,hide,就会故意……,Apartment,Warm_Encounter,,,
10030675,hide,hide,hide,hide,hide,要我穿自己的、普通的衣服来服务。,Apartment,Warm_Encounter,,,
10030676,hide,hide,hide,hide,hide,说这样……更有“现实感”。,Apartment,Warm_Encounter,,,
10030677,hide,hide,hide,hide,hide,更……“刺激”。,Apartment,Warm_Encounter,,,
10030678,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10030679,hide,hide,hide,hide,hide,她说最后几个字时，声音轻得几乎听不见。手指无意识地抚摸着蝴蝶结，像是想抚平什么看不见的皱褶。,Apartment,Warm_Encounter,,,
10030680,hide,hide,hide,hide,hide,走廊尽头的时钟敲响了两下。,Corridor,Warm_Encounter,,,
10030681,hide,hide,hide,hide,hide,此时已经是凌晨两点。,Corridor,Silent_Night,,,
10030682,早莺姬·小野南梨,hide,hide,hide,hide,,Corridor,Silent_Night,,,突然惊醒般
10030683,hide,hide,hide,hide,hide,啊，我得走了！,Corridor,Silent_Night,,,
10030684,hide,hide,hide,hide,hide,明天早上七点要去医院送饭……,Hospital,Mixed_Emotion,,,
10030685,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10030686,hide,hide,hide,hide,hide,她匆忙鞠躬，抱着那件浅蓝色内衣，踉踉跄跄地往更衣室方向跑去。,DressingRoom,Mixed_Emotion,,,
10030687,hide,hide,hide,hide,hide,但跑了没几步，又停下来，回头看了我一眼。,DressingRoom,Mixed_Emotion,,,
10030688,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,小声
10030689,hide,hide,hide,hide,hide,今晚的事……能请您保密吗？,DressingRoom,Mixed_Emotion,,,
10030690,hide,hide,hide,hide,hide,不只是内衣的事……,DressingRoom,Mixed_Emotion,,,
10030691,hide,hide,hide,hide,hide,是所有的事。,DressingRoom,Mixed_Emotion,,,
10030692,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030693,hide,hide,hide,hide,hide,我点了点头。,DressingRoom,Mixed_Emotion,,,
10030694,hide,hide,hide,hide,hide,她似乎松了口气，转身消失在了走廊转角……,Corridor,Mixed_Emotion,,,
10030695,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030601,hide,hide,hide,hide,hide,我锁好门，正准备离开时，看见小野南梨站在巷口。,Corridor,Mixed_Emotion,,,
10030602,hide,hide,hide,hide,hide,她已经换回了便装——简单的牛仔裤和T恤，戴着她的帽子，素颜。,Corridor,Mixed_Emotion,,,
10030603,hide,hide,hide,hide,hide,在路灯下，她看起来比实际年龄更小，像个高中生。,Corridor,Mixed_Emotion,,,
10030604,hide,hide,hide,hide,hide,她正在翻找钱包，脸色越来越苍白。,Corridor,Mixed_Emotion,,,
10030605,hide,hide,hide,hide,hide,显然，钱包里的钱不够打车。,Corridor,Mixed_Emotion,,,
10030606,hide,hide,hide,hide,hide,从这里到她住的街区，日本的出租车费用显然对她来说有些棘手。,Corridor,Mixed_Emotion,,,
10030607,hide,hide,hide,hide,hide,而她手里的硬币和纸钞，看起来连一千円都不到。,Corridor,Mixed_Emotion,,,
10030608,hide,hide,hide,hide,hide,此时显然已经没有地铁了，或许她只能去一些很差的住宿环境将就一下了……,Corridor,Mixed_Emotion,,,
10030609,hide,hide,hide,hide,hide,夜风很冷，她又只穿了单薄的白T恤。,Corridor,Mixed_Emotion,,,
10030610,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030611,hide,hide,hide,hide,hide,帮她叫一辆出租车,Corridor,Mixed_Emotion,,,选择分支标记
