ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10150601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150603,hide,hide,hide,hide,hide,凌晨十二点半。那个黑卡客人两小时前走了。走的时候很安静，没有酩酊，没有道别。就像一个普通的公务访客到点就走那样准时。他走后白鹤姬没有出来。茶室的门一直锁着。,Corridor,Silent_Night,,,
10150604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150605,hide,hide,hide,hide,hide,走廊里很安静。我打算回办公室整理最后一批需要调整的排期。快要走到办公室门口的时候，看到走廊尽头站着一个人。,Corridor,Silent_Night,,,
10150606,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150607,hide,hide,hide,hide,hide,星野葵。她靠在墙边。双手交叠在身前。消毒湿巾刚从包里抽出来，正在仔细擦拭每一根手指——先是指尖，再是指缝，再到手掌背面，最后是指甲边缘。动作很慢。很专注。像是擦的不是细菌，是什么更不能被人察觉到的东西。,Corridor,Silent_Night,,,
10150608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150609,hide,hide,hide,hide,hide,她抬头看到我。,Corridor,Silent_Night,,,
10150610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150611,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150612,hide,hide,hide,hide,hide,……那个人。刚才从白鹤姬房里出来的时候——你看到他了吗。,Corridor,Silent_Night,,,
10150613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150614,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150615,hide,hide,hide,hide,hide,……看到了。,Corridor,Silent_Night,,,
10150616,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150617,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150618,hide,hide,hide,hide,hide,"他三年前也来过这里——不止一次。他处理过雪鹤姬的案子，是结案人之一。不是主负责人。是负责在报告上签字的那个人。他的报告里写道——""死者生前精神状态不稳定，存在自我伤害倾向，建议以自杀结案""。这份报告我现在可以默写出来。三年前我不知道他就是那个签字的人。是我后来在报纸上看到他和村上道也的同框照片才认出来的。今天是他第二次光明正大走进这家店。",Corridor,Silent_Night,,,
10150619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150620,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150621,hide,hide,hide,hide,hide,她把湿巾在拳心里用力捏了一下。酒精味从手指缝里被挤进空气。很浓。不是药店卖的那种——医用级的，更干。,Corridor,Silent_Night,,,
10150622,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150623,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150624,hide,hide,hide,hide,hide,你知道为什么他的报告可以做假吗。因为从来没有第二份报告。没有第二份，所以不会有任何人说第一份是假的。从来没有一个警察来敲过她的门，坐在她对面的地板上问——如月冬雪你为什么要割腕。没有人来问过。没有。一个人。,Corridor,Silent_Night,,,
10150625,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150626,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150627,hide,hide,hide,hide,hide,她抬起眼睛看我。那双眼睛在走廊应急灯昏黄的光线下异常安静。没有泪水，没有红血丝，没有任何生理上的波动。但那种安静比任何愤怒都更接近火焰的核心。,Corridor,Silent_Night,,,
10150628,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150629,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150630,hide,hide,hide,hide,hide,她的血在泡沫里流了四十分钟才被发现。四十分钟。够一个医科生重新缝合两条动脉。够你们警察去调一份卷宗。够那个签字的人——从涉谷开车到这里，路上买一包烟再喝一杯咖啡。够他做所有事情。但他什么都没做。他签了字。然后把笔放在档案封面上。然后回家吃饭。,Cafe,Silent_Night,,,
10150631,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10150632,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10150633,hide,hide,hide,hide,hide,她把那只湿巾扔进垃圾桶。垃圾桶因轻微碰撞发出了一声闷响。然后她抬起头，看着黑卡客人刚走的那条空走廊。,Corridor,Silent_Night,,,
10150634,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150635,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150636,hide,hide,hide,hide,hide,——不会再有第二个如月冬雪了。,Corridor,Silent_Night,,,
10150637,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10150638,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
