ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120401,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120402,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120403,hide,hide,hide,hide,hide,下午两点半。在去俱乐部的路上绕到大学区的药妆店——家里那瓶洗面奶用了半个月，已经见底了。,Club_away,Mixed_Emotion,,,
10120404,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120405,hide,hide,hide,hide,hide,走进店里。冷气开得很足，空气中弥漫着消毒酒精和洗发水混合的味道。货架上排满了瓶瓶罐罐，日光灯照得所有标签都有一种过于干净的光泽。,Club_away,Mixed_Emotion,,,
10120406,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120407,hide,hide,hide,hide,hide,我在日用品区拿了洗面奶。准备去结账的时候，看到医疗用品区有人。,Club_away,Mixed_Emotion,,,
10120408,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120409,hide,hide,hide,hide,hide,星野葵。她背对着我。购物篮里放着一盒无菌注射器、一瓶医用酒精、还有一台精密电子秤——不是厨房用的那种，是那种放在玻璃罩里的实验室级别的东西。能精确到零点零一克。,Club_away,Mixed_Emotion,,,
10120410,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120411,hide,hide,hide,hide,hide,她拿起一包无菌手套放进篮子里。然后抬起头——在货架顶层的玻璃反光中看到了我。她的手停了一秒。然后继续把手套放进篮子。转过身。,Club_away,Mixed_Emotion,,,
10120412,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120413,青鹭姬·星野葵,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120414,hide,hide,hide,hide,hide,……没想到连续两天碰到你。,Club_away,Mixed_Emotion,,,
10120415,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120416,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120417,hide,hide,hide,hide,hide,她没有试图遮盖购物篮里的东西。没有往身后藏。她的镜片反光让我看不清她的眼神。,Club_away,Mixed_Emotion,,,
10120418,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120419,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120420,hide,hide,hide,hide,hide,……俱乐部备品？,Club_away,Mixed_Emotion,,,
10120421,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120422,青鹭姬·星野葵,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120423,hide,hide,hide,hide,hide,对。俱乐部的急救箱需要补充。无菌纱布快用完了，消毒酒精也是。上次帮你拿止痛药的时候发现药箱里缺了不少东西。白鹤姐说可以报公账。,Club_away,Mixed_Emotion,,,
10120424,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120425,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120426,hide,hide,hide,hide,hide,"她说这段话的时候从头到尾没有眨眼。语调和她解释偏头痛的病理机制时一样——平静，完整，有逻辑。那个电子秤——""备品""用不到零点零一克精度的秤。她没有解释。也没有给我机会问。因为说完之后她就点头致意，转身去收银台结账了。收银台的女孩扫过注射器的时候多看了她一眼，但什么都没说。",Club_away,Mixed_Emotion,,,
10120427,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120428,hide,hide,hide,hide,hide,我看着她的背影推开店门。帆布袋还是那个帆布袋。里面多了一个棕色纸袋——纸袋不透明。看不见里面的东西。,Club_away,Mixed_Emotion,,,
10120429,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120430,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
