ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10030500,hide,hide,hide,hide,hide,木岛春奈如获大赦般鞠躬，快步消失在走廊转角。,Corridor,Mixed_Emotion,,,
10030501,hide,hide,hide,hide,hide,神宫寺丽莎也颔首离开，高跟鞋的声音渐渐远去。,Corridor,Mixed_Emotion,,,
10030502,hide,hide,hide,hide,hide,走廊里只剩下我和桂原雪代。,Corridor,Mixed_Emotion,,,
10030503,hide,hide,hide,hide,hide,她端起自己那杯茶，抿了一口。,Corridor,Mixed_Emotion,,,
10030504,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,看着春奈离开的方向
10030505,hide,hide,hide,hide,hide,春奈的能力很实用。只要提供清晰的影像和性格分析，她几乎可以变成任何人。,Corridor,Mixed_Emotion,,,
10030506,hide,hide,hide,hide,hide,年轻的少女，风韵犹存的少妇……甚至外国人。,Corridor,Mixed_Emotion,,,
10030507,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030508,hide,hide,hide,hide,hide,她走过我身边时，用只有我能听见的音量说：,Corridor,Mixed_Emotion,,,
10030509,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030510,hide,hide,hide,hide,hide,另外。,Corridor,Mixed_Emotion,,,
10030511,hide,hide,hide,hide,hide,刚才春奈模仿我时……,Corridor,Mixed_Emotion,,,
10030512,hide,hide,hide,hide,hide,你心跳加速的声音，我隔着转角都听见了。,Corridor,Mixed_Emotion,,,
10030513,hide,hide,hide,hide,hide,你经过了测试，不应该这样，我们现在……是合作关系。,Corridor,Mixed_Emotion,,,
10030514,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10030515,hide,hide,hide,hide,hide,她说完，端着茶托缓步离开。,Corridor,Mixed_Emotion,,,
10030516,hide,hide,hide,hide,hide,依旧是木屐的声音。,Corridor,Mixed_Emotion,,,
10030517,hide,hide,hide,hide,hide,嗒，嗒，嗒……,Corridor,Mixed_Emotion,,,
10030518,hide,hide,hide,hide,hide,我站在原地，手里那杯茶还冒着热气。,Corridor,Mixed_Emotion,,,
10030519,hide,hide,hide,hide,hide,走廊的灯光又轻微闪烁了一下。,Corridor,Mixed_Emotion,,,
10030520,hide,hide,hide,hide,hide,预约表的夹层里，还留着那张黑色卡片的一角。,Corridor,Mixed_Emotion,,,
10030521,hide,hide,hide,hide,hide,凤凰的翅膀从纸张边缘探出，在暖黄光线下仿佛在微微颤动。,Corridor,Mixed_Emotion,,,
10030522,hide,hide,hide,hide,hide,而远处，化妆间已经传来女孩们的说话声、笑声、和拉开椅子的声音。,DressingRoom,Mixed_Emotion,,,
10030523,hide,hide,hide,hide,hide,夜晚的帷幕，正在缓缓拉开……,DressingRoom,Mixed_Emotion,,,
10030524,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030525,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030501,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10030502,hide,hide,hide,hide,hide,凌晨一点四十分，最后一拨客人离开的十分钟后。,DressingRoom,Silent_Night,,,
10030503,hide,hide,hide,hide,hide,走廊里只剩下保洁阿姨推着清洁车的声音，还有隐约的、某个房间传来的淋浴水声。,Corridor,Silent_Night,,,
10030504,hide,hide,hide,hide,hide,我正在检查VIP区的灯光是否都已关闭，突然听见一阵急促的脚步声。,VIP_Room,Silent_Night,,,
10030505,hide,hide,hide,hide,hide,从三号VIP室冲出来一个人影——是早莺姬·小野南梨。,VIP_Room,Silent_Night,,,
10030506,hide,hide,hide,hide,hide,她没有换回便装，甚至仍然穿着今晚接客的淡粉色蕾丝内衣套装，外面匆匆裹了件开衫，扣子都扣错了位。头发凌乱，脸上的妆已经花了大半，睫毛膏晕开在眼下，像是哭过。,VIP_Room,Silent_Night,,,
10030507,hide,hide,hide,hide,hide,看见我，她猛地停住，眼睛睁大，随即低下头想绕开。,VIP_Room,Silent_Night,,,
10030508,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10030509,hide,hide,hide,hide,hide,早莺姬？,VIP_Room,Silent_Night,,,
10030510,早莺姬·小野南梨,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,身体一僵
10030511,hide,hide,hide,hide,hide,经、经理……晚上好……,VIP_Room,Silent_Night,,,
10030512,hide,hide,hide,hide,hide,我、我这就去换衣服下班……,VIP_Room,Silent_Night,,,
10030513,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10030514,hide,hide,hide,hide,hide,她说着就要往化妆间方向走，但脚步踉跄，差点被自己绊倒。,DressingRoom,Silent_Night,,,
10030515,hide,hide,hide,hide,hide,我伸手扶了她一把。触到她手臂的瞬间，感觉到她因为慌乱不由自主地在挣扎。,DressingRoom,Silent_Night,,,
10030516,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10030517,hide,hide,hide,hide,hide,怎么了？,DressingRoom,Silent_Night,,,
10030518,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,用力摇头
10030519,hide,hide,hide,hide,hide,没事！真的没事！,DressingRoom,Silent_Night,,,
10030520,hide,hide,hide,hide,hide,只是……只是有点累……,DressingRoom,Silent_Night,,,
10030521,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10030522,hide,hide,hide,hide,hide,但她说话时，眼睛不停瞟向三号VIP室半掩的门，手指紧紧攥着开衫前襟。,VIP_Room,Silent_Night,,,
10030523,hide,hide,hide,hide,hide,我顺着她的目光看去，房间还没开始打扫。,VIP_Room,Silent_Night,,,
10030524,hide,hide,hide,hide,hide,沙发上散落着几个空酒瓶，地毯上有打翻的果盘痕迹，空气中还残留着香烟和某种甜腻香水的混合气味。,VIP_Room,Slow_Lure,,,
10030525,hide,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030526,hide,hide,hide,hide,hide,是丢了什么东西？,VIP_Room,Slow_Lure,,,
10030527,早莺姬·小野南梨,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,猛地抬头，又迅速低下
10030528,hide,hide,hide,hide,hide,……嗯。,VIP_Room,Slow_Lure,,,
10030529,hide,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030530,hide,hide,hide,hide,hide,她声音很小，带着哭腔。,VIP_Room,Slow_Lure,,,
10030531,hide,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030532,hide,hide,hide,hide,hide,我帮你找？,VIP_Room,Slow_Lure,,,
10030533,hide,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030534,hide,hide,hide,hide,hide,几乎是下意识地，我就提出要帮忙。,VIP_Room,Slow_Lure,,,
10030535,hide,hide,hide,hide,hide,可能还是自己警察的职业内在在作祟。,VIP_Room,Slow_Lure,,,
10030536,早莺姬·小野南梨,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030537,hide,hide,hide,hide,hide,不太合适，经理，是……一件内衣……,VIP_Room,Slow_Lure,,,
10030538,hide,hide,hide,hide,hide,,VIP_Room,Slow_Lure,,,
10030539,hide,hide,hide,hide,hide,她说着，眼泪突然掉下来。,VIP_Room,Slow_Lure,,,
10030540,hide,hide,hide,hide,hide,不是那种夸张的哭泣，而是极力压抑却控制不住的。,VIP_Room,Melancholy_Rain,,,
10030541,hide,hide,hide,hide,hide,泪水顺着脸颊滑落，混合着晕开的眼妆，在脸上划出两道深色的痕迹。,VIP_Room,Melancholy_Rain,,,
10030542,hide,hide,hide,hide,hide,随后，她拉着我的西装袖子，似乎希望自己解决。,VIP_Room,Melancholy_Rain,,,
10030543,hide,hide,hide,hide,hide,我注意到，她的手很冰，指甲修剪得很短，但边缘有啃咬过的痕迹。,VIP_Room,Melancholy_Rain,,,
10030544,hide,hide,hide,hide,hide,,VIP_Room,Melancholy_Rain,,,
10030545,hide,hide,hide,hide,hide,帮她找,VIP_Room,Melancholy_Rain,,,选择分支标记
10030546,hide,hide,hide,hide,hide,让她自己找,VIP_Room,Melancholy_Rain,,,选择分支标记
10030547,hide,hide,hide,hide,hide,,VIP_Room,Melancholy_Rain,,,
10030548,hide,hide,hide,hide,hide,,VIP_Room,Melancholy_Rain,,,
10030549,hide,hide,hide,hide,hide,++选择【帮她找】,VIP_Room,Melancholy_Rain,,,分支展开
10030550,hide,hide,hide,hide,hide,丢失的蝴蝶结_1 101201,VIP_Room,Melancholy_Rain,,,
10030551,hide,hide,hide,hide,hide,,VIP_Room,Melancholy_Rain,,,
