ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10520401,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520402,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520403,hide,hide,hide,hide,hide,第八遍做完。景子把枪放回布上。零件没有拆。她让枪保持组装状态——弹匣插入，保险开着，一颗子弹都没装。枪口对着墙。墙上贴着一张旧海报——大概是某个演出季的宣传画，纸边已经卷了，颜色褪得只剩灰黄。海报上印着一个穿和服的女人，脸已经被潮气模糊了。,Corridor,Silent_Night,,,
10520404,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520405,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520406,hide,hide,hide,hide,hide,她拿起那颗纽扣。放在手心里。白色纽扣在昏暗的灯光下显得很孤单。它不属于任何一件衣服——它是被单独留下来的。可能是小澪的。可能是她自己小时候的衣服上的。也可能是随便从哪捡的。她没有解释。只是把它放在子弹旁边。每次做完一遍，就把纽扣往前挪一颗子弹的距离。现在纽扣已经挪到了最后一颗子弹的旁边。,Corridor,Silent_Night,,,
10520407,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520408,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520409,hide,hide,hide,hide,hide,我走到她旁边。坐在另一个小板凳上。那个板凳腿有点歪，坐上去的时候晃了一下。衣帽间很小。两个人坐在里面膝盖几乎碰到。我能闻到她手上的枪油味——比刚才更重了。她大概是反复摸了太多次零件，枪油渗进了指纹里。,Corridor,Silent_Night,,,
10520410,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520411,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520412,hide,hide,hide,hide,hide,……怕不怕。,Corridor,Silent_Night,,,
10520413,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520414,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520415,hide,hide,hide,hide,hide,她没有马上回答。她把纽扣拿起来。在手指间慢慢转。白色纽扣在转动的时候反射着一点点光。很小的一点光。在她的指关节上来回跳。,Corridor,Silent_Night,,,
10520416,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520417,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520418,hide,hide,hide,hide,hide,不怕。,Corridor,Silent_Night,,,
10520419,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520420,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10520421,hide,hide,hide,hide,hide,"她说这两个字的时候声音很稳。和平时说""小澪今天要交作业""一样稳。和说""学费下周一交""一样稳。但这种稳不是没有恐惧——是一个人在恐惧里站了很久之后，腿不再抖了。",Corridor,Coming_Dangerous,,,
10520422,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520423,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520424,hide,hide,hide,hide,hide,怕的事已经过了。,Corridor,Coming_Dangerous,,,
10520425,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520426,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520427,hide,hide,hide,hide,hide,她把手里的纽扣放在膝盖上。转过来看我。眼睛是蓝色的——那种很浅的蓝，在昏暗的光线里几乎变成灰色。眼角有细纹。嘴唇有点干。她舔了一下嘴唇。然后说。,Corridor,Coming_Dangerous,,,
10520428,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520429,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520430,hide,hide,hide,hide,hide,最怕的是小澪三岁那年发高烧。烧了四天。医生说如果再烧一天——脑子可能会烧坏。我一个人坐在医院走廊里。走廊很长。很白。有一股消毒水的味道。我坐在那里，看着点滴瓶一滴一滴地滴。每一滴都像在滴我自己的血。那时候我想——如果她有什么事，我活不下去。不是比喻。是真的活不下去。,Corridor,Coming_Dangerous,,,
10520431,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520432,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520433,hide,hide,hide,hide,hide,她把纽扣握在手里。握得很紧。指节发白。,Corridor,Coming_Dangerous,,,
10520434,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520435,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10520436,hide,hide,hide,hide,hide,后来她退烧了。醒过来第一句话是——「妈妈我饿了。」我给她买了医院食堂的炸鸡。很难吃。但她全吃了。吃完说——「妈妈做的比这个好吃。」从那以后——我怕的事就过了。因为我发现我怕的不是自己受伤。是怕她受伤。只要她没事——我什么都不怕。,Hospital,Coming_Dangerous,,,
10520437,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520438,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520439,hide,hide,hide,hide,hide,她把手松开。纽扣掉回膝盖上。在裙子上弹了一下。她低头看着纽扣。,Hospital,Coming_Dangerous,,,
10520440,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520441,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
10520442,hide,hide,hide,hide,hide,所以现在我也不怕。因为我现在做的事——是为了让她以后不用怕。,Hospital,Coming_Dangerous,,,
10520443,hide,hide,hide,hide,hide,,Hospital,Coming_Dangerous,,,
