ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600901,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600902,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600903,hide,hide,hide,hide,hide,七点四十五分。正门被撞开。不是粉丝——是Interpol。黑色的防弹背心上印着白色的字母。警灯的红蓝光从门口涌进来，和宴会厅的吊灯光搅在一起。Linda走在最前面。她换上了制服。金发扎在脑后。没有抽烟。她的眼睛扫过整个宴会厅——确认了村上的位置，确认了黑田的位置，确认了倒在地上的心腹的位置。,Corridor,Coming_Dangerous,,,
10600904,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600905,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600906,hide,hide,hide,hide,hide,空气里突然有了金属和橡胶的味道——是防弹背心的尼龙和枪支的金属混在一起的气味。还有汗水。还有更淡的——某个角落里，有人失禁了。不是恐惧——是肌肉松弛剂的副作用。,Corridor,Coming_Dangerous,,,
10600907,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600908,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600909,hide,hide,hide,hide,hide,村上被两个探员按住了手臂。他没有挣扎。他只是在看着雪代。不是愤怒——是某种比愤怒更复杂的东西。一个人被自己最信任的棋子将死之后的表情。他张了张嘴。想说句什么。但声音被探员的命令盖过了。,Corridor,Coming_Dangerous,,,
10600910,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600911,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600912,hide,hide,hide,hide,hide,"黑田在角落里。他想站起来。但腿不听使唤——松弛剂。他滑倒在地上。手撑在地毯上。一个探员走到他面前，把他拉起来。黑田的嘴里还在说什么——大概是关于他的身份——""我是府议会议员""。没有人听。",Corridor,Coming_Dangerous,,,
10600913,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600914,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600915,hide,hide,hide,hide,hide,毒枭们一个接一个被带走。他们的酒杯还放在桌上。有些还剩半杯。有些已经空了。长桌上的桌布被拉扯得歪歪扭扭。座位卡散了一地。育子的座位卡——那些她排了一遍又一遍、挪了半厘米又挪回来的座位卡——被踩在了靴子底下。但没有人在乎。因为所有人都活着。,Corridor,Coming_Dangerous,,,
10600916,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
