ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10540301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10540302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10540303,hide,hide,hide,hide,hide,下午的俱乐部是空的。没有客人，没有音乐，没有酒杯碰撞的声音。只有走廊里的脚步声——很轻，但很密集。每一个人的脚步声都不一样。春奈的脚步最轻，像猫踩在木板上。景子的脚步最快，节奏像缝纫机。紫的脚步拖拖沓沓，鞋底总在地板上擦出沙沙声。夏实的脚步最有节奏——大概是偶像训练留下的肌肉记忆，每一步都一样长。,Corridor,Silent_Night,,,
10540304,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10540305,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10540306,hide,hide,hide,hide,hide,空气里有清洁剂的味道。育子上午拖过地板。拖把在水桶里拧过太多次，水已经灰了，但她还在用。那股清洁剂的味道是柠檬香型的——很化工，但很提神。混着中午吃剩的便当味道——炸鸡、米饭、腌萝卜。休息室的桌上还放着几个空便当盒。筷子斜插在盒子里。纸杯里剩了半杯凉水。,RestRoom,Silent_Night,,,
10540307,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10540308,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10540309,hide,hide,hide,hide,hide,我一个一个找。不在同一个地方。不在同一个时间。像是约好的——每个人都挑了今天最适合的地方等着。或者说，每个人都知道今天会有人来问。所以她们选了让自己最安心的角落。,RestRoom,Silent_Night,,,
10540310,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10540311,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10540312,hide,hide,hide,hide,hide,夏实在天台。她站在护栏旁边，背对着门。风吹着她的粉色的头发——不是散开的那种吹，是发尾轻轻飘。她听到脚步声就转过来。金色的眼睛在下午的阳光里很亮。但嘴角没有平时那种偶像式的笑。今天她的脸是关掉开关之后的——平静，但很累。,Rooftop,Silent_Night,,,
10540313,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540314,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540315,hide,hide,hide,hide,hide,我知道你要问什么。答案早就有——雪鹤姐的事，我躲了三年。这一次不躲了。,Rooftop,Silent_Night,,,
10540316,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540317,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540318,hide,hide,hide,hide,hide,她转回去。看着天台下面的街。街上有个小孩在骑自行车。后轮上绑着一个红色的气球。气球在风里歪歪斜斜。,Rooftop,Silent_Night,,,
10540319,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540320,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540321,hide,hide,hide,hide,hide,但是我怕。我怕的不是后果——我怕的是我走到一半，又像那天一样，看到有人躺在地上，身上都是血，然后我的脚动不了。这一次如果脚动不了——你帮我推一把。推我一下就行。只要一下。,Rooftop,Silent_Night,,,
10540322,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540323,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540324,hide,hide,hide,hide,hide,"她的手指在护栏上敲了两下。很轻。像是给某首歌打拍子。然后她走了。经过我身边的时候，她伸手在我肩膀上拍了一下。不是那种""拜托你了""的拍——是更轻的。是""我知道了""的拍。她的手掌很暖。像天台上的阳光。",Rooftop,Silent_Night,,,
10540325,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540326,hide,hide,hide,hide,hide,---,Rooftop,Silent_Night,,,
10540327,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540328,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540329,hide,hide,hide,hide,hide,紫在柏青哥店门口。她今天没有进去。只是站在门口，看着里面闪烁的机器灯光。那些灯光在她眼睛里映出红色、蓝色、金色的光斑。她手里捏着那副塔罗牌。牌盒已经旧了，角上磨出了白色。,Rooftop,Silent_Night,,,
10540330,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540331,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540332,hide,hide,hide,hide,hide,我今天还没占。,Rooftop,Silent_Night,,,
10540333,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10540334,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
