ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10530501,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530502,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530503,hide,hide,hide,hide,hide,天全黑了。茶室里只有一盏小台灯亮着。灯罩是纸的，光透过来也是纸色的。雪代把账簿合上。合上的声音很轻——皮封面碰到皮封底，中间夹着几十页纸，发出一声很闷很厚的轻响。像一本书叹了一口很长的气。,Club_door,Unreal_Memory,,,
10530504,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530505,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530506,hide,hide,hide,hide,hide,她把账簿拿起来。走到墙角的柜子前。柜子是木头的，深色的。柜门上有一把锁——不是那种现代的弹子锁，是更老的插销锁。黄铜的。锁面上刻着一只鹤。线条很简单——只有几刀。鹤的一只脚抬起，翅膀半张，不知道是要起飞还是刚落下。,Club_door,Unreal_Memory,,,
10530507,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530508,hide,hide,hide,hide,hide,,Club_door,Unreal_Memory,,,
10530509,hide,hide,hide,hide,hide,她打开锁。钥匙是从和服的内袋里拿出来的——今天没穿和服，钥匙是从灰色家常服的口袋里拿出来的。钥匙很小。黄铜的。和锁面上的鹤一样的颜色。她把钥匙插进锁孔。转动。锁舌弹开的声音很清脆。在这间安静的茶室里，那声咔嗒像一颗棋子落在棋盘上。,Club_door,Silent_Night,,,
10530510,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530511,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530512,hide,hide,hide,hide,hide,她把账簿放进柜子。柜子里还有一些别的东西——一个旧信封，一封叠得很整齐的信，一个装照片的小纸袋。她没有碰那些东西。只把账簿放进去。然后关上柜门。锁上。拔下钥匙。,Club_door,Silent_Night,,,
10530513,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530514,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530515,hide,hide,hide,hide,hide,她把钥匙握在手心里。握得很紧。黄铜钥匙的齿在她的掌心上压出很浅的印子。她站在柜子前面。面对着柜门。柜门上的木纹在台灯光里显得很深——像一条干涸的河床。她对着柜门说话。不是对着柜子里的账簿。是对着所有被锁在里面的东西。,Club_door,Silent_Night,,,
10530516,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530517,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530518,hide,hide,hide,hide,hide,那天晚上。,Club_door,Silent_Night,,,
10530519,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530520,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530521,hide,hide,hide,hide,hide,她停了一下。不是在想词儿——是那句话已经在心里说了很多遍了。现在只是把它从心里拿到嘴边。,Club_door,Silent_Night,,,
10530522,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530523,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530524,hide,hide,hide,hide,hide,坐第一把椅子。,Club_door,Silent_Night,,,
10530525,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530526,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530527,hide,hide,hide,hide,hide,"她说的不是""我想坐""或""我要坐""。她说的是""坐第一把椅子""——像一个陈述。像天气预报说明天下雨。像日历上印着某一天是春分。不包含任何情绪。不包含任何请求。只是一个事实。这个事实在她的账簿里写了二十一年。在最后一页的空白上，铅笔没有写下去的那个灰点里。那个灰点就是这句话。",Club_door,Silent_Night,,,
10530528,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530529,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530530,hide,hide,hide,hide,hide,她把手松开。钥匙落在手心里。她把钥匙放回口袋里。然后走到矮桌前。拿起茶杯。茶已经凉透了。她把凉茶倒进旁边的小水盂里。动作很慢。茶水流成一条很细的线。水声在安静的茶室里持续了大概十几秒。然后她放下茶杯。茶杯在矮桌上发出一声很轻的瓷器声。,Club_door,Silent_Night,,,
10530531,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530532,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10530533,hide,hide,hide,hide,hide,她弯腰。把那颗被飞虫爬过的粉色和果子糖拿起来。吹了一下。然后放进嘴里。慢慢嚼。糖是硬的。在牙齿间碎掉的声音很细。她嚼完了。然后伸手。把那颗白色的和果子糖推到碟子另一边——朝向空着的坐垫。,Club_door,Silent_Night,,,
10530534,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
