ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10310301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10310302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10310303,hide,hide,hide,hide,hide,早上七点十五分。传真机响了。不是电话——是传真，老式的那种热敏纸。纸从机器里慢慢吐出来，发出细微的滋滋声。空气里是热敏纸加热后的化学气味，有点像烧焦的塑料，很淡。,Club_away,Mixed_Emotion,,,
10310304,hide,hide,hide,hide,hide,传真头是一行大阪府警的抬头。正文三行。佐藤正义，警部补，于昨日被正式逮捕。罪名：泄露侦查机密。处分：停职拘留，移送地检。下面盖了一个章——不是佐藤那个部门的，是内务部的。,Club_away,Mixed_Emotion,,,
10310305,hide,hide,hide,hide,hide,我把纸撕下来。热敏纸的边缘还有点烫。抬头看窗外——天是阴的，云压得很低，像有人在天花板上铺了一层旧棉絮。,Club_away,Mixed_Emotion,,,
10310306,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10310307,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10310308,hide,hide,hide,hide,hide,"传真机又响了。第二张纸。同一个抬头。这次是一份""调查配合通知书""，要求俱乐部在调查期间保留全部经营记录。落款：村上道也，警部。",Club_away,Mixed_Emotion,,,
10310309,hide,hide,hide,hide,hide,这个名字第一次以正式文件的方式出现在我面前。不是传言，不是佐藤口述，不是报纸上的间接引用。是盖了章的文件。村上道也——佐藤的上级，现在是调查佐藤的人。,Club_away,Mixed_Emotion,,,
10310310,hide,hide,hide,hide,hide,我把两张纸叠在一起，折成四折，塞进外套内袋。热敏纸上的字会在几天后褪色。在那之前，我得让每一行字都记在脑子里。,Club_away,Mixed_Emotion,,,
10310311,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
