ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10360501,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360502,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360503,hide,hide,hide,hide,hide,没有酒。没有音乐。没有彩带。休息室的灯光调到最暗。十二个人——现在是十一个了——站成一个松散的圈。南梨的行李箱靠在门边。淡蓝色，像一小片从天上剪下来的方块。,RestRoom,Mixed_Emotion,,,
10360504,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360505,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360506,hide,hide,hide,hide,hide,空气里有茶的味道。是夏实泡的玄米茶，特意多加了一把米。南梨说过她喜欢玄米茶里的焦香——不是贵的东西，是那种把米炒焦了之后才会有的香味，带一点点苦。还有更淡的——线香。紫点燃的那支，插在窗台上的空瓶子里。白烟很细，歪歪扭扭地往上走，快到天花板的时候散了。,RestRoom,Mixed_Emotion,,,
10360507,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360508,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360509,hide,hide,hide,hide,hide,"没有人说""我们会想你""。没有人说""要幸福""。这些词太大了。放在这个房间里，放在这个时刻，像把一整片海倒进一个杯子——装不下，洒得到处都是，然后什么都不是。",RestRoom,Mixed_Emotion,,,
10360510,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360511,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10360512,hide,hide,hide,hide,hide,育子第一个走过去。她在南梨面前站住，低着头。和第一天见面时一模一样——脚内八，肩膀缩着。然后她抬起头。然后她抱住了南梨。不是轻轻的礼貌的拥抱。是太用力的，手指陷进南梨背后的毛衣里，像要把一个人揉进骨头——或者从骨头里揉出什么来。,RestRoom,Unreal_Memory,,,
10360513,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360514,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360515,hide,hide,hide,hide,hide,……我会发邮件的。,RestRoom,Unreal_Memory,,,
10360516,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360517,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360518,hide,hide,hide,hide,hide,声音在发抖。但说完了。每一个字都说完了。这就是育子能做到的最大——把一句话说完，不跑，不低头。,RestRoom,Unreal_Memory,,,
10360519,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360520,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360521,hide,hide,hide,hide,hide,然后是彩和瞳。两个人一起走过去。彩拍了拍南梨的肩，瞳从另一边抱住她的手臂。三个人站在一起的影子落在墙上，像一棵树——三根枝桠，一个根。,RestRoom,Unreal_Memory,,,
10360522,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360523,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360524,hide,hide,hide,hide,hide,一个接一个。丽莎抱了最久。她的脸埋在南梨的肩窝里，说了什么，声音被毛衣吸掉了大半，只有南梨能听到。南梨听完，闭了一下眼睛。点了头。景子走过去，把一个东西塞进南梨手里——是一个很小的布偶，小澪的，一只耳朵缝歪了。景子没说话，南梨也没说话。布偶被南梨握在手里，耳朵从指缝里露出来。,RestRoom,Unreal_Memory,,,
10360525,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360526,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10360527,hide,hide,hide,hide,hide,夏实最后一个。她走过去的时候，那种标志性的笑容还挂在脸上。完美的弧度。完美的亮度。然后走到第三步的时候——弧度塌了。不是那种崩溃的哭。是笑到一半，忽然放弃了。她抱住南梨，肩膀在抖，但没出声。南梨拍了拍她的背。很轻。像在拍一个孩子。,RestRoom,Unreal_Memory,,,
10360528,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
