ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10270601,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270602,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270603,hide,hide,hide,hide,hide,凌晨一点。后巷的空气冷下来，垃圾桶旁边有隔夜的啤酒味，还有远处下水道泛上来的湿泥气。巷子很窄，路灯坏了一盏，剩下的那盏把光打在墙面剥落的白漆上。,DressingRoom,Silent_Night,,,
10270604,hide,hide,hide,hide,hide,森山——使者——从后门出来。一个人。手里拎着一个黑色公文包，很旧，边角磨白了。他站在门口停了三秒，左右看了一眼。然后往巷子东边走。,DressingRoom,Silent_Night,,,
10270605,hide,hide,hide,hide,hide,我站在巷子西侧消防梯下面，背贴着冰冷的铁架。铁架上的油漆在掌心里碎成细末。,DressingRoom,Coming_Dangerous,,,
10270606,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270607,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270608,hide,hide,hide,hide,hide,他的车停在第三个街口。一辆深蓝色的皇冠。车身很干净，不像在东京街头跑的车。车尾没有装饰物，挡风玻璃里面也没挂任何东西。,DressingRoom,Coming_Dangerous,,,
10270609,hide,hide,hide,hide,hide,他开车门的时候侧了一下身。我看到了他的侧脸——路灯的光从上方打下来，把他的眼窝照出两个深的凹。他坐进去，发动引擎。尾灯亮了，红光照在潮湿的沥青上，像两道没干的血痕。,DressingRoom,Coming_Dangerous,,,
10270610,hide,hide,hide,hide,hide,我掏出翻盖手机。手指按在键盘上，等了半秒。车开始动。我按下快门。画面糊了一半，但车牌号码能看清——品川300 47-29。,DressingRoom,Coming_Dangerous,,,
10270611,hide,hide,hide,hide,hide,车尾灯转过街角消失了。巷子里只剩下冷风和垃圾桶盖子被风吹动的响声。我把手机合上，塞回口袋。手指冻得发僵。翻盖机的金属外壳在手心里慢慢捂热。铁锈味还粘在手上。,DressingRoom,Coming_Dangerous,,,
10270612,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270613,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270614,hide,hide,hide,hide,hide,回到俱乐部后门的时候，我看到二楼茶室的灯还亮着。窗帘后面有一个人的影子，站着。没动。是雪代。她站在窗前，看着刚才那辆车消失的方向。,DressingRoom,Coming_Dangerous,,,
10270615,hide,hide,hide,hide,hide,她看了多久。我不知道。但她没开窗。,DressingRoom,Coming_Dangerous,,,
10270616,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270617,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270618,hide,hide,hide,hide,hide,后门的铰链上了油，推的时候不出声。楼梯间的灯泡坏了，只有二楼的灯光从楼梯转角漏下来，在墙上画了一道斜的亮边。我站在楼梯下面，抬头看那道亮边。它很细。像是有人用刀在墙上划了一下。,DressingRoom,Coming_Dangerous,,,
10270619,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270620,hide,hide,hide,hide,hide,雪代的影子还叠在窗帘上。台灯的暖黄色和楼下应急灯的绿色混在一起，变成了一种不属于任何地方的颜色。我把翻盖机掏出来，屏幕还亮着。那张车牌的照片——糊了一半，但号码清楚。品川300。我把照片存进加密分区。文件夹名字——打了又删，删了又打。最后什么都没打。让它是空的。,DressingRoom,Coming_Dangerous,,,
10270621,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10270622,hide,hide,hide,hide,hide,有些东西不该有名字。,DressingRoom,Coming_Dangerous,,,
10270623,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
