ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040401,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040402,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040403,hide,hide,hide,hide,hide,下午两点十分。拱廊商店街的遮阳棚已经褪成灰白色，边缘的锈迹像枫叶一样蔓延。杂货铺、药妆店、古本屋挤在两侧，空气里有章鱼烧酱汁的焦香。,ShoppingStreet,Slow_Lure,,,
10040404,hide,hide,hide,hide,hide,,ShoppingStreet,Slow_Lure,,,
10040405,hide,hide,hide,hide,hide,"街的尽头是一家寝具店。玻璃门上贴着""决算特卖""的手写海报，红色颜料已经褪成浅粉。",BedStore,Slow_Lure,,,
10040406,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040407,hide,hide,hide,hide,hide,推门进去。新布料的味道混着防虫剂。店里从地板摞到天花板的床垫把空间挤压成一座软绵绵的迷宫。,BedStore,Slow_Lure,,,
10040408,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040409,hide,hide,hide,hide,hide,走到床垫区。挑了个最便宜的单人款，用手按了按——硬度适中。对我来说，能把硬地板和脊椎隔开就够了。,BedStore,Slow_Lure,,,
10040410,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040411,hide,hide,hide,hide,hide,店员费力地把床垫从货架上拖下来。就在这时，店门再次被推开。,BedStore,Slow_Lure,,,
10040412,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040413,hide,hide,hide,hide,hide,风铃响了。,BedStore,Slow_Lure,,,
10040414,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040415,小澪,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040416,hide,hide,hide,hide,hide,妈妈！你看那个枕头！有兔子耳朵的！,BedStore,Slow_Lure,,,
10040417,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040418,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040419,hide,hide,hide,hide,hide,我回头。门口站着一个穿鹅黄色连衣裙的小女孩。四五岁光景，羊角辫，小手指着货架上一只兔子抱枕。眼睛里装满了星星。,BedStore,Slow_Lure,,,
10040420,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040421,hide,hide,hide,hide,hide,牵着她的手的女人——我认出来了。,BedStore,Slow_Lure,,,
10040422,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040423,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040424,hide,hide,hide,hide,hide,小澪，声音太大了。,BedStore,Slow_Lure,,,
10040425,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040426,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040427,hide,hide,hide,hide,hide,谷川景子。没有那套暗红色的制服和妆容。米色开衫，深蓝长裙，头发随意扎在脑后。几乎素颜。,BedStore,Slow_Lure,,,
10040428,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040429,hide,hide,hide,hide,hide,"卸下""巢燕姬""面具之后，她看起来只是一个疲惫的母亲。眼角有细微的纹路，嘴唇颜色很淡，锁骨处的骨头微微凸出。",BedStore,Slow_Lure,,,
10040430,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040431,hide,hide,hide,hide,hide,她看见了我。愣了一下。然后下意识把女儿往身后拉了拉。,BedStore,Slow_Lure,,,
10040432,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040433,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040434,hide,hide,hide,hide,hide,……黑羽经理。,BedStore,Slow_Lure,,,
10040435,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040436,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
