ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10510601,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510602,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510603,hide,hide,hide,hide,hide,春奈走了。她把八张面具装进一个黑色的化妆箱里。箱子的扣子是黄铜的，扣上的时候发出很清脆的咔嗒声。她提着箱子走到门口。回头看了我一眼。不是看我的脸——是看我身后的镜子。她看着镜子里自己的背影。看了两秒。然后走了。,DressingRoom,Coming_Dangerous,,,
10510604,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510605,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510606,hide,hide,hide,hide,hide,走廊里她的脚步声越来越远。化妆间里只剩下荧光灯的嗡嗡声。那种声音很细，很稳定，像一只虫子被关在灯管里。空气里残留着酒精胶水和定妆喷雾的味道。还有更淡的——春奈真脸时用的那款卸妆水的味道。柑橘系的，很淡，但很确定。像有人在这里剥过一个橘子，然后走了，橘皮的油还留在空气里。,Corridor,Coming_Dangerous,,,
10510607,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10510608,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10510609,hide,hide,hide,hide,hide,我走到她刚才坐的位置。坐下来。椅子还有一点温热。镜子上她用手指画的那道线还在——灰上的一条细线，从左到右。线的一端是她刚才放的卸妆棉，另一端是她忘了带走的一支口红。不是仿妆用的。是真脸用的。颜色很淡——几乎是透明的粉色。大概是她唯一一支给自己买的口红。,Corridor,Coming_Dangerous,,,
10510610,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10510611,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10510612,hide,hide,hide,hide,hide,"我抬头看镜子。镜子里是我自己的脸。不是仿妆。是真脸。但在这间化妆间里——在八张面具和荧光灯的包围中——真脸和仿妆的区别忽然变得模糊了。我在这间俱乐部里待了五十多天。每天戴着一张叫""黑羽哲也""的面具。这个面具的边缘在哪里——我已经不太确定了。脸颊上有没有胶水的痕迹——也看不清楚了。",DressingRoom,Coming_Dangerous,,,
10510613,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510614,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10510615,hide,hide,hide,hide,hide,我把春奈的那支口红拿起来。在手里转了一下。口红的外壳是塑料的，很轻。比仿妆用的所有东西都轻。然后把它放回原位——镜子前面，那道灰线的端点。荧光灯又嗡了一下。镜子里的我看着镜子外的我。两个人都没有表情。两张脸一模一样。但其中一张是仿妆。我已经分不清是哪一张了。,DressingRoom,Coming_Dangerous,,,
10510616,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
