ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10250701,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250702,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250703,hide,hide,hide,hide,hide,凌晨零点。手机震动。不是电话。是消息。发件人：雪代。内容很短，只有三行。,RestRoom,Silent_Night,,,
10250704,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250705,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,消息文字
10250706,hide,hide,hide,hide,hide,黑羽。明天开始。你以代理经理身份处理店内全部事务。人事调动、客人投诉、财务签字——全部授权给你。我周四回来验收。不要让我失望。,RestRoom,Silent_Night,,,
10250707,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250708,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10250709,hide,hide,hide,hide,hide,我把消息读了三遍。第一遍——确认自己没有看错。第二遍——确认她不是发错了。第三遍——确认这件事是真的。办公室里的暖气突然变得很响。不是变响了。是安静得太厉害，把所有原本被忽略的声音都推到了耳朵前面。,Manager_Office,Silent_Night,,,
10250710,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250711,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250712,hide,hide,hide,hide,hide,☆☆☆ BE12「越权」触发窗口开启 ☆☆☆,Manager_Office,Silent_Night,,,
10250713,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10250714,hide,hide,hide,hide,hide,"代理经理。这几个字在手机屏幕上亮着。不是邀请。是任命。没有商量。没有""你愿意吗""。她把店交给我。把人事、财务、钥匙——全部。不是信任。信任不会用""验收""这个词。是测试。她把一只狐狸放进鸡舍里，想看看狐狸会做什么。会保护鸡。还是吃鸡。还是会做一件她没猜到的事。",Manager_Office,Silent_Night,,,
10250715,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
