ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550101,hide,hide,hide,hide,hide,Day 55：备战前夕 — END-A 路线,Club_away,Mixed_Emotion,,,
10550201,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10550202,hide,hide,hide,hide,hide,[事件链],Club_away,Mixed_Emotion,,,
10550203,hide,hide,hide,hide,hide,清晨  #2201  最后的拉面      育子主动请我吃拉面·她点了两个溏心蛋（雏鹃姬最终）,RamenShop,Mixed_Emotion,,,
10550204,hide,hide,hide,hide,hide,下午  #2202  证据整理        把所有文件编码·春奈送来村上秘书的面具,RamenShop,Mixed_Emotion,,,
10550205,hide,hide,hide,hide,hide,"傍晚  #2203  景子的便当      她做了便当给我·""明天之后——小澪想见你""",RamenShop,Mixed_Emotion,,,
10550206,hide,hide,hide,hide,hide,"深夜  #2204  茶室最后一夜    雪代在茶室等我·""明天。你准备好了吗""",RamenShop,Mixed_Emotion,,,
10550207,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550301,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550302,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550303,hide,hide,hide,hide,hide,早上六点半。拉面店刚开门。暖帘还没挂出来，但玻璃门上的蒸汽已经糊了一层。师傅在柜台后面熬汤。骨头汤的味道从门缝里渗出来——猪骨、鸡架、昆布，熬了至少六个小时，已经分不清谁是谁。那种浓白的香气把整条街都罩住了。,RamenShop,Mixed_Emotion,,,
10550304,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550305,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550306,hide,hide,hide,hide,hide,我站在门口。没有马上进去。育子已经到了。她坐在靠窗的位置。不是以前那个——以前她只坐三分之一椅子。今天她坐了整张椅子。背靠着椅背。书包放在旁边，不是抱在胸前。她的头发扎起来了，绿色缎带系得很正。她看到我，抬手。不是挥手——是把手举起来，停了一下，然后放下。像一个信号。,RamenShop,Mixed_Emotion,,,
10550307,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550308,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
