ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10340701,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340702,hide,hide,hide,hide,hide,,Apartment,Slow_Lure,,,
10340703,hide,hide,hide,hide,hide,凌晨一点半。走廊里只剩下安全出口的绿色指示灯。我在吧台后面整理酒水单，听到VIP室的门开了。先出来的是一个穿深色西装的男人。五十多岁，头发向后梳得一丝不苟。西装料子很好，但不是新的——袖口磨出了很薄的亮边。他走路时右手不动，左手的食指和中指之间夹着一根还没点的烟。,Corridor,Silent_Night,,,
10340704,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340705,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340706,hide,hide,hide,hide,hide,他后面跟着谷川景子。她的妆容还在，头发也整齐，但整个人像是被抽掉了什么东西——不是害怕，是一种被压扁之后的平静。她帮他提着公文包。黑色的，很旧，边角磨白了。她把公文包放在前台，双手交叠在身前。手指在发抖。非常微小的抖——只有一直在看的人才会发现。,Club_lobby,Silent_Night,,,
10340707,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340708,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340709,hide,hide,hide,hide,hide,那个男人在门口停住。回头看了景子一眼。目光从她的脸移到她的手上，然后定格在她的眼睛上。他笑了一下。不是客人的笑。是那种在确认什么归自己所有之后的笑。,Club_lobby,Silent_Night,,,
10340710,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340711,黑田光成,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340712,hide,hide,hide,hide,hide,景子——我下周三还来。把上次说的那件事考虑清楚。,Club_lobby,Silent_Night,,,
10340713,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340714,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340715,hide,hide,hide,hide,hide,"他说""那件事""的时候，语调没有任何起伏。像在说""下次带同一种酒""。然后他推门走了。风铃没响——前门的风铃下午被客人碰掉了，还没挂回去。门在身后合上。安静。很轻。但景子的肩膀在门合上的瞬间塌了下去。",Club_lobby,Silent_Night,,,
10340716,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340717,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340718,hide,hide,hide,hide,hide,……,Club_lobby,Silent_Night,,,
10340719,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340720,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10340721,hide,hide,hide,hide,hide,她没有说话。只是站在那里，双手还交叠在身前。指甲掐进了手背。我走过去，把吧台上的那杯水推到她面前。她没接。只是看着玻璃杯里的水纹慢慢平静。,Club_lobby,Unreal_Memory,,,
10340722,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340723,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340724,hide,hide,hide,hide,hide,……什么人。,Club_lobby,Unreal_Memory,,,
10340725,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340726,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340727,hide,hide,hide,hide,hide,黑田光成。府议会的。来俱乐部大概半年了。以前不找我。最近——三次了。,Club_lobby,Unreal_Memory,,,
10340728,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340729,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340730,hide,hide,hide,hide,hide,"她把""三次""说得很轻。但手背上的指甲印越来越深。我把她的手拉开。手背上已经有了四个月牙形的红印。她用另一只手盖住，像在盖一件不能被人看到的东西。",Club_lobby,Unreal_Memory,,,
10340731,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340732,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340733,hide,hide,hide,hide,hide,"他问我女儿的事。小澪。知道她的名字。知道她在哪个学校。知道她上几年级。他说——""十四岁是个好年纪""。",Club_lobby,Unreal_Memory,,,
10340734,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340735,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340736,hide,hide,hide,hide,hide,走廊里的冰箱压缩机嗡了一声。很响。像是整个俱乐部都抖了一下。,Corridor,Unreal_Memory,,,
10340737,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340738,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340739,hide,hide,hide,hide,hide,他不是来调查的。不是来威胁的。他是来——预订的。他说他喜欢母女。说这在某些圈子里很平常。说只要我愿意，他可以付三倍。不是俱乐部的钱。是他个人的。不走账。,Corridor,Unreal_Memory,,,
10340740,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340741,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340742,hide,hide,hide,hide,hide,她抬头看我。眼睛是干的。但干的比湿的更难——湿的至少说明还有东西在往外流。干的说明里面已经满了，满到流不出来。,Corridor,Unreal_Memory,,,
10340743,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340744,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340745,hide,hide,hide,hide,hide,我拒绝了。三次。每次都是。他说他不会逼我。但他下周三还来。他说那句话的时候在笑。不是威胁的笑。是那种知道猎物跑不掉的笑。因为他不是在威胁我——他是在等。等着我欠的债、小澪的学费、下个月的房租——等着这些东西替他说服我。,Corridor,Unreal_Memory,,,
10340746,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340747,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340748,hide,hide,hide,hide,hide,……雪代知道吗。,Corridor,Unreal_Memory,,,
10340749,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340750,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340751,hide,hide,hide,hide,hide,我没说。因为说了也没用。黑田不是普通的客人。他是俱乐部政治保护伞的一部分。村上道也的竞选经费有一半是从他这里走的。雪代动不了他。没有人动得了他。他是那种——你想动他之前，需要先想好自己能不能承受代价的人。,Corridor,Unreal_Memory,,,
10340752,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340753,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340754,hide,hide,hide,hide,hide,走廊尽头有人走过。木屐声——雪代。她大概刚收拾完茶室，正往办公室走。景子把手从我的手下面抽回去。站直了。肩膀拉平了。指甲印还在，但表情已经恢复了。不是真的恢复——是一层被反复熨烫过的布料，又铺平了。,Corridor,Unreal_Memory,,,
10340755,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340756,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340757,hide,hide,hide,hide,hide,别告诉雪代。也别告诉任何人。我还能撑一次。他下周三来——我再拒绝一次。如果他还来——我不知道了。,Corridor,Unreal_Memory,,,
10340758,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340759,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10340760,hide,hide,hide,hide,hide,她拿起那个公文包。不是她的——是黑田的。黑田走的时候没拿。她看着那个包，脸上的表情在零点几秒内变了好几次。然后把包放在前台后面的柜子里。关上柜门。咔哒。,Club_lobby,Unreal_Memory,,,
10340761,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340762,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10340763,hide,hide,hide,hide,hide,"他把包留在这里。故意的。这样他下次来就有理由——""我来拿我的公文包""。",Club_lobby,Unreal_Memory,,,
10340764,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
