ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590501,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10590502,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10590503,hide,hide,hide,hide,hide,傍晚六点。葵坐在休息室的角落。面前放着两盘磁带。和中间的空位。她已经不再排列它们了。只是看着。眼镜后面的眼睛很平静。但她的手指——在桌上画着看不见的圈。从左到右。从右到左。不停止。,RestRoom,Mixed_Emotion,,,
10590504,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590505,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590506,hide,hide,hide,hide,hide,空气里有酒精的味道。还有她身上开衫毛衣的棉布味。袖口的起球已经变成了一个小球。她大概揪过——但没揪掉。还有更底层的——旧书和纸的味道。图书馆的味道。还有更淡的——第三盘磁带盒上的纸标签。标签贴在桌面上。上面写着「如月冬雪·最后一周」。标签的边角翘起来了。,RestRoom,Mixed_Emotion,,,
10590507,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590508,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590509,hide,hide,hide,hide,hide,第三盘。还是没找到。,RestRoom,Mixed_Emotion,,,
10590510,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590511,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590512,hide,hide,hide,hide,hide,她说这句话的时候声音很平。和平时一样。但这次——她停了一下。然后又说了一遍。,RestRoom,Mixed_Emotion,,,
10590513,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590514,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590515,hide,hide,hide,hide,hide,第三盘。找不到了。,RestRoom,Mixed_Emotion,,,
10590516,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590517,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590518,hide,hide,hide,hide,hide,第二遍比第一遍轻。不是故意轻——是轻到压不住了。她用手指把标签的翘角按下去。按了一会儿。然后松开。标签又翘起来了。,RestRoom,Mixed_Emotion,,,
10590519,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590520,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590521,hide,hide,hide,hide,hide,三年前。雪鹤姐把磁带交给一个人。那个人保存了三年。交给我。在我手里——不到一周。丢了。不是被偷的。不是被抢的。是——丢了。我星野葵——京都医科大学年级第一——把一盘磁带弄丢了。,RestRoom,Mixed_Emotion,,,
10590522,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590523,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590524,hide,hide,hide,hide,hide,她抬起头。看着我。眼镜后面的眼睛还是平静的。但眼角的皮肤——在跳。很细微的。不是哭——是克制。一个人用三年的训练克制自己的手——不让它握成拳。,RestRoom,Mixed_Emotion,,,
10590525,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590526,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590527,hide,hide,hide,hide,hide,前两盘。够了。毒品交易。幕后操纵。够让村上进去。但第三盘——是雪鹤姐的声音。不是证据。是遗物。我丢的不是证据。是遗物。是她在世界上最后的几句话。,RestRoom,Mixed_Emotion,,,
10590528,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590529,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590530,hide,hide,hide,hide,hide,她停了一下。把眼镜摘下来。放在桌上。镜片上有灰尘。她没有擦。,RestRoom,Mixed_Emotion,,,
10590531,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590532,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10590533,hide,hide,hide,hide,hide,对不起。不是对你说。是对她。,RestRoom,Mixed_Emotion,,,
10590534,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
