ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10350301,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350302,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350303,hide,hide,hide,hide,hide,翻盖机在桌上震了三下。屏幕亮起来的蓝光把天花板映出一小片。来电显示：莉香。时间是早上六点十二分。外面的天刚亮了一半。,RestRoom,Mixed_Emotion,,,
10350304,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350305,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350306,hide,hide,hide,hide,hide,我接起来。她的声音和平时不一样。不是那种带笑的声音。是压着火的。像烧开的水顶着壶盖。,RestRoom,Mixed_Emotion,,,
10350307,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350308,小林莉香,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350309,hide,hide,hide,hide,hide,你在查什么。,RestRoom,Mixed_Emotion,,,
10350310,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350311,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350312,hide,hide,hide,hide,hide,不是问句。和昨天星野葵的语气一模一样。我突然觉得这两个女人如果见面，可能会成为朋友。,RestRoom,Mixed_Emotion,,,
10350313,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350314,小林莉香,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350315,hide,hide,hide,hide,hide,你不说话我就挂。挂了我就买机票。明天到大阪。,RestRoom,Mixed_Emotion,,,
10350316,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350317,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350318,hide,hide,hide,hide,hide,窗外的烧麦茶味道又飘进来。阿婆每天都这个时间煮茶。准时得像时钟。我深吸了一口气。空气里有茶香，有纸张的旧味，还有某种说不上来的闷——大概是快下雨了。,RestRoom,Mixed_Emotion,,,
10350319,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350320,小林莉香,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350321,hide,hide,hide,hide,hide,"你以前不这样的。以前你有事会跟我说。现在你每次打电话都在说""没事""。",RestRoom,Mixed_Emotion,,,
10350322,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350323,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350324,hide,hide,hide,hide,hide,她停了一下。电话里能听到她的呼吸声。还有很远的背景音——大概是东京早上的电车。,RestRoom,Mixed_Emotion,,,
10350325,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350326,小林莉香,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10350327,hide,hide,hide,hide,hide,我知道你在做危险的事。我不问你具体是什么。但是——,RestRoom,Coming_Dangerous,,,
10350328,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350329,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350330,hide,hide,hide,hide,hide,她的声音突然轻了。不是消了火。是火被某种更大的东西盖住了。,RestRoom,Coming_Dangerous,,,
10350331,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350332,小林莉香,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350333,hide,hide,hide,hide,hide,你至少要让我知道你还好。每天。哪怕只有两个字。,RestRoom,Coming_Dangerous,,,
10350334,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350335,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350336,hide,hide,hide,hide,hide,……知道了。,RestRoom,Coming_Dangerous,,,
10350337,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350338,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350339,hide,hide,hide,hide,hide,她在那边沉默了很久。然后叹了一口气。不是生气的叹气。是某种更复杂的东西。,RestRoom,Coming_Dangerous,,,
10350340,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350341,小林莉香,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350342,hide,hide,hide,hide,hide,我把机票留着。不退。你记住。,RestRoom,Coming_Dangerous,,,
10350343,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350344,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10350345,hide,hide,hide,hide,hide,电话挂断了。翻盖机的屏幕暗下去。天花板上的蓝光消失了。我坐在那里看着窗外。天已经全亮了。阿婆的茶香还在。我拿起手机，打了一行字。发送。就两个字——「还好」。,RestRoom,Coming_Dangerous,,,
10350346,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
