ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10370601,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370602,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10370603,hide,hide,hide,hide,hide,美咲蔷薇的房间里有皮革的味道。不只是道具——是某种更深层的，渗透进家具和布料里的气味。像旧书和鞣制的皮革混在一起，被时间压缩成了一种固定的存在。她把那本黑皮书放在桌上。书的封面已经磨出了底色。边角卷起来，用透明胶带粘过。,RestRoom,Mystery_Box,,,
10370604,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370605,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370606,hide,hide,hide,hide,hide,这本东西我记了五年。,RestRoom,Mystery_Box,,,
10370607,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370608,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370609,hide,hide,hide,hide,hide,她翻开最后一章。纸很薄，能透出背面写的字。字迹很小，但非常整齐。不是日语——是某种密码。她自己编的。每一页旁边都用铅笔标了很小的数字。,RestRoom,Mystery_Box,,,
10370610,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370611,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370612,hide,hide,hide,hide,hide,客户的秘密。大部分只是丑闻。但其中有一些——是罪证。,RestRoom,Mystery_Box,,,
10370613,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370614,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370615,hide,hide,hide,hide,hide,她翻到某一页。停住。手指指着一段文字。她的指甲涂了深紫色，在灯光下几乎接近黑色。,RestRoom,Mystery_Box,,,
10370616,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370617,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370618,hide,hide,hide,hide,hide,这个人和你们的毒品网络有直接关联。他用我的服务，同时用毒品付钱。他以为我不会注意。,RestRoom,Mystery_Box,,,
10370619,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370620,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370621,hide,hide,hide,hide,hide,她翻到另一页。又指了一段。,RestRoom,Mystery_Box,,,
10370622,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370623,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370624,hide,hide,hide,hide,hide,这个人是中转。这个人是供货方。这个人是洗钱渠道。五年的记录——每一个节点都在这里。,RestRoom,Mystery_Box,,,
10370625,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370626,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370627,hide,hide,hide,hide,hide,她把黑皮书合上。用手按住封面。她的手很白，指甲很黑。像钢琴的黑白键。,RestRoom,Mystery_Box,,,
10370628,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370629,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370630,hide,hide,hide,hide,hide,这是结束这一切需要的全部。证据链是完整的。加上星野葵的毒理分析——够了。,RestRoom,Mystery_Box,,,
10370631,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370632,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370633,hide,hide,hide,hide,hide,她把黑皮书推向我。手指离开封面的时候，在皮革上留下了几个很淡的指印。皮革的味道在灯光下似乎更浓了。,RestRoom,Mystery_Box,,,
10370634,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370635,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370636,hide,hide,hide,hide,hide,我不是免费给的。条件是——雪代不能有事。,RestRoom,Mystery_Box,,,
10370637,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370638,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370639,hide,hide,hide,hide,hide,"她看着我。眼神很稳。不是那种SM女王的""你给我听话""的眼神。是另一种——是一个人为了保护另一个人才会有的眼神。",RestRoom,Mystery_Box,,,
10370640,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370641,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10370642,hide,hide,hide,hide,hide,我欠她的。欠了很多。不是钱。,RestRoom,Mystery_Box,,,
10370643,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
