ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10230401,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230402,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230403,hide,hide,hide,hide,hide,下午三点。化妆间里有粉底液和发胶混合的气味。很甜，很呛，吸进鼻子里会有一点点刺痛。镜子前坐着一个人——背影是小野南梨。灰色的开衫，肩膀微微内收，头发在脑后扎了一个松散的结。她正在描眉毛，手很轻，像是对自己的脸不太熟悉。但那个人不是南梨。,DressingRoom,Mixed_Emotion,,,
10230404,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10230405,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10230406,hide,hide,hide,hide,hide,镜子里映出她的脸——南梨的脸。但仔细看，眉峰的位置高了半毫米，嘴唇的轮廓画得比南梨饱满。最明显的是眼睛——南梨的眼睛是柔和的，看人的时候有一层薄雾。这个人的眼睛——在柔和的表面下，是另一种东西。很亮。很警觉。像狐狸在雪地里听到了什么。,DressingRoom,Mixed_Emotion,,,
10230407,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10230408,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,从镜子里看到我
10230409,hide,hide,hide,hide,hide,啊——被发现了。,DressingRoom,Mixed_Emotion,,,
10230410,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10230411,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10230412,hide,hide,hide,hide,hide,她转过身来。转的动作也是南梨的方式——先是肩膀，然后是腰，最后是膝盖。模仿得几乎完美。但她转身之后笑了一下。那个笑不是南梨的。南梨不会这样笑——嘴唇抿着，嘴角往上勾一点点，像分享一个很小的秘密。,DressingRoom,Mystery_Box,,,
10230413,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230414,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230415,hide,hide,hide,hide,hide,……春奈。,DressingRoom,Mystery_Box,,,
10230416,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230417,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,用手在脸前面抹了一下，像是揭下一层看不见的面具
10230418,hide,hide,hide,hide,hide,不愧是经理。怎么看出来的。,DressingRoom,Mystery_Box,,,
10230419,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230420,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230421,hide,hide,hide,hide,hide,……笑。南梨不这样笑。,DressingRoom,Mystery_Box,,,
10230422,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230423,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,歪头
10230424,hide,hide,hide,hide,hide,厉害。笑是最难模仿的。因为笑不是肌肉动作——是心情。心情不对，肌肉就错。,DressingRoom,Mystery_Box,,,
10230425,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230426,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230427,hide,hide,hide,hide,hide,她站起来，走到化妆镜旁边。镜子周围贴了一圈小灯泡，光从四面八方打在她脸上。她的脸在强光下有一种不真实感——皮肤上没有瑕疵，但也没有纹理。像是用陶瓷做的。她每天戴不同的脸。这张脸下面的那张——没有人见过。,DressingRoom,Mystery_Box,,,
10230428,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230429,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230430,hide,hide,hide,hide,hide,"我在练习。不是针对南梨——是练习""普通人""。普通人最难模仿。因为普通人没有特征。没有特征就没有抓手。没有抓手就——容易摔。",DressingRoom,Mystery_Box,,,
10230431,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230432,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230433,hide,hide,hide,hide,hide,化妆间的门开了。开门的声音很轻，但春奈的身体僵了一下。很小。只有肩膀往上提了不到一厘米。门口站着南梨。真正的南梨。她手里拿着一个纸袋，里面装着新买的毛线。她看着春奈——看着那个和自己一模一样的背影。然后看着镜子里的那张脸。自己的脸。但不是自己。,DressingRoom,Mystery_Box,,,
10230434,hide,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,
10230435,早莺姬·小野南梨,hide,hide,hide,hide,,DressingRoom,Mystery_Box,,,声音很轻
10230436,hide,hide,hide,hide,hide,……春奈。,DressingRoom,Mystery_Box,,,
