ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600401,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600402,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600403,hide,hide,hide,hide,hide,七点。宴会厅里的吊灯亮到了最满。长桌上的食物开始被端走，换上了新的酒杯。香槟塔——三层的香槟塔被推了进来。不是侍者推的。是育子。,Corridor,Silent_Night,,,
10600404,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600405,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600406,hide,hide,hide,hide,hide,育子推着推车。她穿了一件新的连衣裙——不是俱乐部的制服。是她自己买的。浅蓝色的。领口别了一枚很小的胸针——不是雏鸟。是蒲公英。她推车的动作不快，但很稳。推车到了长桌旁边。她停下来。抬起头。穿过整个宴会厅——穿过那些西装、雪茄、古龙水——看了我一眼。很短。然后她低下头。开始把香槟塔一层一层地搬上桌。,Corridor,Silent_Night,,,
10600407,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600408,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600409,hide,hide,hide,hide,hide,第五条线在七点零三分启动。育子的手在每一个香槟杯的杯沿上滑过。不是擦——是抹。她的手指上涂了一层很薄的东西。不是护手霜。是肌肉松弛剂。无色无味。星野葵配的。育子把每一个杯子都抹了一遍。最下面那层。中间那层。然后——,Corridor,Silent_Night,,,
10600410,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600411,hide,hide,hide,hide,hide,"一个保镖回头了。不是怀疑。是碰巧。他大概想看看推车的是谁。他的目光和育子的手指在同一个杯沿上相遇。育子的手悬在杯沿上方——离玻璃不到一厘米。她的手指停在那里。没有缩。没有抖。只是停了。保镖看了她一秒。育子低下头——不是害怕，是害羞。那种""被看到了""的害羞。保镖笑了一下，转回去了。大概在想——这个女孩还挺可爱。",Corridor,Silent_Night,,,
10600412,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600413,hide,hide,hide,hide,hide,育子把最后一层抹完。手指在杯沿上多停了一秒。然后她直起腰。把推车推走。倒计时开始。四十五分钟。,Corridor,Silent_Night,,,
10600414,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600415,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600416,hide,hide,hide,hide,hide,第六条线在七点零八分启动。紫坐在宴会厅的角落里。她没有穿平时那些亮闪闪的衣服——穿了一件深紫色的礼服。她的塔罗牌放在面前的桌上。一个村上的手下走过来——不是来找她占卜的，是来检查的。他还没开口，紫已经把第一张牌翻开了。正位的太阳。她抬头看他。笑了一下——不是平时那种涩谷式的笑。是某种更神秘的。,Corridor,Silent_Night,,,
10600417,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600418,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600419,hide,hide,hide,hide,hide,今天的第一次占卜。大吉。你确定不听？,Corridor,Silent_Night,,,
10600420,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600421,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600422,hide,hide,hide,hide,hide,那个手下的眼神变了。不是信——是好奇。他坐下来。紫翻开第二张。正位的世界。第三张。正位的星。她看着牌。然后看着那个手下。,Corridor,Silent_Night,,,
10600423,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600424,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600425,hide,hide,hide,hide,hide,顺利。今晚的一切——顺利。,Corridor,Silent_Night,,,
10600426,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600427,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600428,hide,hide,hide,hide,hide,"她说""顺利""的时候，声音很轻。但那个手下听到了。他站起来，走到村上旁边，低声说了一句。村上看了紫一眼。紫朝他笑了一下。然后她低下头。把牌收起来。她的手指在牌面上停了一下——只有她自己知道。今天第一次占卜，她问的不是那个手下。她问的是所有人。牌告诉她：顺利。她把牌装进铁皮盒子。盒子上印着涩谷109的限定版花纹。紫色的。金色的星星。",Corridor,Silent_Night,,,
10600429,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600430,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600431,hide,hide,hide,hide,hide,第七条线在七点十五分启动。诡鹀姬·春奈在洗手间里。她面前是村上的私人秘书——一个戴着金边眼镜的中年男人，刚从洗手间出来。春奈从他身边走过。她的脸不是她自己的——是另一个人的。一个村上认识的人。一个他可以信任的人。她在经过秘书身边的时候，撞了他一下。秘书皱眉。春奈低头道歉——用那个人的声音。秘书挥了挥手，走了。他没有发现。他手里的配方文件已经被换成了白纸。春奈走进洗手间。把那张配方折好。放进自己的内袋。然后她对着镜子，把面具取下来。下面是她的脸。没有化妆。她看着镜子里的自己。眨了一下眼睛。然后重新戴上面具。,Corridor,Silent_Night,,,
10600432,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
