ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10540501,hide,hide,hide,hide,hide,,Manager_Office,Warm_Encounter,,,
10540502,hide,hide,hide,hide,hide,,Manager_Office,Warm_Encounter,,,
10540503,hide,hide,hide,hide,hide,台灯的光圈在桌上缩小了——灯泡老了，光在暗下去。我把那张纸重新拿起来。这一次不是在脑子里放名字。是真的在写。铅笔在纸上划过，发出很细的沙沙声。每一个名字旁边写一个数字。好感度。从第一天到现在。每一个好感事件。每一次对话。每一个选择。累积出来的数字。不是冰冷的——是温的。是五十多天的重量。,Manager_Office,Coming_Dangerous,,,
10540504,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10540505,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10540506,hide,hide,hide,hide,hide,空气里有一种很奇怪的安静。不是没有声音——窗外的电车偶尔经过，远处有汽车喇叭，楼下有人在收信箱。但事务所里面的安静是另一种——是数字在纸上落定之后的安静。像一个赌徒在最后一局牌亮出来之前，看着自己的底牌。,Manager_Office,Silent_Night,,,
10540507,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540508,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540509,hide,hide,hide,hide,hide,我写完了。把铅笔放下。看着纸上的十二个名字和十二个数字。,Manager_Office,Silent_Night,,,
10540510,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540511,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540512,hide,hide,hide,hide,hide,"规则很清楚。低于六的——明天走。不是赶走。是送走。安全撤离。在晚宴之前离开大阪。离开这个漩涡。她们不应该被卷进来——不是因为她们不够强，是因为她们值得比""卷进来""更好的结局。",Manager_Office,Silent_Night,,,
10540513,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540514,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540515,hide,hide,hide,hide,hide,但如果超过四个人低于六——BE18「崩盘」。人数不够。战力不够。支撑不起那天的布局。整个计划会塌。像一个房子少了一半的柱子。撑不住。不能撑。,Manager_Office,Silent_Night,,,
10540516,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540517,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540518,hide,hide,hide,hide,hide,然后看雪代。如果她的数字低于八——END-A。法理的正义。她不会站到我这边。她会在自己的椅子上，做自己的选择。那个选择可能和我不同。和所有人都不同。但那就是雪代——她不会为了任何人改变自己的边。,Manager_Office,Silent_Night,,,
10540519,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540520,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540521,hide,hide,hide,hide,hide,如果雪代够高——八以上——但青鹭或朱雀低于八——END-B。堕落的正义。少了一个关键的人。青鹭的药物证据，朱雀的Interpol信号——少了一个，整个证据链就不完整。法理走不通，就只能走别的路。,Manager_Office,Silent_Night,,,
10540522,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540523,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540524,hide,hide,hide,hide,hide,如果雪代到十。而且至少七个人到八——END-C。真结局。十二飞鸟真正地飞起来。不是散开。是聚在一起。像一把伞。十二根伞骨撑起一块布。挡住即将落下来的暴雨。,Manager_Office,Silent_Night,,,
10540525,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540526,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540527,hide,hide,hide,hide,hide,我把纸折起来。折成很小的一块。放进衬衫口袋里。口袋里还有别的东西——一把黄铜钥匙。一颗白色纽扣。一个空信封。这些东西碰在一起，发出很轻的声音。金属碰塑料。纸碰纸。,Manager_Office,Silent_Night,,,
10540528,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540529,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540530,hide,hide,hide,hide,hide,台灯闪了一下。然后灭了。灯泡终于烧了。事务所沉入完全的黑暗。但黑暗里有一股烧焦灰尘的味道——和台风后灯重新亮起来时一样的味道。我把手按在胸口。纸在口袋里。名字在纸上。数字在名字旁边。这些数字决定了明天——决定了谁会走，谁会留，谁会坐在哪把椅子上。,Manager_Office,Silent_Night,,,
10540531,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540532,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10540533,hide,hide,hide,hide,hide,明天是最后的夜。后天——是晚宴。,Manager_Office,Silent_Night,,,
10540534,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
