ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600501,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600502,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600503,hide,hide,hide,hide,hide,枪响了。不是一声——是三声。第一声是那个心腹开的枪。子弹打在我的左肩。不是心脏——他瞄准的是心脏，但在扣扳机的一瞬间，有人撞了他。是夏实。夏实从侧面扑过来，撞在他的手臂上。子弹偏了。打在我左肩。锁骨下面。血喷出来的时候是热的。溅在我的脖子上。我的左臂失去知觉。不是疼——是麻。然后疼才来。疼是慢的。疼跟在麻后面，像一辆迟到的列车。,Club_lobby,Unreal_Memory,,,
10600504,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600505,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600506,hide,hide,hide,hide,hide,第二声是Linda的枪。她从裙摆下拔出枪。对着那个高的心腹。不是打人——是打枪。子弹击中他手里的枪。枪从手里飞出去。在地板上滑出很远。第三声——是外面Interpol突入的信号。招牌灯闪了三次。门被撞开。八个便衣冲进来。英语和日语交织的喊声。,Club_lobby,Unreal_Memory,,,
10600507,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600508,hide,hide,hide,hide,hide,,Club_lobby,Unreal_Memory,,,
10600509,hide,hide,hide,hide,hide,大厅炸开了。客人尖叫。桌子被撞翻。景子抱着育子蹲在墙角。彩和瞳把两个客人按在地上——柔术。蔷薇站在角落，把黑皮书举在胸前，像是盾牌。紫站在大厅中央，占卜牌撒了一地——她没蹲下捡。她站在原地，看着地上的牌。葵走向音响系统。把第一盘磁带推进卡槽。按下播放键。,Club_lobby,Mystery_Box,,,
10600510,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10600511,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10600512,hide,hide,hide,hide,hide,录音带开始播放。村上道也的声音从音响里炸出来——「凤凰账户的资金明天转。让制药公司那边准备好。」然后第二段——「不是百分之十五。是百分之二十。」然后第三段——雪鹤姬的声音。不是遗言。是她在电话里的声音。很平静。但每一个字都在说——「我知道你在做什么。村上先生。」,Club_lobby,Mixed_Emotion,,,
10600513,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600514,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600515,hide,hide,hide,hide,hide,村上道也的脸变了。不是愤怒——是空白。一个人被剥掉所有伪装之后的空白。他站在原地。四周是Interpol的便衣。音响里是自己的声音。脚下是被撞翻的桌子和碎裂的酒杯。他的两个心腹都被按在地上。然后他看着雪代。,Club_lobby,Mixed_Emotion,,,
10600516,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600517,村上道也,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600518,hide,hide,hide,hide,hide,你——,Club_lobby,Mixed_Emotion,,,
10600519,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600520,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600521,hide,hide,hide,hide,hide,他没有说完。雪代看着他。不是胜利者的眼神。不是背叛者的眼神。是某种更冷的东西——看虫子一样的眼神。但她没有说话。她只是转身。走向吧台。,Club_lobby,Mixed_Emotion,,,
10600522,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600523,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600524,hide,hide,hide,hide,hide,我躺在地上。左肩的血还在流。有人在按着我的伤口。是育子。她蹲在我旁边，用手按着我的肩膀。手很小。但压得很用力。她的脸上有血——不是她的，是我的。她的眼睛里全是泪。但她的嘴闭着。没有哭出声。只是按着。压着。,Club_lobby,Mixed_Emotion,,,
10600525,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600526,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600527,hide,hide,hide,hide,hide,……经理。经理。你说了你不会有事的。,Club_lobby,Mixed_Emotion,,,
10600528,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600529,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600530,hide,hide,hide,hide,hide,我想说点什么。但嘴唇很重。舌头很干。嘴里有血腥味——不是伤口流的，是咬到了自己的舌头。大概是中弹的时候咬的。我伸手——右手——从口袋里掏出那把黄铜钥匙。放在育子手里。钥匙上沾了血。温的。,Club_lobby,Mixed_Emotion,,,
10600531,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600532,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600533,hide,hide,hide,hide,hide,……给她。,Club_lobby,Mixed_Emotion,,,
10600534,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600535,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600536,hide,hide,hide,hide,hide,育子看着我。然后看着吧台的方向。雪代站在那里。没有动。育子站起来。手里握着钥匙。往吧台走。,Club_lobby,Mixed_Emotion,,,
10600537,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
