ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120701,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120702,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10120703,hide,hide,hide,hide,hide,凌晨一点十分。我在后巷抽完最后一根烟准备回去。烟是在便利店买的，薄荷味的，很凉。和俱乐部里任何一个人的香水都不一样。,RestRoom,Mixed_Emotion,,,
10120704,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120705,hide,hide,hide,hide,hide,后巷很暗。只有一盏感应灯，被蛾子撞得一闪一闪。旁边是一个堆满空瓶箱的角落。纸箱上有酒渍地图，红色的、黄色的、棕色的。像一张用饮料画成的无用的藏宝图。,RestRoom,Mixed_Emotion,,,
10120706,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120707,hide,hide,hide,hide,hide,我掐灭烟。准备推门进去的时候，听到巷口有皮鞋踩过碎玻璃的声音。很轻。但频率很快。,RestRoom,Mixed_Emotion,,,
10120708,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120709,hide,hide,hide,hide,hide,Linda站在巷口。不是她平时在俱乐部里穿的那件带着红蓝色镶边的白色连衣裙，而是一套深灰色的西装便服——剪裁很利落，和她平时的风格完全不搭。她对面的男人年纪大概四十多。黑色风衣，身形魁梧，发色是非常淡的金白。他们在一个自动贩卖机的灯光死角里。但贩卖机的玻璃能反光——我在那个反光里看到Linda递给他一个很小的东西。黑色的。不大。像一枚U盘。,RestRoom,Mixed_Emotion,,,
10120710,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120711,hide,hide,hide,hide,hide,"换给对方之后，Linda把双手插回口袋。那个中年男人只说了一句——""Good work, agent.""",RestRoom,Mixed_Emotion,,,
10120712,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120713,hide,hide,hide,hide,hide,声音很低。而且他用的是英文。但这几个音节在后巷墙壁之间的窄窄空隙里被反弹了很久。,RestRoom,Mixed_Emotion,,,
10120714,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120715,hide,hide,hide,hide,hide,贩卖机嗡嗡地运作。男人转身离开了。步伐很快，走向街角的黑色轿车。车牌不是日本格式。是欧洲的蓝色条纹。Linda看着他的车尾灯消失在转角。然后转过身——看到了我。,RestRoom,Mixed_Emotion,,,
10120716,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120717,hide,hide,hide,hide,hide,她停住了。没有惊慌。没有解释。蓝色的眼睛在贩卖机的冷光下显得非常明亮。她从小巧的西装口袋里掏出一盒细长的雪茄型香烟，弹出一根，含在嘴里。然后打火。火光在风里闪了三下才稳定下来。,RestRoom,Mixed_Emotion,,,
10120718,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120719,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120720,hide,hide,hide,hide,hide,你看到了。,RestRoom,Mixed_Emotion,,,
10120721,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120722,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120723,hide,hide,hide,hide,hide,……嗯。,RestRoom,Mixed_Emotion,,,
10120724,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120725,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120726,hide,hide,hide,hide,hide,那就好。反正迟早要告诉你。但不是今晚。今晚你只需要知道一件事——我不是你的敌人。明天见了再谈。,RestRoom,Mixed_Emotion,,,
10120727,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120728,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120729,hide,hide,hide,hide,hide,她吐出一口烟。烟圈在蛾子撞来撞去的感应灯下散开。然后把烟掐灭。推开俱乐部的后门。走进去。门在身后很重地关上了。贩卖机的嗡鸣声仍然在后巷里回荡。,RestRoom,Mixed_Emotion,,,
10120730,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120731,hide,hide,hide,hide,hide,我站在那里。巷子里空无一人。地上多了一个烟蒂。烟蒂的过滤嘴上有一小圈淡淡的红色——那是她的唇膏。和俱乐部里的其他所有人的颜色都不一样。,RestRoom,Mixed_Emotion,,,
10120732,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120733,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10120734,hide,hide,hide,hide,hide,"翻盖机。佐藤的简讯——""村上今天来缉毒组调阅了增田的档案。增田已经被定为交通事故，但他还在看。不是复查。是检查有没有遗漏。"" 我把消息删掉。村上。第二次。他离增田越来越近。离我也会越来越近。",RestRoom,Mixed_Emotion,,,
10120735,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
