ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10490301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10490302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10490303,hide,hide,hide,hide,hide,后巷里的自动贩卖机修好了。灯不闪了——稳定的白光，打在柏油路面上形成一个小小的方形光池。贩卖机里的饮料瓶排列整齐，透过玻璃能看到它们花花绿绿的标签。空气里有贩卖机散发出来的微弱的机器热——那种电机运作时才会有的暖烘烘的塑料味。还有更淡的——昨晚的雨残留在地面缝隙里的湿气。,Club_away,Silent_Night,,,
10490304,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10490305,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10490306,hide,hide,hide,hide,hide,"彩站在贩卖机旁边。瞳站在她身后半步的位置。两个人穿着便装——不是俱乐部的演出服。彩穿了一件深绿色的夹克，口袋很多。瞳穿着浅灰色的卫衣，帽子拉起来，只露出半张脸。她们的站姿和平时不一样——不是在俱乐部里那种""欢迎光临""的姿态。是某种更警觉的、准备移动的姿态。",Club_away,Mixed_Emotion,,,
10490307,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490308,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490309,hide,hide,hide,hide,hide,这条路——我和瞳走了一百遍。,Club_away,Mixed_Emotion,,,
10490310,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490311,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490312,hide,hide,hide,hide,hide,她指着后巷的尽头。那里有一道铁栅栏。栅栏外面是一条更窄的巷子——窄到两个人不能并排走。巷子的另一端能看到消防梯的铁架。铁架生了锈，在晨光里呈现一种暗红色。,Club_away,Mixed_Emotion,,,
10490313,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490314,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10490315,hide,hide,hide,hide,hide,从后门出来，右转，走到底，翻过铁栅栏。栅栏不高——一米五。我和瞳都能翻过去。你能翻过去。翻过去之后走窄巷。窄巷里没有灯。但也没有窗户。没有人能看到你。,Club_away,Unreal_Memory,,,
10490316,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490317,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490318,hide,hide,hide,hide,hide,她说话的方式和平时一样——短句。每一句都像是在确认一个事实。不是在描述——是在验证。她走到铁栅栏前，用手推了推。栅栏晃了一下，发出很轻的金属摩擦声。底部的水泥座有点松了。,Club_away,Unreal_Memory,,,
10490319,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490320,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490321,hide,hide,hide,hide,hide,台风之后底座松了。但翻过去没问题。翻的时候——踩左边。左边底座还有半截在水泥里。右边已经全裂了。,Club_away,Unreal_Memory,,,
10490322,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490323,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490324,hide,hide,hide,hide,hide,瞳蹲下来。用手指摸了摸底座的水泥裂缝。然后抬起头，对彩点了点头。彩把瞳拉起来。瞳拍了拍膝盖上的灰。动作很轻。像是在拍一只小动物。,Club_away,Unreal_Memory,,,
10490325,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
