ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10020300,hide,hide,hide,hide,hide,某些红线……不能跨过。为了客人的安全，也为了其他女孩们的安全。,Corridor,Slow_Lure,,,
10020301,hide,hide,hide,hide,hide,对了。,Corridor,Slow_Lure,,,
10020302,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020303,hide,hide,hide,hide,hide,嗯？,Corridor,Slow_Lure,,,
10020304,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020305,hide,hide,hide,hide,hide,神乐坂紫昨天给你占卜了吧？,Corridor,Slow_Lure,,,
10020306,hide,hide,hide,hide,hide,听说是愚者，正位。,Corridor,Slow_Lure,,,
10020307,hide,hide,hide,hide,hide,那孩子的占卜，第一次总是准得可怕。所以……,Corridor,Slow_Lure,,,
10020308,hide,hide,hide,hide,hide,小心脚下，经理先生。,Corridor,Slow_Lure,,,
10020309,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020310,hide,hide,hide,hide,hide,她离开了。空气里留下一丝冷冽的香水味——像是雪松和广藿香。,Corridor,Slow_Lure,,,
10020311,hide,hide,hide,hide,hide,就在此时客人们陆续到来。,Corridor,Slow_Lure,,,
10020312,hide,hide,hide,hide,hide,我能听见走廊里传来的寒暄声、笑声、以及某个房间开始的地下偶像歌手曲目演唱练习。,Corridor,Slow_Lure,,,
10020313,hide,hide,hide,hide,hide,我正在整理酒水单，门又被推开了。,Corridor,Slow_Lure,,,
10020314,hide,hide,hide,hide,hide,这次甚至没敲门。,Corridor,Slow_Lure,,,
10020315,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020316,hide,hide,hide,hide,hide,白鹤姬站在门口。,Corridor,Slow_Lure,,,
10020317,hide,hide,hide,hide,hide,她已经换上了接客的装束：深黑色的留袖，金线绣着展翅的鹤。,Corridor,Slow_Lure,,,
10020318,hide,hide,hide,hide,hide,头发梳得一丝不苟，妆容比昨天更浓，唇色是暗红色的，像凝固的血。,Corridor,Slow_Lure,,,
10020319,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020320,hide,hide,hide,hide,hide,黑羽经理。,Corridor,Slow_Lure,,,
10020321,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020322,hide,hide,hide,hide,hide,她走进来，随手关上门。,Corridor,Slow_Lure,,,
10020323,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020324,hide,hide,hide,hide,hide,看来今天的新面孔都来打过招呼了。,Corridor,Slow_Lure,,,
10020325,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020326,hide,hide,hide,hide,hide,嗯。双雀、黄鹂、夜鸢，她们来过了。,Corridor,Slow_Lure,,,
10020327,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020328,hide,hide,hide,hide,hide,白鹤姬点了点头，然后她从袖中取出一张纸，放在桌上。,Corridor,Slow_Lure,,,
10020329,hide,hide,hide,hide,hide,是今晚的特别预约表。有几个名字被红笔圈了起来。,Corridor,Slow_Lure,,,
10020330,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020331,hide,hide,hide,hide,hide,圈起来的这几个，都是“需要特别注意”的客人。,Corridor,Slow_Lure,,,
10020332,hide,hide,hide,hide,hide,要么特别重要，要么特别麻烦……,Corridor,Slow_Lure,,,
10020333,hide,hide,hide,hide,hide,你得妥当地应付他们。,Corridor,Slow_Lure,,,
10020334,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020335,hide,hide,hide,hide,hide,我会尽力。,Corridor,Slow_Lure,,,
10020336,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020337,hide,hide,hide,hide,hide,不只是尽力。,Corridor,Slow_Lure,,,
10020338,hide,hide,hide,hide,hide,必须要做到完美。,Corridor,Slow_Lure,,,
10020339,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020340,hide,hide,hide,hide,hide,好的，白鹤小姐。,Corridor,Slow_Lure,,,
10020341,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020342,hide,hide,hide,hide,hide,对了，下班后——来我房间一趟。,Corridor,Slow_Lure,,,
10020343,hide,hide,hide,hide,hide,有些事情，需要和你单独谈谈。,Corridor,Slow_Lure,,,
10020344,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020345,hide,hide,hide,hide,hide,说完，她拉开门，消失在了走廊的光影里。,Corridor,Slow_Lure,,,
10020346,hide,hide,hide,hide,hide,门轻轻合上。,Corridor,Slow_Lure,,,
10020347,hide,hide,hide,hide,hide,窗外，大阪的夜晚已经完全降临。霓虹灯的光透过窗帘缝隙渗进来，在榻榻米上投下暧昧的色彩。,Corridor,Slow_Lure,,,
10020348,hide,hide,hide,hide,hide,走廊里传来女孩们的笑声，客人们的谈话声，酒杯碰撞的声音。,Corridor,Slow_Lure,,,
10020349,hide,hide,hide,hide,hide,我站在原地，看着桌上那张被红笔圈满的预约表，知道自己今晚的工作开始了……,Corridor,Slow_Lure,,,
10020350,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020351,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020301,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10020302,hide,hide,hide,hide,hide,凌晨一点三十八分，最后的客人已经被送走了。,Corridor,Silent_Night,,,
10020303,hide,hide,hide,hide,hide,按照白鹤姬的要求，我来到了房门前。,Club_door,Silent_Night,,,
10020304,hide,hide,hide,hide,hide,门内渗出的香气比昨夜更稠——白梅的冷冽几乎被完全掩盖，取而代之的是某种熟透水果般的甜媚，混着一缕麝香的暖意。,Club_door,Slow_Lure,,,
10020305,hide,hide,hide,hide,hide,这种味道，丝丝缕缕缠绕上来，贴着皮肤往毛孔里钻。,Club_door,Slow_Lure,,,
10020306,hide,hide,hide,hide,hide,我还没敲门，门内便传来了声音。,Club_door,Slow_Lure,,,
10020307,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Slow_Lure,,,
10020308,hide,hide,hide,hide,hide,进来吧……门没有锁。,Club_door,Slow_Lure,,,
10020309,hide,hide,hide,hide,hide,,Club_door,Slow_Lure,,,
10020310,hide,hide,hide,hide,hide,我推开门。,Club_door,Slow_Lure,,,
10020311,hide,hide,hide,hide,hide,,Club_door,Slow_Lure,,,
10020312,hide,hide,hide,hide,hide,,Club_door,Slow_Lure,,,
10020313,hide,hide,hide,hide,hide,暖黄色的灯光如水般流淌出来。外间的矮几上不知何时点起了蜡烛。,Club_door,Slow_Lure,,,
10020314,hide,hide,hide,hide,hide,火苗在无风的室内轻轻摇曳，将墙壁映出跃动的影子。,Club_door,Slow_Lure,,,
10020315,hide,hide,hide,hide,hide,更重要的是，浴室的门完全敞开着，水汽如薄纱般从门内漫出，将室内一切都蒙上一层柔光。,Bathroom_Jan,Slow_Lure,,,
10020316,hide,hide,hide,hide,hide,水声停了，但余韵还在空气中震颤。,Bathroom_Jan,Slow_Lure,,,
10020317,hide,hide,hide,hide,hide,白鹤姬似乎就在里面……,Bathroom_Jan,Slow_Lure,,,
10020318,白鹤姬·桂原雪代,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10020319,hide,hide,hide,hide,hide,能……帮我拿条毛巾吗？,Bathroom_Jan,Slow_Lure,,,
10020320,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10020321,hide,hide,hide,hide,hide,她的声音从浴室深处传来，和之前有些冰冷的感觉不同，她这次的声音每个字都像裹了一层糖霜。,Bathroom_Jan,Slow_Lure,,,
10020322,hide,hide,hide,hide,hide,她顿了顿，气息轻浅，像是在调整某个姿势。,Bathroom_Jan,Slow_Lure,,,
10020323,白鹤姬·桂原雪代,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
10020324,hide,hide,hide,hide,hide,衣柜左侧……米白色那条。要那条最软的。,Bathroom_Jan,Slow_Lure,,,
10020325,hide,hide,hide,hide,hide,,Bathroom_Jan,Slow_Lure,,,
