ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10330601,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330602,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10330603,hide,hide,hide,hide,hide,凌晨三点。公寓里所有东西都打包好了。桌上放着一个快递信封、一个防水文件袋、一个扁皮包。空气里有胶带的味道和记号笔的墨水味——很冲，开着窗也散不掉。,Apartment,Silent_Night,,,
10330604,hide,hide,hide,hide,hide,窗外很静。连乌鸦都睡了。只有远处偶尔一辆夜班电车开过——轮子碾轨道的声响在夜里格外清晰。,Apartment,Silent_Night,,,
10330605,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10330606,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10330607,hide,hide,hide,hide,hide,我把全部证据分成三份。第一份：账簿原件、雪代的照片、山下达彦的毒理报告、夜鸢的储物柜钥匙复印件。装进快递信封。收件人——东乡树，山梨县警署内勤课。寄件人栏空着。,Apartment,Silent_Night,,,
10330608,hide,hide,hide,hide,hide,第二份：佐藤的传真、Linda的入境记录、景子给的纽扣、黄鹂的证词笔记、破译的G-Rebirth缩写对照表。装进防水文件袋。用胶带封口。外面写上日期。,Apartment,Silent_Night,,,
10330609,hide,hide,hide,hide,hide,第三份：所有证据的缩微摘要——一张纸，正反面写满。铅笔，字很小。凤凰、G-R、Φ、村上道也、林田秀人、森山。所有名字缩写成首字母。装进扁皮包，塞在外套内侧口袋里。,Apartment,Silent_Night,,,
10330610,hide,hide,hide,hide,hide,我站起来，把快递信封和文件袋并排放在玄关。明天一早寄出第一份。第二份藏俱乐部储物间——育子知道是哪个柜子，我给她留了纸条。第三份在身上，随时。,Club_Storage,Silent_Night,,,
10330611,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330612,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330613,hide,hide,hide,hide,hide,我在榻榻米上坐了一会儿。翻盖手机放在旁边，屏幕暗着。通讯录里还有莉香的号码——最后一条短信没有回复。佐藤的号码——拨不通。夏实、景子、南梨、紫、育子——每个人都在，每个人都被一条看不见的线拴着。,Club_Storage,Silent_Night,,,
10330614,hide,hide,hide,hide,hide,我把手机打开。新建了一条草稿。收件人——所有能联系的人。正文只写了两个字：谢谢。没发。存了草稿。,Club_Storage,Silent_Night,,,
10330615,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330616,hide,hide,hide,hide,hide,,Club_Storage,Silent_Night,,,
10330617,hide,hide,hide,hide,hide,关灯。窗外电车轨道的声响远了。黑暗中能听到自己的呼吸——很稳。不是平静，是准备好了。榻榻米的霉味还在，但今晚不觉得难闻。它和这个房间一样——旧了，但有根。,Club_Storage,Mixed_Emotion,,,
10330618,hide,hide,hide,hide,hide,明天开始。只有我。和这些纸。和那些名字。,Club_Storage,Mixed_Emotion,,,
10330619,hide,hide,hide,hide,hide,,Club_Storage,Mixed_Emotion,,,
